outcome_variable,outcome_label,outcome_value,stratify_variable,stratify_label,stratify_group,count,mean,std,median,min,max,percentage,group_total
monthly_income,Monthly income (baht),continuous,income_group,Income Level,Low,486,9505.9670781893,2531.3642039292813,9000.0,1500.0,12000.0,,
monthly_income,Monthly income (baht),continuous,income_group,Income Level,Middle,188,14806.382978723404,514.7676929223918,15000.0,13000.0,15000.0,,
monthly_income,Monthly income (baht),continuous,income_group,Income Level,High,189,28270.899470899472,11301.822049274053,24000.0,15240.0,100000.0,,
monthly_income,Monthly income (baht),continuous,education_group,Education Level,Low,530,13361.094339622641,7323.263907800597,12000.0,1500.0,45000.0,,
monthly_income,Monthly income (baht),continuous,education_group,Education Level,Middle,130,15071.153846153846,8267.232098187105,12000.0,4500.0,45000.0,,
monthly_income,Monthly income (baht),continuous,education_group,Education Level,High,203,18256.50246305419,13043.977825366668,14500.0,2600.0,100000.0,,
monthly_income,Monthly income (baht),continuous,disabled,Disability Status,0,824,14965.473300970874,9426.360469856352,12000.0,1500.0,100000.0,,
monthly_income,Monthly income (baht),continuous,disabled,Disability Status,1,39,10644.871794871795,5767.701298836874,9000.0,3000.0,30000.0,,
rent_price,Monthly rent (baht),continuous,homeowner,Home Ownership,Other,71,51.40845070422535,71.19983496465397,0.0,0.0,200.0,,
rent_price,Monthly rent (baht),continuous,homeowner,Home Ownership,Renter,618,2881.7313915857603,3299.868789545852,2500.0,0.0,60000.0,,
rent_price,Monthly rent (baht),continuous,income_group,Income Level,Low,152,2460.1973684210525,2112.777422638013,2000.0,0.0,10000.0,,
rent_price,Monthly rent (baht),continuous,income_group,Income Level,Middle,58,2567.2413793103447,2344.077114700202,1900.0,0.0,8000.0,,
rent_price,Monthly rent (baht),continuous,income_group,Income Level,High,55,4811.818181818182,8304.081792153449,3000.0,0.0,60000.0,,
rent_price,Monthly rent (baht),continuous,education_group,Education Level,Low,507,2238.500986193294,2045.760635694298,1800.0,0.0,10000.0,,
