district_a,district_b,population_group,n_a,n_b,proportion_a,proportion_b,difference,test_used,chi2_statistic,p_value,statistically_significant,cohens_h,effect_size,interpretation
1001,1002,elderly,108,129,59.3,48.1,11.2,Chi-Square,2.527,0.1119,No,0.225,Medium,No statistically significant difference detected
1001,1003,elderly,108,127,59.3,47.2,12.0,Chi-Square,2.916,0.0877,No,0.241,Medium,No statistically significant difference detected
1001,1004,elderly,108,153,59.3,37.3,22.0,Chi-Square,11.458,0.0007,Yes,0.444,Medium,Statistically significant with moderate practical difference
1001,1005,elderly,108,126,59.3,45.2,14.0,Chi-Square,4.034,0.0446,Yes,0.282,Medium,Statistically significant with moderate practical difference
1001,1006,elderly,108,129,59.3,41.1,18.2,Chi-Square,7.058,0.0079,Yes,0.366,Medium,Statistically significant with moderate practical difference
1001,1007,elderly,108,131,59.3,35.9,23.4,Chi-Square,12.088,0.0005,Yes,0.473,Medium,Statistically significant with moderate practical difference
1001,1008,elderly,108,146,59.3,41.8,17.5,Chi-Square,6.905,0.0086,Yes,0.351,Medium,Statistically significant with moderate practical difference
1001,1009,elderly,108,222,59.3,50.0,9.3,Chi-Square,2.143,0.1432,No,0.186,Small,No statistically significant difference detected
1001,1010,elderly,108,124,59.3,62.9,-3.6,Chi-Square,0.188,0.6649,No,-0.075,Small,No statistically significant difference detected
1001,1011,elderly,108,124,59.3,36.3,23.0,Chi-Square,11.321,0.0008,Yes,0.464,Medium,Statistically significant with moderate practical difference
1001,1012,elderly,108,125,59.3,43.2,16.1,Chi-Square,5.353,0.0207,Yes,0.323,Medium,Statistically significant with moderate practical difference
1001,1013,elderly,108,107,59.3,43.0,16.3,Chi-Square,5.061,0.0245,Yes,0.327,Medium,Statistically significant with moderate practical difference
1001,1014,elderly,108,129,59.3,55.0,4.2,Chi-Square,0.272,0.6018,No,0.085,Small,No statistically significant difference detected
1001,1015,elderly,108,85,59.3,24.7,34.6,Chi-Square,21.662,0.0,Yes,0.717,Large,Statistically significant with large practical difference
1001,1016,elderly,108,110,59.3,62.7,-3.5,Chi-Square,0.149,0.6995,No,-0.071,Small,No statistically significant difference detected
1001,1017,elderly,108,135,59.3,51.9,7.4,Chi-Square,1.048,0.3059,No,0.149,Small,No statistically significant difference detected
1001,1018,elderly,108,125,59.3,41.6,17.7,Chi-Square,6.538,0.0106,Yes,0.355,Medium,Statistically significant with moderate practical difference
1001,1019,elderly,108,153,59.3,28.1,31.2,Chi-Square,24.132,0.0,Yes,0.64,Large,Statistically significant with large practical difference
1001,1020,elderly,108,119,59.3,48.7,10.5,Chi-Square,2.115,0.1459,No,0.211,Medium,No statistically significant difference detected
1001,1021,elderly,108,125,59.3,47.2,12.1,Chi-Square,2.914,0.0878,No,0.242,Medium,No statistically significant difference detected
1001,1022,elderly,108,126,59.3,41.3,18.0,Chi-Square,6.826,0.009,Yes,0.362,Medium,Statistically significant with moderate practical difference
1001,1023,elderly,108,114,59.3,57.0,2.2,Chi-Square,0.041,0.8397,No,0.045,Small,No statistically significant difference detected
1001,1024,elderly,108,123,59.3,52.8,6.4,Chi-Square,0.717,0.3972,No,0.129,Small,No statistically significant difference detected
1001,1025,elderly,108,136,59.3,50.0,9.3,Chi-Square,1.722,0.1894,No,0.186,Small,No statistically significant difference detected
1001,1026,elderly,108,125,59.3,50.4,8.9,Chi-Square,1.494,0.2216,No,0.178,Small,No statistically significant difference detected
1001,1027,elderly,108,118,59.3,31.4,27.9,Chi-Square,16.651,0.0,Yes,0.568,Large,Statistically significant with large practical difference
1001,1028,elderly,108,153,59.3,42.5,16.8,Chi-Square,6.472,0.011,Yes,0.337,Medium,Statistically significant with moderate practical difference
1001,1029,elderly,108,124,59.3,59.7,-0.4,Chi-Square,,1.0,No,-0.009,Small,No statistically significant difference detected
1001,1030,elderly,108,134,59.3,52.2,7.0,Chi-Square,0.926,0.336,No,0.141,Small,No statistically significant difference detected
1001,1031,elderly,108,124,59.3,37.9,21.4,Chi-Square,9.712,0.0018,Yes,0.431,Medium,Statistically significant with moderate practical difference
1001,1032,elderly,108,125,59.3,31.2,28.1,Chi-Square,17.375,0.0,Yes,0.572,Large,Statistically significant with large practical difference
1001,1033,elderly,108,121,59.3,43.0,16.3,Chi-Square,5.42,0.0199,Yes,0.327,Medium,Statistically significant with moderate practical difference
