group1,group2,n1,n2,mean1,mean2,std1,std2,difference,test,statistic,p_value,cohens_d,significant,domain,indicator,cohens_h
Top 5 Districts,Bottom 5 Districts,662,633,0.49244712990936557,0.7993680884676145,0.9067424659852982,1.065512109622502,-0.30692095855824897,t-test,-5.570707585765405,3.1080253473766844e-08,-0.3107930995079144,True,Health Behaviors,smoking,
Top 5 Districts,Bottom 5 Districts,662,633,0.5287009063444109,0.6761453396524486,0.7075930123123797,0.757462655875188,-0.1474444333080377,t-test,-3.615916055436759,0.00031094796088005673,-0.20131874865343424,True,Health Behaviors,drinking,
Top 5 Districts,Bottom 5 Districts,662,633,1.0196374622356494,0.693522906793049,1.0354858923564305,0.8480650387774517,0.3261145554426005,t-test,6.212118415324655,7.082523852601863e-10,0.34381576945543457,True,Health Behaviors,exercise,
Top 5 Districts,Bottom 5 Districts,662,633,0.40483383685800606,0.3744075829383886,,,0.030426253919617452,Chi-Square,1.1345921701903032,0.2867979361409142,,False,Health Behaviors,bmi_overweight,0.06240349039272042
Top 5 Districts,Bottom 5 Districts,662,633,0.13897280966767372,0.15639810426540285,,,-0.017425294597729124,Chi-Square,0.6489877317444918,0.4204748244790012,,False,Health Behaviors,bmi_obese,-0.04913424967826041
Top 5 Districts,Bottom 5 Districts,662,633,0.5347432024169184,0.5750394944707741,,,-0.040296292053855653,Chi-Square,1.9669785813056446,0.16076893404853154,,False,Chronic Diseases,has_disease,-0.08110572186250575
Top 5 Districts,Bottom 5 Districts,484,489,0.23553719008264462,0.3047034764826176,,,-0.06916628639997296,Chi-Square,5.554397247249402,0.018434319430130696,,True,Chronic Diseases,diabetes,-0.15605837845282
Top 5 Districts,Bottom 5 Districts,484,489,0.4462809917355372,0.48057259713701433,,,-0.03429160540147713,Chi-Square,1.0164914484110528,0.3133526955370157,,False,Chronic Diseases,hypertension,-0.06878120025875556
Top 5 Districts,Bottom 5 Districts,484,490,0.026859504132231406,0.024489795918367346,,,0.00236970821386406,Chi-Square,0.00097371939570836,0.9751064693860104,,False,Chronic Diseases,gout,0.014986643014620327
Top 5 Districts,Bottom 5 Districts,484,489,0.004132231404958678,0.032719836400818,,,-0.02858760499585932,Fisher's Exact,,0.001194199336572524,,True,Chronic Diseases,kidney_disease,-0.23512141070106943
