district,score,n
1043,1.4005109005109004,126
1047,1.287526427061311,129
1025,1.2838878359168755,136
1048,1.2830472749171937,123
1049,1.2730447505728404,148
1042,1.2660504817762883,112
1007,1.2646399402124593,131
1004,1.2471213145655335,153
1002,1.246927042765476,129
1027,1.2383699963937973,118
1026,1.2381967621419678,125
1015,1.2283661904381835,85
1041,1.2277170532302497,124
1019,1.2263259311087789,153
1039,1.2208354416146625,147
1016,1.2160271546635182,110
1001,1.2124313308523833,108
1030,1.2064328706119751,134
1036,1.2049283526296661,136
1028,1.19924577846779,153
1022,1.1956254272043745,126
1032,1.1951940018744143,125
1013,1.1950155763239876,107
1046,1.192909134106568,122
1018,1.1917433155080213,125
1040,1.1828518968309043,131
1050,1.1713564213564214,126
1005,1.170112640261894,126
1024,1.160291943828529,123
1021,1.1582784810126583,125
1038,1.1554187790818806,176
1029,1.1469941348973607,124
1008,1.1434165149918571,146
1010,1.143343108504399,124
1045,1.1427193366537136,151
1003,1.1379742304939156,127
1035,1.1185270425776754,125
1044,1.1172059717624805,131
1023,1.10280045032367,114
1012,1.0987368421052632,125
1037,1.097045287800974,145
1006,1.0894396713298247,129
1034,1.0839487806173955,116
1009,1.0787865250675166,222
1020,1.0787192347294647,119
1011,1.0741061642821172,124
1017,1.0555920652306194,135
1014,1.0382718057136662,129
1033,1.0170177328396983,121
1031,0.9965846505972391,124
