Indicator,Bangkok Avg,Suburban Community,Housing Estate,High-rise/Condo,Urban Community,Crowded Community,Gap
Can Speak Thai (%),98.92687413766672,98.14471243042672,100.0,99.04761904761905,98.17464232856437,98.77709838799333,-0.09805969874601317
Can Read Thai (%),97.07189943277633,92.39332096474953,98.0392156862745,100.0,95.65860878145041,96.60922734852696,-0.5318248765760529
Can Write Thai (%),96.35137206806684,89.79591836734694,94.11764705882352,100.0,95.01726689689195,95.60867148415787,-1.443471306622783
Can Do Basic Math (%),96.5813276099954,92.76437847866418,96.07843137254902,98.09523809523809,95.85594474592995,94.66370205669816,-1.0897886601795364
Had Training (%),19.898819561551434,13.91465677179963,9.803921568627452,23.809523809523807,17.809570794277256,13.896609227348527,-4.051963127236101
No Schooling (%),1.9316265521999079,2.782931354359926,1.9607843137254901,0.0,2.220029600394672,3.5575319622012227,0.17262889393635406
Primary Education (%),32.791660279012724,56.95732838589982,41.17647058823529,39.04761904761905,41.391218549580664,50.52807115063924,13.02848126538209
Secondary Education (%),21.63115131074659,26.159554730983302,31.372549019607842,38.095238095238095,27.52836704489393,28.515842134519175,8.703158894301886
Vocational Education (%),19.73018549747049,8.534322820037106,17.647058823529413,16.19047619047619,12.876171682289097,9.838799332962758,-6.712819727611578
Higher Education (%),23.91537636057029,5.565862708719852,7.8431372549019605,6.666666666666667,15.984213122841636,7.5597554196775985,-15.191449326008744
Average Education Level,4.158669323930707,2.8181818181818183,3.3529411764705883,3.4,3.544647261963493,2.9505280711506394,-0.945409658377399
