Indicator,Bangkok Avg,Suburban Community,Housing Estate,High-rise/Condo,Urban Community,Crowded Community,Gap
Chronic Disease Prevalence (%),56.53840257550207,61.038961038961034,62.745098039215684,50.476190476190474,63.936852491366544,70.03891050583657,5.108799934811991
Multiple Chronic Diseases (%),35.39782308753641,40.07421150278293,33.33333333333333,22.857142857142858,37.5431672422299,41.80100055586437,-0.2760519892657314
Diabetes (%),26.387771520514885,42.857142857142854,37.5,26.41509433962264,38.04012345679013,36.904761904761905,9.955652991148622
Hypertension (%),45.273531777956556,75.6838905775076,65.625,81.13207547169812,69.05864197530865,72.6984126984127,27.566072366628866
Gout (%),3.7773759292746636,3.343465045592705,3.125,7.547169811320755,3.4722222222222223,3.571428571428571,0.43448120083818775
Chronic Kidney Disease (%),2.2123893805309733,4.25531914893617,3.125,0.0,2.1604938271604937,2.7777777777777777,0.2513287702439153
Cancer (%),2.131938857602574,1.82370820668693,3.125,1.8867924528301887,2.8549382716049383,3.4126984126984126,0.48868861116151985
Hyperlipidemia (%),25.462590506838296,34.34650455927052,40.625,30.18867924528302,39.19753086419753,32.301587301587304,9.869269887229379
Ischemic Heart Disease (%),8.353413654618475,5.775075987841945,6.25,0.0,2.083333333333333,2.142857142857143,-5.103160361811991
Liver Disease (%),1.347546259050684,0.60790273556231,0.0,0.0,0.4629629629629629,0.7936507936507936,-0.9746429606154706
Stroke (%),2.2928399034593725,3.343465045592705,9.375,1.8867924528301887,2.8549382716049383,2.6984126984126986,1.7388817902287337
HIV (%),1.3877715205148835,0.0,0.0,0.0,0.0,0.4761904761904762,-1.2925334252767882
Mental Disorders (%),5.671761866452131,1.82370820668693,3.125,0.0,1.4660493827160492,1.746031746031746,-4.039603999365187
Allergies (%),5.647106109324759,2.735562310030395,9.375,5.660377358490567,5.478395061728395,7.142857142857142,0.43133226529654145
Bone and Joint Disease (%),7.622687047465808,15.501519756838904,6.25,1.8867924528301887,9.876543209876543,12.380952380952381,1.5564745126337947
Respiratory Disease (%),2.3934030571198712,3.0395136778115504,0.0,0.0,1.8518518518518516,4.1269841269841265,-0.5897331257903655
Emphysema (%),9.372485921158487,1.82370820668693,0.0,0.0,0.30864197530864196,0.7936507936507936,-8.787285726029214
Anemia (%),1.7497988736926788,1.5197568389057752,0.0,0.0,1.6975308641975309,2.7777777777777777,-0.5507857775164622
Peptic Ulcer (%),2.3129525341914725,5.47112462006079,0.0,0.0,1.6975308641975309,3.3333333333333335,-0.21255477067314166
Epilepsy (%),1.1061946902654867,1.5197568389057752,0.0,1.8867924528301887,0.8487654320987654,0.873015873015873,-0.08052857089536603
Intestinal Disease (%),0.9855189058728882,0.911854103343465,0.0,0.0,0.23148148148148145,0.7142857142857143,-0.613994646050756
Paralysis (%),1.1866452131938856,0.911854103343465,3.125,0.0,0.6172839506172839,1.507936507936508,0.04576969918556584
Stroke Sequelae (%),2.3934030571198712,5.47112462006079,3.125,3.7735849056603774,1.7746913580246912,4.2063492063492065,1.2767469608991417
