Indicator,Bangkok Avg,Suburban Community,Housing Estate,High-rise/Condo,Urban Community,Crowded Community,Gap
Home Ownership Rate (%),34.386018703050745,41.37291280148423,43.13725490196079,39.04761904761905,48.19930932412432,32.0733740967204,6.380075331331021
Water Access (%),99.72405334968573,99.44341372912801,100.0,100.0,99.85199802664036,99.33296275708727,0.001621552885382016
Electricity Access (%),99.93867852215239,99.81447124304268,100.0,100.0,99.95066600888012,99.88882712618121,-0.007885646531562429
Waste Management (%),96.5813276099954,97.40259740259741,100.0,100.0,96.39861864824864,92.4402445803224,0.6669645162382949
Sanitation Access (%),79.71792120190096,85.89981447124305,96.07843137254902,96.19047619047619,97.08929452392698,77.65425236242358,10.864532582222807
Housing Overcrowding (%),31.5652307220604,20.037105751391465,5.88235294117647,14.285714285714285,27.380365071534285,64.64702612562535,-5.118717886972032
Disaster Experience (%),15.728959067913536,29.12801484230056,31.372549019607842,2.857142857142857,17.513566847557968,21.011673151750973,4.647630275758505
Pollution Exposure (%),51.23409474168328,43.970315398886825,39.21568627450981,79.04761904761905,37.98717316230883,52.195664257921074,-0.7508031134341593
Has Ramp/Accessibility (%),10.210026061628085,2.411873840445269,19.607843137254903,2.857142857142857,11.741489886531822,3.9466370205669814,-2.0970287132397196
Has Handrails (%),10.240686800551893,2.9684601113172544,1.9607843137254901,1.9047619047619049,8.63344844597928,8.727070594774874,-5.401781726440133
Has Public Recreation Space (%),28.468496090755785,25.97402597402597,45.09803921568628,28.57142857142857,40.89787863838185,27.626459143968873,5.165070217942521
Has Health Facility (%),18.887015177065766,5.936920222634509,3.9215686274509802,4.761904761904762,25.65367538233843,18.343524180100054,-7.1634965421800185
