outcome_variable,outcome_label,outcome_value,stratify_variable,stratify_label,stratify_group,count,mean,std,median,min,max,percentage,group_total
monthly_income,Monthly income (baht),continuous,income_group,Income Level,Low,,7470.555555555556,,7605.0,,,,36.0
monthly_income,Monthly income (baht),continuous,income_group,Income Level,Middle,,12931.818181818182,,12000.0,,,,44.0
monthly_income,Monthly income (baht),continuous,income_group,Income Level,High,,31116.527777777777,,28000.0,,,,72.0
monthly_income,Monthly income (baht),continuous,age_group,Age Group,15-29,,25654.615384615383,,24000.0,,,,39.0
monthly_income,Monthly income (baht),continuous,age_group,Age Group,30-44,,23475.744680851065,,18000.0,,,,47.0
monthly_income,Monthly income (baht),continuous,age_group,Age Group,45-59,,20714.444444444445,,15000.0,,,,27.0
monthly_income,Monthly income (baht),continuous,age_group,Age Group,60+,,10451.315789473685,,9000.0,,,,38.0
monthly_income,Monthly income (baht),continuous,education_group,Education Level,Low,,10885.526315789473,,9000.0,,,,38.0
monthly_income,Monthly income (baht),continuous,education_group,Education Level,Middle,,17349.583333333332,,12000.0,,,,24.0
monthly_income,Monthly income (baht),continuous,education_group,Education Level,High,,24981.0,,20000.0,,,,90.0
monthly_income,Monthly income (baht),continuous,work_hours_group,Work Hours,<8 hrs,,17234.0625,,15000.0,,,,96.0
monthly_income,Monthly income (baht),continuous,work_hours_group,Work Hours,8-10 hrs,,24222.222222222223,,18500.0,,,,36.0
monthly_income,Monthly income (baht),continuous,work_hours_group,Work Hours,>10 hrs,,27593.0,,22500.0,,,,20.0
monthly_income,Monthly income (baht),continuous,has_children,Has Children (<5),0,,18692.70491803279,,13250.0,,,,122.0
monthly_income,Monthly income (baht),continuous,has_children,Has Children (<5),1,,26594.0,,26000.0,,,,30.0
health_expense,Personal health expenses (baht/month),continuous,education_group,Education Level,Low,,809.2305475504322,,500.0,,,,347.0
health_expense,Personal health expenses (baht/month),continuous,education_group,Education Level,Middle,,687.5396825396825,,500.0,,,,126.0
health_expense,Personal health expenses (baht/month),continuous,education_group,Education Level,High,,483.54545454545456,,0.0,,,,165.0
health_expense,Personal health expenses (baht/month),continuous,homeowner,Home Ownership,Other,,697.7739463601532,,300.0,,,,261.0
health_expense,Personal health expenses (baht/month),continuous,homeowner,Home Ownership,Owner,,944.5595854922279,,500.0,,,,193.0
health_expense,Personal health expenses (baht/month),continuous,homeowner,Home Ownership,Renter,,449.9945652173913,,300.0,,,,184.0
