outcome_variable,outcome_label,disabled_value,disabled_median,disabled_n,non_disabled_value,non_disabled_median,non_disabled_n,gap,gap_percent,p_value,significant
math,Can do basic math,80.56426332288402,,638,98.3177570093458,,5885,-17.75349368646178,,2.421700888426221e-120,Yes
write,Can write Thai,81.03448275862068,,638,98.01189464740867,,5885,-16.977411888787984,,1.3631502774063175e-103,Yes
occupation_status,Currently working,26.17554858934169,,638,66.9158878504673,,5885,-40.74033926112561,,1.107674596998458e-90,Yes
read,Can read Thai,85.57993730407524,,638,98.3177570093458,,5885,-12.737819705270553,,1.847526309014854e-72,Yes
diseases_status,Has chronic diseases,76.64576802507837,,638,54.358538657604086,,5885,22.287229367474282,,6.2747777784980766e-27,Yes
training,Participated in training (past 12 months),9.717868338557993,,638,21.002548853016144,,5885,-11.28468051445815,,1.7066022932867463e-11,Yes
medical_skip_1,Skip medical care due to cost,20.532915360501566,,638,14.375531011045029,,5885,6.157384349456537,,4.478939727403255e-05,Yes
rent_price,Monthly rent (baht),4411.253886010362,2500.0,193,7524.84954039671,4000.0,2067,-3113.5956543863476,-41.37751376517488,0.0014186759370684206,Yes
occupation_contract,Has employment contract,46.62921348314607,,178,36.084220716360115,,4132,10.544992766785953,,0.005411086331987308,Yes
helper,Has emergency support person,93.41692789968651,,638,90.09345794392523,,5885,3.323469955761283,,0.008335233290021142,Yes
family_status,Lives with family,87.14733542319749,,638,83.05862361937129,,5885,4.0887118038262,,0.009765284169773528,Yes
oral_health,Oral health problems,21.630094043887148,,638,26.38912489379779,,5885,-4.759030849910641,,0.010529462815097042,Yes
working_hours,Working hours per day,8.267857142857142,8.0,168,8.65655277919429,8.0,3922,-0.38869563633714677,-4.490189643057022,0.025678873005188514,Yes
monthly_income,Monthly income (baht),20252.17105263158,15000.0,152,23226.296743063933,18000.0,3316,-2974.1256904323527,-12.804993078892421,0.028114633070100887,Yes
occupation_small_injury,"Work injury (minor, past 12 months)",9.404388714733543,,638,12.387425658453695,,5885,-2.983036943720153,,0.03309696633303132,Yes
food_insecurity_2,Food insecurity (skip full day),7.366771159874608,,638,5.420560747663552,,5885,1.9462104122110562,,0.05257522111748663,No
psychological_violence,Experienced psychological violence (past 12 months),8.150470219435736,,638,10.314358538657604,,5885,-2.1638883192218685,,0.09822564591399488,No
food_insecurity_1,Food insecurity (reduced meals),10.815047021943574,,638,8.95497026338148,,5885,1.8600767585620943,,0.1398155933529581,No
occupation_welfare,Has work benefits,42.13483146067416,,178,36.76185866408519,,4132,5.372972796588968,,0.1692507401194606,No
physical_violence,Experienced physical violence (past 12 months),2.664576802507837,,638,3.772302463891249,,5885,-1.1077256613834119,,0.19235783620122043,No
hh_health_expense,Household health expenses (baht/month),1017.8056426332288,500.0,638,848.4715378079864,200.0,5885,169.33410482524243,19.957546868656852,0.3634464215028296,No
occupation_injury,"Work injury (serious, past 12 months)",5.329153605015674,,638,5.964316057774002,,5885,-0.6351624527583279,,0.57671747943504,No
sexual_violence,Experienced sexual violence (past 12 months),1.7241379310344827,,638,1.461342395921835,,5885,0.26279553511264764,,0.727291853531524,No
health_expense,Personal health expenses (baht/month),700.9686520376175,300.0,638,619.936108751062,100.0,5885,81.03254328655555,13.071112029561505,0.8507566816912785,No
