district_code,district_name,sample_size,reliability,sufficient_sample,general_pct,general_ci_lower,general_ci_upper,general_moe,lgbt_pct,lgbt_ci_lower,lgbt_ci_upper,lgbt_moe,elderly_pct,elderly_ci_lower,elderly_ci_upper,elderly_moe,disabled_pct,disabled_ci_lower,disabled_ci_upper,disabled_moe,informal_pct,informal_ci_lower,informal_ci_upper,informal_moe
1001,เขตพระนคร,108,High,Yes,13.9,8.6,21.7,6.5,7.4,3.8,13.9,4.9,59.3,49.8,68.1,9.3,17.6,11.6,25.8,7.2,37.0,28.5,46.4,9.1
1002,เขตดุสิต,129,High,Yes,22.5,16.1,30.4,7.2,11.6,7.2,18.3,5.5,48.1,39.6,56.6,8.6,8.5,4.8,14.6,4.8,45.0,36.6,53.6,8.6
1003,เขตหนองจอก,127,High,Yes,21.3,15.0,29.2,7.1,7.1,3.8,12.9,4.5,47.2,38.8,55.9,8.7,15.7,10.4,23.1,6.3,36.2,28.4,44.9,8.4
1004,เขตบางรัก,153,High,Yes,22.2,16.4,29.4,6.6,17.6,12.4,24.5,6.0,37.3,30.0,45.1,7.7,5.9,3.1,10.8,3.7,41.8,34.3,49.8,7.8
1005,เขตบางเขน,126,High,Yes,18.3,12.5,25.9,6.7,11.9,7.3,18.7,5.7,45.2,36.8,53.9,8.7,25.4,18.6,33.6,7.6,28.6,21.4,37.0,7.9
1006,เขตบางกะปิ,129,High,Yes,14.7,9.6,21.9,6.1,9.3,5.4,15.6,5.0,41.1,33.0,49.7,8.5,13.2,8.4,20.1,5.8,50.4,41.9,58.9,8.6
1007,เขตปทุมวัน,131,High,Yes,24.4,17.9,32.4,7.4,9.2,5.3,15.3,4.9,35.9,28.2,44.4,8.2,3.8,1.6,8.6,3.3,51.1,42.7,59.5,8.6
1008,เขตป้อมปราบศัตรูพ่าย,146,High,Yes,18.5,13.0,25.6,6.3,10.3,6.3,16.3,4.9,41.8,34.1,49.9,8.0,8.2,4.8,13.8,4.5,49.3,41.3,57.3,8.1
1009,เขตพระโขนง,222,High,Yes,18.5,13.9,24.1,5.1,4.5,2.5,8.1,2.7,50.0,43.5,56.5,6.6,7.2,4.5,11.4,3.4,39.2,33.0,45.7,6.4
1010,เขตมีนบุรี,124,High,Yes,10.5,6.2,17.1,5.4,13.7,8.7,20.9,6.1,62.9,54.1,70.9,8.5,12.9,8.1,19.9,5.9,24.2,17.5,32.4,7.5
1011,เขตลาดกระบัง,124,High,Yes,20.2,14.0,28.1,7.1,19.4,13.4,27.2,7.0,36.3,28.4,45.0,8.5,6.5,3.3,12.2,4.3,53.2,44.5,61.8,8.8
1012,เขตยานนาวา,125,High,Yes,22.4,16.0,30.5,7.3,6.4,3.3,12.1,4.3,43.2,34.8,52.0,8.7,8.8,5.0,15.1,5.0,43.2,34.8,52.0,8.7
1013,เขตสัมพันธวงศ์,107,High,Yes,15.9,10.2,24.0,6.9,14.0,8.7,21.8,6.6,43.0,34.0,52.5,9.4,2.8,1.0,7.9,3.1,63.6,54.1,72.1,9.1
1014,เขตพญาไท,129,High,Yes,14.7,9.6,21.9,6.1,10.9,6.6,17.4,5.4,55.0,46.4,63.4,8.6,10.9,6.6,17.4,5.4,39.5,31.5,48.2,8.4
1015,เขตธนบุรี,85,Medium,Yes,25.9,17.8,36.1,9.3,16.5,10.1,25.8,7.9,24.7,16.8,34.8,9.2,4.7,1.8,11.5,4.5,48.2,37.9,58.7,10.6
1016,เขตบางกอกใหญ่,110,High,Yes,8.2,4.4,14.8,5.1,11.8,7.0,19.2,6.0,62.7,53.4,71.2,9.0,14.5,9.2,22.3,6.6,35.5,27.1,44.7,8.9
1017,เขตห้วยขวาง,135,High,Yes,23.7,17.3,31.5,7.2,8.9,5.2,14.9,4.8,51.9,43.5,60.1,8.4,13.3,8.6,20.1,5.7,33.3,25.9,41.6,8.0
1018,เขตคลองสาน,125,High,Yes,20.0,13.9,27.9,7.0,9.6,5.6,16.0,5.2,41.6,33.3,50.4,8.6,9.6,5.6,16.0,5.2,51.2,42.5,59.8,8.8
1019,เขตตลิ่งชัน,153,High,Yes,35.3,28.2,43.1,7.6,5.2,2.7,10.0,3.5,28.1,21.6,35.7,7.1,11.1,7.1,17.1,5.0,39.9,32.5,47.8,7.8
1020,เขตบางกอกน้อย,119,High,Yes,18.5,12.5,26.4,7.0,9.2,5.2,15.8,5.2,48.7,39.9,57.6,9.0,15.1,9.8,22.6,6.4,52.9,44.0,61.7,9.0
1021,เขตบางขุนเทียน,125,High,Yes,14.4,9.3,21.6,6.2,10.4,6.2,17.0,5.4,47.2,38.7,55.9,8.8,16.0,10.6,23.4,6.4,43.2,34.8,52.0,8.7
1022,เขตภาษีเจริญ,126,High,Yes,19.0,13.1,26.8,6.9,8.7,4.9,15.0,4.9,41.3,33.1,50.0,8.6,6.3,3.3,12.0,4.3,48.4,39.9,57.1,8.7
1023,เขตหนองแขม,114,High,Yes,14.9,9.5,22.6,6.5,9.6,5.5,16.5,5.4,57.0,47.8,65.7,9.1,7.9,4.2,14.3,5.0,38.6,30.2,47.8,8.9
1024,เขตราษฏร์บูรณะ,123,High,Yes,17.1,11.4,24.7,6.6,10.6,6.3,17.2,5.4,52.8,44.1,61.4,8.8,9.8,5.7,16.3,5.2,37.4,29.4,46.2,8.6
1025,เขตบางพลัด,136,High,Yes,20.6,14.6,28.1,6.8,14.7,9.7,21.6,6.0,50.0,41.7,58.3,8.4,7.4,4.0,13.0,4.4,31.6,24.4,39.8,7.8
1026,เขตดินแดง,125,High,Yes,16.8,11.3,24.3,6.6,15.2,10.0,22.5,6.3,50.4,41.8,59.0,8.8,5.6,2.7,11.1,4.0,32.8,25.2,41.4,8.2
1027,เขตบึงกุ่ม,118,High,Yes,18.6,12.6,26.6,7.0,15.3,9.9,22.8,6.5,31.4,23.7,40.2,8.4,5.9,2.9,11.7,4.3,56.8,47.8,65.4,8.9
1028,เขตสาทร,153,High,Yes,26.1,19.8,33.6,7.0,9.2,5.5,14.8,4.6,42.5,34.9,50.4,7.8,7.8,4.5,13.2,4.3,47.1,39.3,54.9,7.9
1029,เขตบางซื่อ,124,High,Yes,17.7,12.0,25.4,6.7,9.7,5.6,16.2,5.2,59.7,50.9,67.9,8.6,10.5,6.2,17.1,5.4,31.5,23.9,40.1,8.2
1030,เขตจตุจักร,134,High,Yes,18.7,13.0,26.1,6.6,14.2,9.3,21.1,5.9,52.2,43.8,60.5,8.5,9.0,5.2,15.0,4.8,32.8,25.5,41.2,8.0
1031,เขตบางคอแหลม,124,High,Yes,21.8,15.4,29.8,7.3,8.9,5.0,15.2,5.0,37.9,29.8,46.7,8.5,6.5,3.3,12.2,4.3,42.7,34.4,51.5,8.7
1032,เขตประเวศ,125,High,Yes,19.2,13.3,27.0,6.9,7.2,3.8,13.1,4.5,31.2,23.7,39.8,8.1,5.6,2.7,11.1,4.0,50.4,41.8,59.0,8.8
1033,เขตคลองเตย,121,High,Yes,17.4,11.6,25.1,6.7,17.4,11.6,25.1,6.7,43.0,34.5,51.9,8.8,17.4,11.6,25.1,6.7,42.1,33.7,51.1,8.8
1034,เขตสวนหลวง,116,High,Yes,12.1,7.3,19.2,5.9,13.8,8.7,21.2,6.3,73.3,64.6,80.5,8.1,8.6,4.7,15.1,5.1,29.3,21.8,38.2,8.3
1035,เขตจอมทอง,125,High,Yes,11.2,6.8,17.9,5.5,6.4,3.3,12.1,4.3,53.6,44.9,62.1,8.7,8.0,4.4,14.1,4.8,48.0,39.4,56.7,8.8
1036,เขตดอนเมือง,136,High,Yes,16.9,11.5,24.1,6.3,12.5,8.0,19.1,5.6,38.2,30.5,46.6,8.2,8.8,5.1,14.8,4.8,50.0,41.7,58.3,8.4
1037,เขตราชเทวี,145,High,Yes,29.7,22.8,37.5,7.4,12.4,8.0,18.8,5.4,37.9,30.4,46.0,7.9,14.5,9.7,21.1,5.7,35.2,27.9,43.2,7.8
1038,เขตลาดพร้าว,176,High,Yes,11.4,7.5,16.9,4.7,6.2,3.5,10.8,3.6,50.6,43.2,57.9,7.4,5.1,2.7,9.4,3.3,50.6,43.2,57.9,7.4
1039,เขตวัฒนา,147,High,Yes,21.8,15.9,29.1,6.7,13.6,9.0,20.1,5.5,29.3,22.5,37.1,7.4,6.8,3.7,12.1,4.1,68.0,60.1,75.0,7.5
1040,เขตบางแค,131,High,Yes,16.8,11.4,24.1,6.4,16.0,10.7,23.3,6.3,35.9,28.2,44.4,8.2,6.9,3.7,12.5,4.3,48.1,39.7,56.6,8.6
1041,เขตหลักสี่,124,High,Yes,21.0,14.7,29.0,7.2,7.3,3.9,13.2,4.6,57.3,48.5,65.6,8.7,16.1,10.7,23.6,6.5,30.6,23.2,39.2,8.1
