AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
เทศบาลนครขอนแก่น,<10000,บ้านเดี่ยว,3651.561006,397.501334,0,4049.06234,367.771256,0,0,367.771256,3716.261977,775.2037511,0,4491.465728,,-74.63213121,303.0702858,-377.702417,0,-74.63213121,-377.702417,303.0702858,3000,0,,,,,
เทศบาลนครขอนแก่น,<10000,ห้องแถว ตึกแถว,392.2496319,706.6690383,262.5851064,1361.503777,0,0,0,0,0,747.789866,0,747.789866,,613.7139106,392.2496319,-41.12082766,262.5851064,613.7139106,-41.12082766,392.2496319,,0,,,,,
เทศบาลนครขอนแก่น,<10000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,327.5486617,0,262.5851064,590.1337681,,-590.1337681,-327.5486617,0,-262.5851064,-590.1337681,0,-327.5486617,,0,,,,,
เทศบาลนครขอนแก่น,<10000,แฟลต อพาร์ทเมนต์ คอนโด,0,667.0712043,0,667.0712043,0,0,0,0,0,0,0,0,,667.0712043,0,667.0712043,0,259.0712043,259.0712043,0,,408,408,,,,
เทศบาลนครขอนแก่น,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครขอนแก่น,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครขอนแก่น,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครขอนแก่น,10001-20000,บ้านเดี่ยว,9562.876921,1410.607191,393.7201085,11367.20422,678.3399559,0,0,678.3399559,9370.979726,1258.833,822.7316553,11452.54438,,592.9997963,870.2371516,151.7741915,-429.0115468,592.9997963,151.7741915,870.2371516,"3001-6000
",0,,,,,
เทศบาลนครขอนแก่น,10001-20000,ห้องแถว ตึกแถว,1098.078398,3731.859532,580.103017,5410.040947,0,0,0,0,9797.417938,5571.005617,148.8857553,15517.30931,,-10107.26836,-8699.33954,-1839.146085,431.2172617,-10107.26836,-1839.146085,-8699.33954,,0,,,,,
เทศบาลนครขอนแก่น,10001-20000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,0,178.5578723,131.2400362,309.7979085,,-309.7979085,0,-178.5578723,-131.2400362,-310.7979085,-178.5578723,-1,,1,,1,,,
เทศบาลนครขอนแก่น,10001-20000,แฟลต อพาร์ทเมนต์ คอนโด,0,2464.098638,129.0343213,2593.13296,0,538.6974946,0,538.6974946,0,1580.23717,0,1580.23717,,1551.593284,0,1422.558963,129.0343213,1291.593284,1162.558963,0,,260,260,,,,
เทศบาลนครขอนแก่น,10001-20000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,348.1878511,0,348.1878511,,-348.1878511,0,-348.1878511,0,-348.1878511,-348.1878511,0,,0,,,,,
เทศบาลนครขอนแก่น,10001-20000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครขอนแก่น,10001-20000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
