AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
ภูเก็ต 2 อำเภอ,<10000,บ้านเดี่ยว,0,0,0,0,0,0,0,0,0,8.52144,0,8.52144,,-8.52144,0,-8.52144,0,-8.52144,-8.52144,0,3000,0,,,,,
ภูเก็ต 2 อำเภอ,<10000,ห้องแถว ตึกแถว,0,38.73381818,0,38.73381818,0,9.895568681,0,9.895568681,0,25.71925527,0,25.71925527,,22.91013159,0,22.91013159,0,22.91013159,22.91013159,0,,0,,,,,
ภูเก็ต 2 อำเภอ,<10000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
ภูเก็ต 2 อำเภอ,<10000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
ภูเก็ต 2 อำเภอ,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,4.531856727,0,4.531856727,,-4.531856727,0,-4.531856727,0,-4.531856727,-4.531856727,0,,0,,,,,
ภูเก็ต 2 อำเภอ,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
ภูเก็ต 2 อำเภอ,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
ภูเก็ต 2 อำเภอ,10001-20000,บ้านเดี่ยว,251.7698182,197.0776669,16.403772,465.2512571,51.27199192,0,0,51.27199192,209.9760284,478.3239207,111.204792,799.5047411,,-282.9814921,93.06578174,-281.2462538,-94.80102,-282.9814921,-281.2462538,93.06578174,"3001-6000
",0,,,,,
ภูเก็ต 2 อำเภอ,10001-20000,ห้องแถว ตึกแถว,0,1494.505641,74.5626,1569.068241,0,524.4651401,0,524.4651401,196.632228,1457.553578,101.831208,1756.017014,,337.5163666,-196.632228,561.4172026,-27.268608,337.5163666,561.4172026,-196.632228,,0,,,,,
ภูเก็ต 2 อำเภอ,10001-20000,ทาวน์เฮาส์/บ้านแฝด,0,176.5487433,122.069628,298.6183713,0,0,0,0,17.12034764,0,0,17.12034764,,281.4980236,-17.12034764,176.5487433,122.069628,281.4980236,176.5487433,-17.12034764,,0,,,,,
ภูเก็ต 2 อำเภอ,10001-20000,แฟลต อพาร์ทเมนต์ คอนโด,0,184.7603127,0,184.7603127,0,0,0,0,0,117.0148647,0,117.0148647,,67.745448,0,67.745448,0,67.745448,67.745448,0,,0,,,,,
ภูเก็ต 2 อำเภอ,10001-20000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
ภูเก็ต 2 อำเภอ,10001-20000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
ภูเก็ต 2 อำเภอ,10001-20000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
ภูเก็ต 2 อำเภอ,20001-30000,บ้านเดี่ยว,563.6545222,387.5318509,542.2734545,1493.459828,540.4511833,356.8882375,0,897.3394208,1197.107385,654.7951964,0,1851.902581,,538.8966674,-93.00167921,89.62489205,542.2734545,538.8966674,89.62489205,-93.00167921,"6001-9000
1,500,000",0,,,,,
