AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
เทศบาลเมืองศรีสะเกษ,<10000,บ้านเดี่ยว,2661.613063,74.03162162,88.13288288,2823.777568,196.5834404,0,0,196.5834404,2597.73435,102.657182,0,2700.391532,,319.9694765,260.462154,-28.62556036,88.13288288,319.9694765,-28.62556036,260.462154,3000,0,,,,,
เทศบาลเมืองศรีสะเกษ,<10000,ห้องแถว ตึกแถว,0,172.7404505,0,172.7404505,0,0,0,0,0,109.5668,0,109.5668,,63.17365045,0,63.17365045,0,63.17365045,63.17365045,0,,0,,,,,
เทศบาลเมืองศรีสะเกษ,<10000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,63.87871351,0,0,63.87871351,,-63.87871351,-63.87871351,0,0,-63.87871351,0,-63.87871351,,0,,,,,
เทศบาลเมืองศรีสะเกษ,<10000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,34.54809009,0,34.54809009,,-34.54809009,0,-34.54809009,0,-49.54809009,-49.54809009,0,,15,15,,,,
เทศบาลเมืองศรีสะเกษ,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองศรีสะเกษ,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองศรีสะเกษ,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองศรีสะเกษ,10001-20000,บ้านเดี่ยว,3983.606306,187.2294964,0,4170.835803,661.8976993,0,0,661.8976993,3306.393234,374.4589928,88.13288288,3768.98511,,1063.748392,1339.110771,-187.2294964,-88.13288288,1063.748392,-187.2294964,1339.110771,"3001-6000
",0,,,,,
เทศบาลเมืองศรีสะเกษ,10001-20000,ห้องแถว ตึกแถว,0,1113.435589,88.13288288,1201.568472,0,0,0,0,3887.999755,1282.439205,0,5170.43896,,-3968.870488,-3887.999755,-169.0036162,88.13288288,-3968.870488,-169.0036162,-3887.999755,,0,,,,,
เทศบาลเมืองศรีสะเกษ,10001-20000,ทาวน์เฮาส์/บ้านแฝด,0,94.4431973,0,94.4431973,0,0,88.13288288,88.13288288,0,0,0,0,,182.5760802,0,94.4431973,88.13288288,182.5760802,94.4431973,0,,0,,,,,
