AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
เทศบาลนครหาดใหญ่,<10000,บ้านเดี่ยว,859.1211273,230.2897409,44.10272727,1133.513595,0,0,0,0,800.0234727,171.0450773,0,971.06855,,162.4450455,59.09765455,59.24466364,44.10272727,162.4450455,59.24466364,59.09765455,3000,0,,,,,
เทศบาลนครหาดใหญ่,<10000,ห้องแถว ตึกแถว,22.93341818,330.6234455,0,353.5568636,33.34539715,0,0,33.34539715,82.03107273,696.6025773,44.10272727,822.7363773,,-435.8341165,-25.75225739,-365.9791318,-44.10272727,-435.8341165,-365.9791318,-25.75225739,,0,,,,,
เทศบาลนครหาดใหญ่,<10000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครหาดใหญ่,<10000,แฟลต อพาร์ทเมนต์ คอนโด,0,320.1122955,0,320.1122955,0,0,0,0,0,87.91143636,0,87.91143636,,232.2008591,0,232.2008591,0,76.20085909,76.20085909,0,,156,156,,,,
เทศบาลนครหาดใหญ่,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครหาดใหญ่,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,74.53360909,0,74.53360909,0,0,0,0,0,0,0,0,,74.53360909,0,74.53360909,0,74.53360909,74.53360909,0,,0,,,,,
เทศบาลนครหาดใหญ่,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครหาดใหญ่,10001-20000,บ้านเดี่ยว,1158.049413,653.7788291,47.54274,1859.370982,0,677.4464806,0,677.4464806,1220.057847,99.34874364,149.0084145,1468.415005,,1068.402457,-62.00843455,1231.876566,-101.4656745,1068.402457,1231.876566,-62.00843455,"3001-6000
",0,,,,,
เทศบาลนครหาดใหญ่,10001-20000,ห้องแถว ตึกแถว,380.4301255,1916.469313,158.2699873,2455.169425,0,249.4708097,0,249.4708097,1520.044598,1528.688733,56.80431273,3105.537644,,-400.8974085,-1139.614473,637.2513897,101.4656745,-400.8974085,637.2513897,-1139.614473,,0,,,,,
เทศบาลนครหาดใหญ่,10001-20000,ทาวน์เฮาส์/บ้านแฝด,137.4240982,70.50556,0,207.9296582,0,1492.136168,0,1492.136168,40.22168727,144.2159182,0,184.4376055,,1515.628221,97.20241091,1418.42581,0,1514.628221,1417.42581,97.20241091,,1,1,,,,
เทศบาลนครหาดใหญ่,10001-20000,แฟลต อพาร์ทเมนต์ คอนโด,0,490.3341218,0,490.3341218,0,399.6772927,0,399.6772927,0,1249.871291,0,1249.871291,,-359.8598764,0,-359.8598764,0,-501.8598764,-501.8598764,0,,142,142,,,,
เทศบาลนครหาดใหญ่,10001-20000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,182.6734964,0,182.6734964,,-182.6734964,0,-182.6734964,0,-182.6734964,-182.6734964,0,,0,,,,,
เทศบาลนครหาดใหญ่,10001-20000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครหาดใหญ่,10001-20000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
