AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
อำเภอลำลูกกา อำเภอธัญบุรี,<10000,บ้านเดี่ยว,324.8075267,0,379.0458206,703.8533473,0,0,113.501719,113.501719,93.75032061,0,464.6033588,558.3536794,,259.001387,231.0572061,0,27.94418088,259.001387,0,231.0572061,3000,0,,,,,
อำเภอลำลูกกา อำเภอธัญบุรี,<10000,ห้องแถว ตึกแถว,0,0,0,0,0,0,0,0,0,163.0951374,0,163.0951374,,-163.0951374,0,-163.0951374,0,-163.0951374,-163.0951374,0,,0,,,,,
อำเภอลำลูกกา อำเภอธัญบุรี,<10000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,40.23796947,0,53.92717557,94.16514504,,-94.16514504,-40.23796947,0,-53.92717557,-94.16514504,0,-40.23796947,,0,,,,,
อำเภอลำลูกกา อำเภอธัญบุรี,<10000,แฟลต อพาร์ทเมนต์ คอนโด,90.01690076,241.980916,0,331.9978168,0,132.937443,0,132.937443,280.421313,78.88577863,0,359.3070916,,105.6281682,-190.4044122,296.0325804,0,33.6281682,224.0325804,-190.4044122,,72,72,,,,
อำเภอลำลูกกา อำเภอธัญบุรี,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,139.4847137,139.4847137,0,0,0,0,0,0,0,0,,139.4847137,0,0,139.4847137,139.4847137,0,0,,0,,,,,
อำเภอลำลูกกา อำเภอธัญบุรี,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
อำเภอลำลูกกา อำเภอธัญบุรี,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
อำเภอลำลูกกา อำเภอธัญบุรี,10001-20000,บ้านเดี่ยว,536.9556527,335.3164122,256.8108893,1129.082954,467.5193256,0,209.6209741,677.1402997,316.7530191,150.8923855,340.2943053,807.9397099,,998.2835439,687.7219592,184.4240267,126.137558,998.2835439,184.4240267,687.7219592,"3001-6000
",0,,,,,
อำเภอลำลูกกา อำเภอธัญบุรี,10001-20000,ห้องแถว ตึกแถว,0,1173.607443,0,1173.607443,0,898.4608782,0,898.4608782,382.8138092,1760.411164,35.77860687,2179.00358,,-106.9352592,-382.8138092,311.6571568,-35.77860687,-106.9352592,311.6571568,-382.8138092,,0,,,,,
อำเภอลำลูกกา อำเภอธัญบุรี,10001-20000,ทาวน์เฮาส์/บ้านแฝด,1040.033977,214.6025038,510.441458,1765.077939,109.1151816,0,265.0266911,374.1418727,325.2223511,137.479729,153.4504695,616.1525496,,1523.067262,823.9268076,77.12277481,622.0176796,1523.067262,77.12277481,823.9268076,,0,,,,,
อำเภอลำลูกกา อำเภอธัญบุรี,10001-20000,แฟลต อพาร์ทเมนต์ คอนโด,118.5706489,1626.284599,27.03272519,1771.887973,1693.866412,412.0800631,0,2105.946475,933.3203931,1230.611233,264.7616908,2428.693317,,1449.141132,879.1166679,807.7534296,-237.7289656,1420.141132,778.7534296,879.1166679,,29,29,,,,
