AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ 
เชียงใหม่,<10000,1 บ้านเดี่ยว,12652.75212,1007.159069,532.7474576,14192.65864,0,0,0,0,12171.94754,642.7598076,532.7474576,13347.4548,,845.2038415,480.8045805,364.399261,0,845.2038415,364.399261,480.8045805,3000,0,,
เชียงใหม่,<10000,2 ห้องแถว ตึกแถว,0,1892.851717,0,1892.851717,0,0,0,0,480.8045805,2009.257036,0,2490.061617,,-597.2099,-480.8045805,-116.4053195,0,-597.2099,-116.4053195,-480.8045805,,0,,
เชียงใหม่,<10000,3 ทาวน์เฮาส์/บ้านแฝด,0,2166.151163,0,2166.151163,0,0,0,0,0,349.2159585,0,349.2159585,,1816.935204,0,1816.935204,0,1816.935204,1816.935204,0,,0,,
เชียงใหม่,<10000,4 แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,2059.868045,0,2059.868045,,-2059.868045,0,-2059.868045,0,-2469.868045,-2469.868045,0,,410,410,
เชียงใหม่,<10000,5 ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,<10000,6 ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,<10000,7 ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,10001-20000,1 บ้านเดี่ยว,23707.26186,3930.344369,580.6947288,28218.30096,0,0,0,0,23185.7021,2233.543716,1331.868644,26751.11446,,1467.186498,521.559761,1696.800653,-751.1739153,1467.186498,1696.800653,521.559761,"3001-6000
",0,,
เชียงใหม่,10001-20000,2 ห้องแถว ตึกแถว,0,8241.603169,751.1739153,8992.777085,0,3261.065591,0,3261.065591,22806.38591,7774.117275,0,30580.50319,,-18326.66051,-22806.38591,3728.551485,751.1739153,-18327.66051,3727.551485,-22806.38591,,1,1,
เชียงใหม่,10001-20000,3 ทาวน์เฮาส์/บ้านแฝด,0,3964.972953,0,3964.972953,0,0,0,0,521.559761,0,0,521.559761,,3443.413192,-521.559761,3964.972953,0,3443.413192,3964.972953,-521.559761,,0,,
เชียงใหม่,10001-20000,4 แฟลต อพาร์ทเมนต์ คอนโด,0,1194.686174,0,1194.686174,0,0,0,0,0,7306.631381,0,7306.631381,,-6111.945208,0,-6111.945208,0,-6459.945208,-6459.945208,0,,348,348,
เชียงใหม่,10001-20000,5 ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,10001-20000,6 ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,10001-20000,7 ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,20001-30000,1 บ้านเดี่ยว,16648.35805,3667.966246,0,20316.3243,1000.590625,3934.543164,0,4935.13379,16648.35805,4292.879014,399.5605932,21340.79766,,3910.660429,1000.590625,3309.630397,-399.5605932,3831.660429,3309.630397,921.5906255,"6001-9000
1,500,000",79,,79
เชียงใหม่,20001-30000,2 ห้องแถว ตึกแถว,0,5062.69909,399.5605932,5462.259683,0,3776.50816,0,3776.50816,0,606.7993542,0,606.7993542,,8631.968488,0,8232.407895,399.5605932,8631.968488,8232.407895,0,,0,,
เชียงใหม่,20001-30000,3 ทาวน์เฮาส์/บ้านแฝด,0,335.0981508,0,335.0981508,0,0,0,0,0,751.7066627,0,751.7066627,,-416.6085119,0,-416.6085119,0,-710.6085119,-416.6085119,-294,,294,,294
เชียงใหม่,20001-30000,4 แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,3414.378456,0,3414.378456,,-3414.378456,0,-3414.378456,0,-3619.378456,-3477.378456,-142,,205,63,142
เชียงใหม่,20001-30000,5 ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,20001-30000,6 ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,20001-30000,7 ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,30001-40000,1 บ้านเดี่ยว,14414.54796,1208.670794,0,15623.21876,597.1805083,0,0,597.1805083,14414.54796,2130.989831,0,16545.53779,,-325.1385277,597.1805083,-922.319036,0,-862.1385277,-922.319036,60.18050832,"9001-12000
1,500,000 - 2,000,000",537,,537
เชียงใหม่,30001-40000,2 ห้องแถว ตึกแถว,1035.12831,2121.000816,710.6851085,3866.814234,0,1379.359417,0,1379.359417,0,1198.68178,0,1198.68178,,4047.491872,1035.12831,2301.678453,710.6851085,4047.491872,2301.678453,1035.12831,,0,,
เชียงใหม่,30001-40000,3 ทาวน์เฮาส์/บ้านแฝด,0,0,354.8098068,354.8098068,0,0,0,0,896.0812237,0,0,896.0812237,,-541.2714169,-896.0812237,0,354.8098068,-1951.271417,0,-2306.081224,,1410,,1410
เชียงใหม่,30001-40000,4 แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1241,-53,-1188,,1241,53,1188
เชียงใหม่,30001-40000,5 ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,30001-40000,6 ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,30001-40000,7 ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,40001-50000,1 บ้านเดี่ยว,7325.277542,0,0,7325.277542,0,0,0,0,7325.277542,1198.68178,0,8523.959322,,-1198.68178,0,-1198.68178,0,-3315.68178,-1198.68178,-2117,"12001-15000
2,000,000 - 2,500,000",2117,,2117
เชียงใหม่,40001-50000,2 ห้องแถว ตึกแถว,0,1198.68178,0,1198.68178,0,0,0,0,0,0,0,0,,1198.68178,0,1198.68178,0,1176.68178,1196.68178,-20,,22,2,20
เชียงใหม่,40001-50000,3 ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1369,0,-1369,,1369,,1369
เชียงใหม่,40001-50000,4 แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-479,-51,-428,,479,51,428
เชียงใหม่,40001-50000,5 ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,40001-50000,6 ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,40001-50000,7 ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,>50000,1 บ้านเดี่ยว,14591.15374,1757.001115,332.967161,16681.12202,1040.093575,0,0,1040.093575,15183.30254,2264.176695,665.934322,18113.41356,,-392.1979648,447.9447759,-507.1755797,-332.967161,-2257.197965,-507.1755797,-1417.055224,">15000
2,500,000 ",1865,,1865
เชียงใหม่,>50000,2 ห้องแถว ตึกแถว,592.1487992,507.1755797,332.967161,1432.29154,0,0,665.934322,665.934322,0,0,0,0,,2098.225862,592.1487992,507.1755797,998.9014831,2070.225862,507.1755797,564.1487992,,28,,28
เชียงใหม่,>50000,3 ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-80,0,-80,,80,,80
เชียงใหม่,>50000,4 แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-187,0,-187,,187,,187
เชียงใหม่,>50000,5 ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,>50000,6 ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
เชียงใหม่,>50000,7 ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,
