AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
เทศบาลนครยะลา,<10000,บ้านเดี่ยว,453.4670062,181.9190123,0,635.3860185,0,0,0,0,369.4504198,97.78146914,18.94183333,486.1737222,,149.2122963,84.01658642,84.13754321,-18.94183333,149.2122963,84.13754321,84.01658642,3000,0,,,,,
เทศบาลนครยะลา,<10000,ห้องแถว ตึกแถว,102.9342284,1703.216753,72.57407407,1878.725056,0,258.9739936,0,258.9739936,186.9508148,2048.862877,53.63224074,2289.445932,,-151.7468829,-84.01658642,-86.67212985,18.94183333,-151.7468829,-86.67212985,-84.01658642,,0,,,,,
เทศบาลนครยะลา,<10000,ทาวน์เฮาส์/บ้านแฝด,0,90.95950617,0,90.95950617,0,0,0,0,0,125.069321,0,125.069321,,-34.10981481,0,-34.10981481,0,-34.10981481,-34.10981481,0,,0,,,,,
เทศบาลนครยะลา,<10000,แฟลต อพาร์ทเมนต์ คอนโด,0,200.1109136,0,200.1109136,0,721.1358335,0,721.1358335,0,0,0,0,,921.2467471,0,921.2467471,0,921.2467471,921.2467471,0,,0,,,,,
เทศบาลนครยะลา,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครยะลา,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครยะลา,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครยะลา,10001-20000,บ้านเดี่ยว,1244.11316,652.2473951,75.01740123,1971.377957,1436.314764,2209.501951,169.3395062,3815.156222,1660.204519,689.6714259,169.3395062,2519.215451,,3267.318728,1020.223406,2172.07792,75.01740123,3267.318728,2172.07792,1020.223406,"3001-6000
",0,,,,,
เทศบาลนครยะลา,10001-20000,ห้องแถว ตึกแถว,2804.455753,3950.908401,94.32210494,6849.686259,430.5613511,750.5277118,0,1181.089063,2762.846617,3373.509068,0,6136.355685,,1894.419637,472.1704869,1327.927045,94.32210494,1894.419637,1327.927045,472.1704869,,0,,,,,
เทศบาลนครยะลา,10001-20000,ทาวน์เฮาส์/บ้านแฝด,112.3446667,208.5053148,0,320.8499815,0,0,0,0,940.3664691,871.4452901,0,1811.811759,,-1490.961778,-828.0218025,-662.9399753,0,-1490.961778,-662.9399753,-828.0218025,,0,,,,,
