AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
เทศบาลนครสุราษฎร์ธานี,<10000,บ้านเดี่ยว,85.1391129,83.28153226,77.39919355,245.8198387,31.82769931,76.33346857,0,108.1611679,78.4982621,65.32491935,77.39919355,221.222375,,132.7586316,38.46855012,94.29008148,0,132.7586316,94.29008148,38.46855012,3000,0,,,,,
เทศบาลนครสุราษฎร์ธานี,<10000,ห้องแถว ตึกแถว,0,226.3152419,0,226.3152419,0,0,0,0,6.640850806,244.2718548,0,250.9127056,,-24.59746371,-6.640850806,-17.9566129,0,-24.59746371,-17.9566129,-6.640850806,,0,,,,,
เทศบาลนครสุราษฎร์ธานี,<10000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครสุราษฎร์ธานี,<10000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-66,-66,0,,66,66,,,,
เทศบาลนครสุราษฎร์ธานี,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครสุราษฎร์ธานี,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครสุราษฎร์ธานี,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครสุราษฎร์ธานี,10001-20000,บ้านเดี่ยว,431.9726391,283.8383226,157.7008569,873.5118185,114.0787882,797.1929196,36.64950498,947.9212128,407.5996331,408.6677419,193.4979839,1009.765359,,811.6676725,138.4517943,672.3635002,0.852377969,811.6676725,672.3635002,138.4517943,"3001-6000
",0,,,,,
เทศบาลนครสุราษฎร์ธานี,10001-20000,ห้องแถว ตึกแถว,86.60195766,1179.935226,35.79712702,1302.33431,225.4956294,453.7622211,0,679.2578504,478.1257782,955.5394839,0,1433.665262,,547.9268988,-166.0281912,678.157963,35.79712702,547.9268988,678.157963,-166.0281912,,0,,,,,
เทศบาลนครสุราษฎร์ธานี,10001-20000,ทาวน์เฮาส์/บ้านแฝด,0,22.29096774,0,22.29096774,0,0,0,0,81.93478629,89.16387097,0,171.0986573,,-148.8076895,-81.93478629,-66.87290323,0,-148.8076895,-66.87290323,-81.93478629,,0,,,,,
เทศบาลนครสุราษฎร์ธานี,10001-20000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,32.69341935,0,32.69341935,,-32.69341935,0,-32.69341935,0,-88.69341935,-88.69341935,0,,56,56,,,,
เทศบาลนครสุราษฎร์ธานี,10001-20000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลนครสุราษฎร์ธานี,10001-20000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
