AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
เทศบาลลาดสวาย,<10000,บ้านเดี่ยว,259.1574595,0,302.4331145,561.590574,0,0,90.56076212,90.56076212,74.8015145,0,370.697771,445.4992855,,206.6520507,184.355945,0,22.29610563,206.6520507,0,184.355945,3000,0,,,,,
เทศบาลลาดสวาย,<10000,ห้องแถว ตึกแถว,0,0,0,0,0,0,0,0,0,130.1303634,0,130.1303634,,-130.1303634,0,-130.1303634,0,-130.1303634,-130.1303634,0,,0,,,,,
เทศบาลลาดสวาย,<10000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,32.10507481,0,43.02741985,75.13249466,,-75.13249466,-32.10507481,0,-43.02741985,-75.13249466,0,-32.10507481,,0,,,,,
เทศบาลลาดสวาย,<10000,แฟลต อพาร์ทเมนต์ คอนโด,71.82269313,193.0717557,0,264.8944489,0,106.0681394,0,106.0681394,223.7425832,62.94139237,0,286.6839756,,84.27861264,-151.9198901,236.1985027,0,68.27861264,220.1985027,-151.9198901,,16,16,,,,
เทศบาลลาดสวาย,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,111.2920763,111.2920763,0,0,0,0,0,0,0,0,,111.2920763,0,0,111.2920763,111.2920763,0,0,,0,,,,,
เทศบาลลาดสวาย,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลลาดสวาย,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลลาดสวาย,10001-20000,บ้านเดี่ยว,428.426226,267.5422901,204.9042962,900.8728122,373.0243629,0,167.2524022,540.2767651,252.7309282,120.3940305,271.5140519,644.6390107,,796.5105666,548.7196606,147.1482595,100.6426465,796.5105666,147.1482595,548.7196606,"3001-6000
",0,,,,,
เทศบาลลาดสวาย,10001-20000,ห้องแถว ตึกแถว,0,936.3980153,0,936.3980153,0,716.8640488,0,716.8640488,305.4395176,1404.597023,28.54703817,1738.583579,,-85.32151455,-305.4395176,248.6650412,-28.54703817,-85.32151455,248.6650412,-305.4395176,,0,,,,,
เทศบาลลาดสวาย,10001-20000,ทาวน์เฮาส์/บ้านแฝด,829.8224061,171.2270656,407.2710779,1408.32055,87.06083125,0,211.4595208,298.5203521,259.4884397,109.6923389,122.4350748,491.6158534,,1215.225048,657.3947977,61.53472672,496.2955239,1215.225048,61.53472672,657.3947977,,0,,,,,
เทศบาลลาดสวาย,10001-20000,แฟลต อพาร์ทเมนต์ คอนโด,94.60516031,1297.580107,21.56887328,1413.75414,1351.50229,328.790479,0,1680.292769,744.6777618,981.8802046,211.2480824,1937.806049,,1156.240861,701.4296885,644.4903813,-189.6792092,1152.240861,640.4903813,701.4296885,,4,4,,,,
เทศบาลลาดสวาย,10001-20000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,56.18388092,0,56.18388092,,-56.18388092,0,-56.18388092,0,-56.18388092,-56.18388092,0,,0,,,,,
เทศบาลลาดสวาย,10001-20000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลลาดสวาย,10001-20000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลลาดสวาย,20001-30000,บ้านเดี่ยว,441.5275237,206.5316153,147.3964947,795.4556336,151.1823356,1672.969102,0,1824.151438,361.5958168,60.90034809,276.6994076,699.1955725,,1920.411499,231.1140424,1818.600369,-129.302913,1920.411499,1818.600369,231.1140424,"6001-9000
1,500,000",0,,,,,
เทศบาลลาดสวาย,20001-30000,ห้องแถว ตึกแถว,0,1008.827505,93.55705649,1102.384562,0,1637.116538,0,1637.116538,74.22229924,1263.020263,64.43080305,1401.673365,,1337.827735,-74.22229924,1382.923781,29.12625344,1337.827735,1382.923781,-74.22229924,,0,,,,,
เทศบาลลาดสวาย,20001-30000,ทาวน์เฮาส์/บ้านแฝด,1297.938669,651.3689405,200.3533191,2149.660928,157.7408273,436.7359902,147.1022754,741.5790928,1067.659227,606.3556397,100.1766595,1774.191527,,1117.048494,388.0202685,481.749291,247.2789349,844.0484943,481.749291,115.0202685,,273,,273,,,
เทศบาลลาดสวาย,20001-30000,แฟลต อพาร์ทเมนต์ คอนโด,163.6696855,781.1131603,0,944.7828458,591.7224362,881.6238891,0,1473.346325,399.6585344,717.564971,0,1117.223505,,1300.905666,355.7335873,945.1720785,0,1273.905666,944.1720785,329.7335873,,27,1,26,,,
เทศบาลลาดสวาย,20001-30000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลลาดสวาย,20001-30000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลลาดสวาย,20001-30000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลลาดสวาย,30001-40000,บ้านเดี่ยว,802.6268702,197.2090076,236.2922473,1236.128125,299.1858544,902.9443894,358.5618321,1560.692076,802.6268702,59.16270229,189.6792092,1051.468782,,1745.351419,299.1858544,1040.990695,405.1748702,1745.351419,1040.990695,299.1858544,"9001-12000
1,500,000 - 2,000,000",0,,,,,
เทศบาลลาดสวาย,30001-40000,ห้องแถว ตึกแถว,0,439.2382443,0,439.2382443,0,1205.899735,0,1205.899735,72.23641832,847.9987328,34.42193588,954.657087,,690.4808927,-72.23641832,797.1392469,-34.42193588,661.4808927,797.1392469,-101.2364183,,29,,29,,,
เทศบาลลาดสวาย,30001-40000,ทาวน์เฮาส์/บ้านแฝด,1442.052944,641.8256794,62.38975878,2146.268382,662.3675571,108.2053375,358.5618321,1129.134727,1345.737719,430.2741985,0,1776.011918,,1499.391191,758.6827815,319.7568184,420.9515908,480.3911908,319.7568184,-260.3172185,,1019,,1019,,,
เทศบาลลาดสวาย,30001-40000,แฟลต อพาร์ทเมนต์ คอนโด,321.0507481,514.536229,59.87982595,895.4668031,1124.895203,1090.448742,0,2215.343945,470.8744305,390.8323969,134.460687,996.1675145,,2114.643234,975.0715208,1214.152574,-74.58086107,2114.643234,1214.152574,975.0715208,,0,,,,,
เทศบาลลาดสวาย,30001-40000,ห้องภายในบ้าน (ห้องแบ่งเช่า),107.016916,0,0,107.016916,2675.422901,0,0,2675.422901,0,0,0,0,,2782.439817,2782.439817,0,0,2782.439817,0,2782.439817,,0,,,,,
เทศบาลลาดสวาย,30001-40000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,64.54112977,0,64.54112977,,-64.54112977,0,-64.54112977,0,-64.54112977,-64.54112977,0,,0,,,,,
เทศบาลลาดสวาย,30001-40000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
