AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
เทศบาลเมืองกะทู้,<10000,บ้านเดี่ยว,0,0,0,0,0,0,0,0,0,1.14208,0,1.14208,,-1.14208,0,-1.14208,0,-1.14208,-1.14208,0,3000,0,,,,,
เทศบาลเมืองกะทู้,<10000,ห้องแถว ตึกแถว,0,5.191272727,0,5.191272727,0,1.32624663,0,1.32624663,0,3.447005091,0,3.447005091,,3.070514266,0,3.070514266,0,3.070514266,3.070514266,0,,0,,,,,
เทศบาลเมืองกะทู้,<10000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,<10000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0.607378909,0,0.607378909,,-0.607378909,0,-0.607378909,0,-0.607378909,-0.607378909,0,,0,,,,,
เทศบาลเมืองกะทู้,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,10001-20000,บ้านเดี่ยว,33.74327273,26.41319564,2.198504,62.35497236,6.871692641,0,0,6.871692641,28.14188945,64.10702691,14.904144,107.1530604,,-37.92639536,12.47307591,-37.69383127,-12.70564,-37.92639536,-37.69383127,12.47307591,"3001-6000
",0,,,,,
เทศบาลเมืองกะทู้,10001-20000,ห้องแถว ตึกแถว,0,200.3000669,9.9932,210.2932669,0,70.29107136,0,70.29107136,26.353496,195.3475927,13.647856,235.3489447,,45.23539355,-26.353496,75.24354555,-3.654656,45.23539355,75.24354555,-26.353496,,0,,,,,
เทศบาลเมืองกะทู้,10001-20000,ทาวน์เฮาส์/บ้านแฝด,0,23.66182109,16.360296,40.02211709,0,0,0,0,2.294542545,0,0,2.294542545,,37.72757455,-2.294542545,23.66182109,16.360296,37.72757455,23.66182109,-2.294542545,,0,,,,,
เทศบาลเมืองกะทู้,10001-20000,แฟลต อพาร์ทเมนต์ คอนโด,0,24.76237091,0,24.76237091,0,0,0,0,0,15.68283491,0,15.68283491,,9.079536,0,9.079536,0,9.079536,9.079536,0,,0,,,,,
เทศบาลเมืองกะทู้,10001-20000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,10001-20000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,10001-20000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,20001-30000,บ้านเดี่ยว,75.54340073,51.93868364,72.67781818,200.1599025,72.43358957,47.83169491,0,120.2652845,160.4414749,87.75846545,0,248.1999404,,72.22524666,-12.46448462,12.01191309,72.67781818,72.22524666,12.01191309,-12.46448462,"6001-9000
1,500,000",0,,,,,
เทศบาลเมืองกะทู้,20001-30000,ห้องแถว ตึกแถว,50.65643927,296.5877935,0,347.2442327,68.40322558,146.8691649,0,215.2723905,10.41369309,234.6195709,72.67781818,317.7110822,,244.805541,108.6459718,208.8373875,-72.67781818,244.805541,208.8373875,108.6459718,,0,,,,,
เทศบาลเมืองกะทู้,20001-30000,ทาวน์เฮาส์/บ้านแฝด,50.479936,0,0,50.479936,0,0,0,0,5.648104727,24.71564945,0,30.36375418,,20.11618182,44.83183127,-24.71564945,0,20.11618182,-24.71564945,44.83183127,,0,,,,,
เทศบาลเมืองกะทู้,20001-30000,แฟลต อพาร์ทเมนต์ คอนโด,0,9.671341091,0,9.671341091,0,0,0,0,0,11.10413236,0,11.10413236,,-1.432791273,0,-1.432791273,0,-26.43279127,-1.432791273,-25,,25,,25,,,
เทศบาลเมืองกะทู้,20001-30000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,20001-30000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,20001-30000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,30001-40000,บ้านเดี่ยว,127.113504,48.32036655,0,175.4338705,69.17294494,0,0,69.17294494,127.113504,105.0090647,0,232.1225687,,12.48424675,69.17294494,-56.68869818,0,12.48424675,-56.68869818,69.17294494,"9001-12000
1,500,000 - 2,000,000",0,,,,,
เทศบาลเมืองกะทู้,30001-40000,ห้องแถว ตึกแถว,18.75087709,174.6551796,1.28484,194.6908967,0,95.73249916,0,95.73249916,0,151.1698618,0,151.1698618,,139.2535341,18.75087709,119.217817,1.28484,139.2535341,119.217817,18.75087709,,0,,,,,
เทศบาลเมืองกะทู้,30001-40000,ทาวน์เฮาส์/บ้านแฝด,68.24447127,19.70607127,2.281564364,90.23210691,0,0,0,0,11.77380655,13.49730909,0,25.27111564,,64.96099127,56.47066473,6.208762182,2.281564364,64.96099127,6.208762182,56.47066473,,0,,,,,
เทศบาลเมืองกะทู้,30001-40000,แฟลต อพาร์ทเมนต์ คอนโด,3.924602182,27.26456436,4.220504727,35.40967127,0,0,0,0,0,0,0,0,,35.40967127,3.924602182,27.26456436,4.220504727,-139.5903287,27.26456436,-171.0753978,,175,,175,,,
เทศบาลเมืองกะทู้,30001-40000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,30001-40000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,30001-40000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,40001-50000,บ้านเดี่ยว,124.0454618,31.08793673,0,155.1333985,54.67741743,118.1873613,0,172.8647787,141.0987927,42.42048509,0,183.5192778,,144.4788994,37.62408652,106.8548129,0,144.4788994,106.8548129,37.62408652,"12001-15000
2,000,000 - 2,500,000",0,,,,,
เทศบาลเมืองกะทู้,40001-50000,ห้องแถว ตึกแถว,59.80346182,66.61700727,0,126.4204691,71.15000066,71.34261868,0,142.4926193,81.06172364,110.7220604,0,191.783784,,77.12930444,49.89173884,27.23756559,0,77.12930444,27.23756559,49.89173884,,0,,,,,
เทศบาลเมืองกะทู้,40001-50000,ทาวน์เฮาส์/บ้านแฝด,41.58209455,32.92564727,0,74.50774182,0,0,0,0,11.21314909,0,0,11.21314909,,63.29459273,30.36894545,32.92564727,0,63.29459273,32.92564727,30.36894545,,0,,,,,
เทศบาลเมืองกะทู้,40001-50000,แฟลต อพาร์ทเมนต์ คอนโด,8.176254545,22.35881164,0,30.53506618,233.6072727,0,0,233.6072727,0,0,0,0,,264.1423389,241.7835273,22.35881164,0,8.142338909,22.35881164,-14.21647273,,256,,256,,,
เทศบาลเมืองกะทู้,40001-50000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,40001-50000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,40001-50000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองกะทู้,>50000,บ้านเดี่ยว,273.9953745,66.45867345,0,340.454048,194.7699281,22.8349505,0,217.6048786,480.5457338,100.2642415,7.786909091,588.5968844,,-30.53795772,-11.78043113,-10.9706175,-7.786909091,-30.53795772,-10.9706175,-11.78043113,">15000
2,500,000 ",0,,,,,
เทศบาลเมืองกะทู้,>50000,ห้องแถว ตึกแถว,66.91810109,73.37344873,0,140.2915498,126.2830455,98.34341292,0,224.6264584,46.368448,49.94004364,0,96.30849164,,268.6095166,146.8326986,121.776818,0,268.6095166,121.776818,146.8326986,,0,,,,,
เทศบาลเมืองกะทู้,>50000,ทาวน์เฮาส์/บ้านแฝด,163.3433964,45.13811636,0,208.4815127,190.4271541,44.54715278,0,234.9743069,0,41.68072873,0,41.68072873,,401.7750909,353.7705505,48.00454041,0,401.7750909,48.00454041,353.7705505,,0,,,,,
เทศบาลเมืองกะทู้,>50000,แฟลต อพาร์ทเมนต์ คอนโด,12.11902618,6.914775273,0,19.03380145,0,0,0,0,0,0,0,0,,19.03380145,12.11902618,6.914775273,0,-545.9661985,6.914775273,-552.8809738,,565,,565,,,
เทศบาลเมืองกะทู้,>50000,ห้องภายในบ้าน (ห้องแบ่งเช่า),10.53828364,0,0,10.53828364,0,0,0,0,0,0,0,0,,10.53828364,10.53828364,0,0,10.53828364,0,10.53828364,,0,,,,,
เทศบาลเมืองกะทู้,>50000,ที่อยู่อาศัยที่ดัดแปลง,10.53828364,0,0,10.53828364,0,0,0,0,0,0,0,0,,10.53828364,10.53828364,0,0,10.53828364,0,10.53828364,,0,,,,,
เทศบาลเมืองกะทู้,>50000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,10.53828364,0,0,10.53828364,0,0,0,0,0,0,0,0,,10.53828364,10.53828364,0,0,10.53828364,0,10.53828364,,0,,,,,
