AREA,Rank,Housetype,HH_66_Owner,HH_66_rent,HH_66_tress,HH_66_All,Hover_66_owner,Hover_66_rent,Hover_66_tress,Hovercro_66,HH_64_Owner,HH_64_rent,HH_64_tress,HH_64_All,Slum,Housing_Demand_ALL,Demand_Owner,Demand_rent,Demand_tress,GAP_ALL,GAP_rent,GAP_Sale,Rank_30 percent,Supply_ALL,Supply เช่า,Supply ซื้อ ,Column28,Column29,Column30
เทศบาลเมืองฉะเชิงเทรา,<10000,บ้านเดี่ยว,2729.923077,0,1068.230769,3798.153846,0,0,0,0,2568.857615,393.465,0,2962.322615,,835.8312308,161.0654615,-393.465,1068.230769,835.8312308,-393.465,161.0654615,3000,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,<10000,ห้องแถว ตึกแถว,0,2017.769231,0,2017.769231,0,0,0,0,161.0654615,1624.304231,0,1785.369692,,232.3995385,-161.0654615,393.465,0,232.3995385,393.465,-161.0654615,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,<10000,ทาวน์เฮาส์/บ้านแฝด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,<10000,แฟลต อพาร์ทเมนต์ คอนโด,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-78,-78,0,,78,78,,,,
เทศบาลเมืองฉะเชิงเทรา,<10000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,<10000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,<10000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,10001-20000,บ้านเดี่ยว,4993.978846,3305.106,356.0769231,8655.161769,5229.590068,4306.7929,356.0769231,9892.459891,9999.708231,1004.493,356.0769231,11360.27815,,7187.343507,223.8606833,6607.4059,356.0769231,7187.343507,6607.4059,223.8606833,"3001-6000
",0,,,,,
เทศบาลเมืองฉะเชิงเทรา,10001-20000,ห้องแถว ตึกแถว,5640.258462,26149.221,0,31789.47946,568.8013825,4472.184293,0,5040.985675,11057.25669,27931.386,0,38988.64269,,-2158.177555,-4848.196848,2690.019293,0,-2158.177555,2690.019293,-4848.196848,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,10001-20000,ทาวน์เฮาส์/บ้านแฝด,1116.301154,1069.299,0,2185.600154,0,0,0,0,176.2580769,1328.523,0,1504.781077,,680.8190769,940.0430769,-259.224,0,680.8190769,-259.224,940.0430769,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,10001-20000,แฟลต อพาร์ทเมนต์ คอนโด,0,1879.374,0,1879.374,0,0,0,0,0,2171.001,0,2171.001,,-291.627,0,-291.627,0,-413.627,-339.627,-74,,122,48,74,,,
เทศบาลเมืองฉะเชิงเทรา,10001-20000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,10001-20000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,10001-20000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,20001-30000,บ้านเดี่ยว,2944.518769,0,1543,4487.518769,3107.428424,0,334.8580025,3442.286427,4818.907692,989.8938462,675.834,6484.635538,,1445.169658,1233.039501,-989.8938462,1202.024003,1431.169658,-989.8938462,1219.039501,"6001-9000
1,500,000",14,,14,,,
เทศบาลเมืองฉะเชิงเทรา,20001-30000,ห้องแถว ตึกแถว,1994.030769,10971.32346,0,12965.35423,1474.094558,8750.912373,0,10225.00693,1382.528,10987.82169,867.166,13237.51569,,9952.845469,2085.597327,8734.414142,-867.166,9952.845469,8734.414142,2085.597327,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,20001-30000,ทาวน์เฮาส์/บ้านแฝด,1708.219692,1237.367308,0,2945.587,0,5597.417446,0,5597.417446,445.3335385,1121.879692,0,1567.213231,,6975.791216,1262.886154,5712.905062,0,6614.791216,5712.905062,901.8861538,,361,,361,,,
เทศบาลเมืองฉะเชิงเทรา,20001-30000,แฟลต อพาร์ทเมนต์ คอนโด,0,4289.54,0,4289.54,0,6646.622432,0,6646.622432,0,3382.137308,0,3382.137308,,7554.025124,0,7554.025124,0,7352.025124,7553.025124,-201,,202,1,201,,,
เทศบาลเมืองฉะเชิงเทรา,20001-30000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,20001-30000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,20001-30000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,30001-40000,บ้านเดี่ยว,10354.24215,0,0,10354.24215,5757.952484,0,0,5757.952484,10354.24215,1468.817308,0,11823.05946,,4289.135176,5757.952484,-1468.817308,0,4141.135176,-1468.817308,5609.952484,"9001-12000
1,500,000 - 2,000,000",148,,148,,,
เทศบาลเมืองฉะเชิงเทรา,30001-40000,ห้องแถว ตึกแถว,1528.994308,4993.978846,0,6522.973154,5398.715271,5027.234176,0,10425.94945,1260.749692,5059.259615,0,6320.009308,,10628.91329,5666.959887,4961.953406,0,10628.91329,4961.953406,5666.959887,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,30001-40000,ทาวน์เฮาส์/บ้านแฝด,1528.994308,1240.334615,0,2769.328923,0,2214.805464,0,2214.805464,2011.834615,0,0,2011.834615,,2972.299772,-482.8403077,3455.14008,0,1311.299772,3455.14008,-2143.840308,,1661,,1661,,,
เทศบาลเมืองฉะเชิงเทรา,30001-40000,แฟลต อพาร์ทเมนต์ คอนโด,0,287.2353846,0,287.2353846,0,6528.076923,0,6528.076923,0,0,0,0,,6815.312308,0,6815.312308,0,6776.312308,6815.312308,-39,,39,,39,,,
เทศบาลเมืองฉะเชิงเทรา,30001-40000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,30001-40000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,30001-40000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,40001-50000,บ้านเดี่ยว,3813.821231,0,0,3813.821231,3932.873034,0,0,3932.873034,5720.731846,0,0,5720.731846,,2025.962418,2025.962418,0,0,1351.962418,0,1351.962418,"12001-15000
2,000,000 - 2,500,000",674,,674,,,
เทศบาลเมืองฉะเชิงเทรา,40001-50000,ห้องแถว ตึกแถว,1473.208923,1570.299231,0,3043.508154,3185.483857,2516.987451,0,5702.471308,571.3847692,3204.692308,0,3776.077077,,4969.902385,4087.308011,882.5943739,0,4902.902385,882.5943739,4020.308011,,67,,67,,,
เทศบาลเมืองฉะเชิงเทรา,40001-50000,ทาวน์เฮาส์/บ้านแฝด,1597.123692,416.61,0,2013.733692,3560.790714,0,0,3560.790714,585.1530769,0,0,585.1530769,,4989.371329,4572.761329,416.61,0,3145.371329,416.61,2728.761329,,1844,,1844,,,
เทศบาลเมืองฉะเชิงเทรา,40001-50000,แฟลต อพาร์ทเมนต์ คอนโด,0,1220.987769,0,1220.987769,0,744.346832,0,744.346832,0,0,0,0,,1965.334601,0,1965.334601,0,1965.334601,1965.334601,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,40001-50000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,40001-50000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,40001-50000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,>50000,บ้านเดี่ยว,5264.241231,943.0103846,0,6207.251615,7641.21431,2305.276539,0,9946.490849,8079.148,0,0,8079.148,,8074.594465,4826.30754,3248.286924,0,7618.594465,3248.286924,4370.30754,">15000
2,500,000 ",456,,456,,,
เทศบาลเมืองฉะเชิงเทรา,>50000,ห้องแถว ตึกแถว,2010.647692,1308.582692,0,3319.230385,1991.692768,4154.230769,0,6145.923537,1060.159692,4154.230769,0,5214.390462,,4250.76346,2942.180768,1308.582692,0,4229.76346,1308.582692,2921.180768,,21,,21,,,
เทศบาลเมืองฉะเชิงเทรา,>50000,ทาวน์เฮาส์/บ้านแฝด,1855.279462,0,0,1855.279462,4033.102456,0,0,4033.102456,0,0,0,0,,5888.381918,5888.381918,0,0,5748.381918,0,5748.381918,,140,,140,,,
เทศบาลเมืองฉะเชิงเทรา,>50000,แฟลต อพาร์ทเมนต์ คอนโด,0,1902.637692,0,1902.637692,0,1038.557692,0,1038.557692,0,0,0,0,,2941.195385,0,2941.195385,0,2941.195385,2941.195385,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,>50000,ห้องภายในบ้าน (ห้องแบ่งเช่า),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,>50000,ที่อยู่อาศัยที่ดัดแปลง,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
เทศบาลเมืองฉะเชิงเทรา,>50000,ที่อยู่อาศัยแบบอื่นๆ ไม่เข้าพวก,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,
