outcome_variable,outcome_label,outcome_value,stratify_variable,stratify_label,stratify_group,count,mean,std,median,min,max,percentage,group_total
monthly_income,Monthly income (baht),continuous,income_group,Income Level,Low,,8240.3125,,9000.0,,,,32.0
monthly_income,Monthly income (baht),continuous,income_group,Income Level,Middle,,13181.370967741936,,13000.0,,,,124.0
monthly_income,Monthly income (baht),continuous,income_group,Income Level,High,,32187.450331125827,,27500.0,,,,302.0
monthly_income,Monthly income (baht),continuous,age_group,Age Group,15-29,,28605.74712643678,,24000.0,,,,174.0
monthly_income,Monthly income (baht),continuous,age_group,Age Group,30-44,,24954.67336683417,,21000.0,,,,199.0
monthly_income,Monthly income (baht),continuous,age_group,Age Group,45-59,,19845.54054054054,,15000.0,,,,74.0
monthly_income,Monthly income (baht),continuous,age_group,Age Group,60+,,18803.636363636364,,13500.0,,,,11.0
monthly_income,Monthly income (baht),continuous,education_group,Education Level,Low,,13577.64705882353,,12000.0,,,,17.0
monthly_income,Monthly income (baht),continuous,education_group,Education Level,Middle,,20296.8115942029,,15000.0,,,,69.0
monthly_income,Monthly income (baht),continuous,education_group,Education Level,High,,26848.09139784946,,22000.0,,,,372.0
monthly_income,Monthly income (baht),continuous,work_hours_group,Work Hours,<8 hrs,,22403.669724770643,,17000.0,,,,218.0
monthly_income,Monthly income (baht),continuous,work_hours_group,Work Hours,8-10 hrs,,26992.543352601155,,23000.0,,,,173.0
monthly_income,Monthly income (baht),continuous,work_hours_group,Work Hours,>10 hrs,,30822.089552238805,,24000.0,,,,67.0
health_expense,Personal health expenses (baht/month),continuous,has_children,Has Children (<5),0,,397.32365145228215,,0.0,,,,482.0
health_expense,Personal health expenses (baht/month),continuous,has_children,Has Children (<5),1,,221.67487684729065,,0.0,,,,203.0
rent_price,Monthly rent (baht),continuous,income_group,Income Level,Low,,2655.8823529411766,,2200.0,,,,17.0
rent_price,Monthly rent (baht),continuous,income_group,Income Level,Middle,,3256.3380281690143,,3500.0,,,,71.0
rent_price,Monthly rent (baht),continuous,income_group,Income Level,High,,13034.0,,8000.0,,,,150.0
rent_price,Monthly rent (baht),continuous,age_group,Age Group,15-29,,9900.0,,5500.0,,,,142.0
rent_price,Monthly rent (baht),continuous,age_group,Age Group,30-44,,9100.359712230216,,5000.0,,,,139.0
rent_price,Monthly rent (baht),continuous,age_group,Age Group,45-59,,5638.584615384615,,4000.0,,,,65.0
rent_price,Monthly rent (baht),continuous,age_group,Age Group,60+,,2877.777777777778,,3000.0,,,,9.0
rent_price,Monthly rent (baht),continuous,education_group,Education Level,Low,,3036.7272727272725,,3000.0,,,,22.0
rent_price,Monthly rent (baht),continuous,education_group,Education Level,Middle,,7279.166666666667,,4000.0,,,,72.0
rent_price,Monthly rent (baht),continuous,education_group,Education Level,High,,9366.60447761194,,6000.0,,,,268.0
rent_price,Monthly rent (baht),continuous,homeowner,Home Ownership,Other,,25.0,,0.0,,,,6.0
rent_price,Monthly rent (baht),continuous,homeowner,Home Ownership,Renter,,8710.696629213484,,5000.0,,,,356.0
working_hours,Working hours per day,continuous,income_group,Income Level,Low,,7.6875,,8.0,,,,32.0
working_hours,Working hours per day,continuous,income_group,Income Level,Middle,,8.661290322580646,,8.0,,,,124.0
working_hours,Working hours per day,continuous,income_group,Income Level,High,,9.42384105960265,,9.0,,,,302.0
working_hours,Working hours per day,continuous,age_group,Age Group,15-29,,9.516483516483516,,9.0,,,,182.0
working_hours,Working hours per day,continuous,age_group,Age Group,30-44,,8.854545454545455,,8.0,,,,220.0
working_hours,Working hours per day,continuous,age_group,Age Group,45-59,,8.448275862068966,,8.0,,,,87.0
working_hours,Working hours per day,continuous,age_group,Age Group,60+,,8.642857142857142,,8.0,,,,14.0
working_hours,Working hours per day,continuous,education_group,Education Level,Low,,8.130434782608695,,8.0,,,,23.0
working_hours,Working hours per day,continuous,education_group,Education Level,Middle,,8.728395061728396,,8.0,,,,81.0
working_hours,Working hours per day,continuous,education_group,Education Level,High,,9.125,,9.0,,,,400.0
working_hours,Working hours per day,continuous,work_hours_group,Work Hours,<8 hrs,,7.591269841269841,,8.0,,,,252.0
working_hours,Working hours per day,continuous,work_hours_group,Work Hours,8-10 hrs,,9.615384615384615,,10.0,,,,182.0
working_hours,Working hours per day,continuous,work_hours_group,Work Hours,>10 hrs,,12.585714285714285,,12.0,,,,70.0
working_hours,Working hours per day,continuous,has_children,Has Children (<5),0,,8.901408450704226,,8.0,,,,355.0
working_hours,Working hours per day,continuous,has_children,Has Children (<5),1,,9.288590604026846,,9.0,,,,149.0
medical_skip_1,Skip medical care due to cost,0,homeowner,Home Ownership,Other,164.0,,,,,,74.88584474885845,219.0
medical_skip_1,Skip medical care due to cost,1,homeowner,Home Ownership,Other,55.0,,,,,,25.11415525114155,219.0
medical_skip_1,Skip medical care due to cost,0,homeowner,Home Ownership,Owner,82.0,,,,,,80.3921568627451,102.0
medical_skip_1,Skip medical care due to cost,1,homeowner,Home Ownership,Owner,20.0,,,,,,19.607843137254903,102.0
medical_skip_1,Skip medical care due to cost,0,homeowner,Home Ownership,Renter,242.0,,,,,,66.48351648351648,364.0
medical_skip_1,Skip medical care due to cost,1,homeowner,Home Ownership,Renter,122.0,,,,,,33.51648351648351,364.0
medical_skip_1,Skip medical care due to cost,0,has_children,Has Children (<5),0,358.0,,,,,,74.27385892116183,482.0
medical_skip_1,Skip medical care due to cost,1,has_children,Has Children (<5),0,124.0,,,,,,25.72614107883817,482.0
medical_skip_1,Skip medical care due to cost,0,has_children,Has Children (<5),1,130.0,,,,,,64.03940886699507,203.0
medical_skip_1,Skip medical care due to cost,1,has_children,Has Children (<5),1,73.0,,,,,,35.960591133004925,203.0
oral_health,Oral health problems,0,income_group,Income Level,Low,26.0,,,,,,81.25,32.0
oral_health,Oral health problems,1,income_group,Income Level,Low,6.0,,,,,,18.75,32.0
oral_health,Oral health problems,0,income_group,Income Level,Middle,92.0,,,,,,74.19354838709677,124.0
oral_health,Oral health problems,1,income_group,Income Level,Middle,32.0,,,,,,25.806451612903224,124.0
oral_health,Oral health problems,0,income_group,Income Level,High,187.0,,,,,,61.920529801324506,302.0
oral_health,Oral health problems,1,income_group,Income Level,High,115.0,,,,,,38.079470198675494,302.0
oral_health,Oral health problems,0,has_children,Has Children (<5),0,345.0,,,,,,71.57676348547717,482.0
oral_health,Oral health problems,1,has_children,Has Children (<5),0,137.0,,,,,,28.42323651452282,482.0
oral_health,Oral health problems,0,has_children,Has Children (<5),1,124.0,,,,,,61.083743842364534,203.0
oral_health,Oral health problems,1,has_children,Has Children (<5),1,79.0,,,,,,38.91625615763547,203.0
diseases_status,Has chronic diseases,0,age_group,Age Group,15-29,183.0,,,,,,66.54545454545455,275.0
diseases_status,Has chronic diseases,1,age_group,Age Group,15-29,92.0,,,,,,33.45454545454545,275.0
diseases_status,Has chronic diseases,0,age_group,Age Group,30-44,163.0,,,,,,60.820895522388064,268.0
diseases_status,Has chronic diseases,1,age_group,Age Group,30-44,105.0,,,,,,39.17910447761194,268.0
diseases_status,Has chronic diseases,0,age_group,Age Group,45-59,55.0,,,,,,49.549549549549546,111.0
diseases_status,Has chronic diseases,1,age_group,Age Group,45-59,56.0,,,,,,50.45045045045045,111.0
diseases_status,Has chronic diseases,0,age_group,Age Group,60+,11.0,,,,,,52.38095238095239,21.0
diseases_status,Has chronic diseases,1,age_group,Age Group,60+,10.0,,,,,,47.61904761904761,21.0
occupation_status,Currently working,0,age_group,Age Group,15-29,100.0,,,,,,36.36363636363637,275.0
occupation_status,Currently working,1,age_group,Age Group,15-29,175.0,,,,,,63.63636363636363,275.0
occupation_status,Currently working,0,age_group,Age Group,30-44,48.0,,,,,,17.91044776119403,268.0
occupation_status,Currently working,1,age_group,Age Group,30-44,220.0,,,,,,82.08955223880598,268.0
occupation_status,Currently working,0,age_group,Age Group,45-59,15.0,,,,,,13.513513513513514,111.0
occupation_status,Currently working,1,age_group,Age Group,45-59,96.0,,,,,,86.48648648648648,111.0
occupation_status,Currently working,0,age_group,Age Group,60+,6.0,,,,,,28.57142857142857,21.0
occupation_status,Currently working,1,age_group,Age Group,60+,15.0,,,,,,71.42857142857143,21.0
occupation_status,Currently working,0,work_hours_group,Work Hours,<8 hrs,37.0,,,,,,14.682539682539684,252.0
occupation_status,Currently working,1,work_hours_group,Work Hours,<8 hrs,215.0,,,,,,85.31746031746032,252.0
occupation_status,Currently working,0,work_hours_group,Work Hours,8-10 hrs,40.0,,,,,,21.978021978021978,182.0
occupation_status,Currently working,1,work_hours_group,Work Hours,8-10 hrs,142.0,,,,,,78.02197802197803,182.0
occupation_status,Currently working,0,work_hours_group,Work Hours,>10 hrs,19.0,,,,,,27.142857142857142,70.0
occupation_status,Currently working,1,work_hours_group,Work Hours,>10 hrs,51.0,,,,,,72.85714285714285,70.0
occupation_status,Currently working,0,has_children,Has Children (<5),0,111.0,,,,,,23.029045643153527,482.0
occupation_status,Currently working,1,has_children,Has Children (<5),0,371.0,,,,,,76.97095435684648,482.0
