outcome_variable,outcome_label,lgbtq_value,lgbtq_median,lgbtq_n,general_value,general_median,general_n,gap,gap_percent,p_value,significant
psychological_violence,Experienced psychological violence (past 12 months),29.1970802919708,,685,7.862281603288798,,5838,21.334798688682,,2.804594680334564e-68,Yes
physical_violence,Experienced physical violence (past 12 months),13.138686131386862,,685,2.552243919150394,,5838,10.586442212236468,,1.3745456206110041e-43,Yes
medical_skip_1,Skip medical care due to cost,28.759124087591243,,685,13.360739979445016,,5838,15.398384108146226,,2.2189627568510284e-26,Yes
food_insecurity_1,Food insecurity (reduced meals),20.0,,685,7.862281603288798,,5838,12.137718396711202,,3.7604981124610237e-25,Yes
diseases_status,Has chronic diseases,38.68613138686132,,685,58.63309352517986,,5838,-19.94696213831854,,3.319196919302334e-23,Yes
occupation_contract,Has employment contract,53.73134328358209,,603,33.719989209603455,,3707,20.011354073978637,,4.5328931732127905e-21,Yes
occupation_welfare,Has work benefits,53.8971807628524,,603,34.23253304558943,,3707,19.664647717262973,,2.6797968199506208e-20,Yes
food_insecurity_2,Food insecurity (skip full day),12.992700729927007,,685,4.744775608084961,,5838,8.247925121842046,,1.5459956239566713e-18,Yes
family_status,Lives with family,72.84671532846716,,685,84.70366563891744,,5838,-11.856950310450287,,4.259232644893307e-15,Yes
helper,Has emergency support person,82.62773722627738,,685,91.33264816718054,,5838,-8.704910940903162,,4.042770987848574e-13,Yes
sexual_violence,Experienced sexual violence (past 12 months),4.671532846715328,,685,1.1133949982870845,,5838,3.5581378484282435,,1.1430075075404306e-12,Yes
occupation_status,Currently working,74.01459854014598,,685,61.63069544364509,,5838,12.383903096500894,,2.849927892766221e-10,Yes
health_pollution,Health impact from air pollution,62.04379562043796,,685,49.965741692360396,,5838,12.078053928077566,,2.8067930265529647e-09,Yes
disable_status,Has disability,4.233576642335766,,685,10.431654676258994,,5838,-6.1980780339232275,,3.427914515716435e-07,Yes
training,Participated in training (past 12 months),25.985401459854014,,685,19.18465227817746,,5838,6.800749181676554,,3.084518244009495e-05,Yes
working_hours,Working hours per day,9.015873015873016,8.5,504,8.587841606246513,8.0,3586,0.4280314096265023,4.984155847904395,4.6640388302027746e-05,Yes
oral_health,Oral health problems,31.532846715328468,,685,25.26550188420692,,5838,6.267344831121548,,0.000473867766488594,Yes
monthly_income,Monthly income (baht),25368.53711790393,21000.0,458,22750.146179401992,18000.0,3010,2618.390938501936,11.509336765812213,0.0013830424415071216,Yes
occupation_injury,"Work injury (serious, past 12 months)",8.467153284671532,,685,5.601233299075026,,5838,2.8659199855965065,,0.003440303664670267,Yes
rent_price,Monthly rent (baht),8566.734806629835,5000.0,362,7009.524762908324,3500.0,1898,1557.2100437215104,22.21562939561409,0.03635204820521748,Yes
occupation_small_injury,"Work injury (minor, past 12 months)",14.306569343065693,,685,11.836245289482699,,5838,2.470324053582994,,0.06969692781710068,No
health_expense,Personal health expenses (baht/month),345.2700729927007,0.0,685,661.0195272353545,200.0,5838,-315.7494542426538,-47.767038829131586,0.4492574378140075,No
hh_health_expense,Household health expenses (baht/month),754.2554744525547,0.0,685,878.0318602261049,300.0,5838,-123.77638577355015,-14.097026700338194,0.49297822040035255,No
