dcode,dname,SUM of population
1001,เขตพระนคร,13618
1002,เขตดุสิต,23476
1003,เขตหนองจอก,24937
1004,เขตบางรัก,11560
1005,เขตบางเขน,38967
1006,เขตบางกะปิ,29964
1007,เขตปทุมวัน,10711
1008,เขตป้อมปราบศัตรูพ่าย,12804
1009,เขตพระโขนง,21508
1010,เขตมีนบุรี,23882
1011,เขตลาดกระบัง,27808
1012,เขตยานนาวา,18690
1013,เขตสัมพันธวงศ์,7179
1014,เขตพญาไท,14279
1015,เขตธนบุรี,26501
1016,เขตบางกอกใหญ่,17219
1017,เขตห้วยขวาง,17281
1018,เขตคลองสาน,18423
1019,เขตตลิ่งชัน,26997
1020,เขตบางกอกน้อย,29419
1021,เขตบางขุนเทียน,31362
1022,เขตภาษีเจริญ,29118
1023,เขตหนองแขม,30040
1024,เขตราษฏร์บูรณะ,17557
1025,เขตบางพลัด,24632
1026,เขตดินแดง,29075
1027,เขตบึงกุ่ม,30627
1028,เขตสาทร,21371
1029,เขตบางซื่อ,32876
1030,เขตจตุจักร,37220
1031,เขตบางคอแหลม,21727
1032,เขตประเวศ,32110
1033,เขตคลองเตย,20507
1034,เขตสวนหลวง,24500
1035,เขตจอมทอง,34836
1036,เขตดอนเมือง,31777
1037,เขตราชเทวี,15076
1038,เขตลาดพร้าว,28102
1039,เขตวัฒนา,20314
1040,เขตบางแค,44264
1041,เขตหลักสี่,24765
1042,เขตสายไหม,38418
1043,เขตคันนายาว,18270
1044,เขตสะพานสูง,20105
1045,เขตวังทองหลาง,23406
1046,เขตคลองสามวา,29989
1047,เขตบางนา,19929
1048,เขตทวีวัฒนา,19789
1049,เขตทุ่งครุ,24514
1050,เขตบางบอน,19329
