dcode,dname,sdname,name_of_community,type_of_community,community_population_count,male_count,female_count
1033,คลองเตย,คลองเตย,คลองเตยล็อค 1 - 3,ชุมชนแออัด,7366,3297,4069
1033,คลองเตย,คลองเตย,คลองเตยล็อค 4 - 6,ชุมชนแออัด,2019,920,1099
1033,คลองเตย,คลองเตย,ตลาดท่าเรือคลองเตย,ชุมชนเมือง,4995,1999,2996
1033,คลองเตย,คลองเตย,แฟลต 1-10,ชุมชนอาคารสูง,6840,2840,4000
1033,คลองเตย,คลองเตย,แฟลต 11-18,ชุมชนอาคารสูง,8450,5700,2750
1033,คลองเตย,คลองเตย,แฟลต 19-22,ชุมชนอาคารสูง,1945,875,1070
1033,คลองเตย,คลองเตย,หมู่บ้านพัฒนา 70 ไร่,ชุมชนแออัด,9685,4642,5043
1033,คลองเตย,คลองเตย,ร่มเกล้า,ชุมชนแออัด,1075,504,571
1033,คลองเตย,คลองเตย,ซอยเจริญสุข,ชุมชนเมือง,6500,3257,3243
1033,คลองเตย,คลองเตย,น้องใหม่,ชุมชนแออัด,356,200,156
1033,คลองเตย,คลองเตย,พัฒนาใหม่,ชุมชนแออัด,1523,748,775
1033,คลองเตย,คลองเตย,พัฒนาอาเซีย,ชุมชนแออัด,195,89,106
1033,คลองเตย,คลองเตย,ริมคลองวัดสะพาน,ชุมชนแออัด,1113,536,577
1033,คลองเตย,คลองเตย,ริมคลองสามัคคี,ชุมชนแออัด,650,350,300
1033,คลองเตย,คลองเตย,ริมทางรถไฟสายท่าเรือ,ชุมชนแออัด,3495,1980,1515
1033,คลองเตย,คลองเตย,โรงหมู,ชุมชนแออัด,2238,995,1243
1033,คลองเตย,คลองเตย,วัดคลองเตยใน 1,ชุมชนแออัด,572,222,350
1033,คลองเตย,คลองเตย,วัดคลองเตยใน 2,ชุมชนแออัด,1899,802,1097
1033,คลองเตย,คลองเตย,หัวโค้ง,ชุมชนแออัด,2780,1180,1600
1033,คลองเตย,คลองเตย,แฟลต 23-24,ชุมชนอาคารสูง,1165,533,632
1033,คลองเตย,คลองเตย,ตลาดปีนัง,ชุมชนแออัด,515,250,265
1033,คลองเตย,คลองเตย,วัดคลองเตยใน 3,ชุมชนแออัด,933,401,532
1033,คลองเตย,คลองเตย,ร่วมใจสามัคคี,ชุมชนแออัด,550,200,350
1033,คลองเตย,คลองเตย,ริมคลองไผ่สิงโต,ชุมชนแออัด,312,109,203
1033,คลองเตย,คลองเตย,ตลาดปีนังพัฒนา,ชุมชนเมือง,766,267,499
1033,คลองเตย,คลองเตย,อาคารทรัพย์สิน 26-7,ชุมชนอาคารสูง,1256,556,700
1033,คลองเตย,คลองเตย,เทพประทาน,ชุมชนอาคารสูง,4400,1774,2626
1033,คลองเตย,คลองเตย,สร้างสรรค์พัฒนา 7-12 (บ้านมั่นคง),ชุมชนเมือง,0,0,0
1033,คลองเตย,คลองตัน,นภาศัพท์แยก 4,ชุมชนเมือง,697,314,383
1033,คลองเตย,คลองตัน,ทรัพย์มโนทัย,ชุมชนเมือง,1950,1265,685
1033,คลองเตย,คลองตัน,แสนสบาย-แสนสุข,ชุมชนเมือง,3160,1500,1660
1033,คลองเตย,พระโขนง,เกาะกลาง,ชุมชนเมือง,230,130,100
1033,คลองเตย,พระโขนง,ข้างโรงเรียนวัดสะพาน,ชุมชนแออัด,193,76,117
1033,คลองเตย,พระโขนง,บ้านกล้วย,ชุมชนแออัด,781,399,382
1033,คลองเตย,พระโขนง,ปิยะวัชร,ชุมชนเมือง,524,249,275
1033,คลองเตย,พระโขนง,ภูมิจิตร,ชุมชนเมือง,570,270,300
1033,คลองเตย,พระโขนง,ริมคลองพระโขนง (โรงฟอกหนัง),ชุมชนแออัด,1118,498,620
1033,คลองเตย,พระโขนง,สวนอ้อย,ชุมชนแออัด,1233,510,723
1033,คลองเตย,พระโขนง,หมู่บ้านเปรมฤทัย,ชุมชนเมือง,414,210,204
1033,คลองเตย,พระโขนง,สวนไทร,ชุมชนเมือง,317,148,169
1018,คลองสาน,สมเด็จเจ้าพระยา,ซอยช่างนาค-สะพานยาว,ชุมชนแออัด,2277,1103,1174
1018,คลองสาน,สมเด็จเจ้าพระยา,สวนสมเด็จย่า,ชุมชนเมือง,6750,2850,3900
1018,คลองสาน,คลองสาน,วัดทองธรรมชาติ,ชุมชนแออัด,749,375,374
1018,คลองสาน,คลองสาน,วัดทองนพคุณ,ชุมชนแออัด,1213,579,634
1018,คลองสาน,คลองสาน,หลังโรงพยาบาลสมเด็จเจ้าพระยา,ชุมชนแออัด,118,62,56
1018,คลองสาน,คลองสาน,หลังโรงเรียนกุลสิริเทคโนโลยี,ชุมชนแออัด,109,57,52
1018,คลองสาน,คลองสาน,หลังโรงเรียนสารพัดช่างธนบุรี,ชุมชนแออัด,552,263,289
1018,คลองสาน,คลองสาน,ซอยแยกถนนเชียงใหม่,ชุมชนแออัด,344,171,173
1018,คลองสาน,คลองสาน,ซอยเจริญรัถ 5,ชุมชนแออัด,190,97,93
1018,คลองสาน,คลองสาน,ชาวประชาท่าดินแดง,ชุมชนเมือง,395,181,214
1018,คลองสาน,คลองสาน,ซอยท่าดินแดง14 และซอยท่าดินแดง 16,ชุมชนเมือง,2147,981,1166
1018,คลองสาน,บางลำภูล่าง,อู่ใหม่,ชุมชนแออัด,364,167,197
1018,คลองสาน,บางลำภูล่าง,คลองต้นไทร,ชุมชนแออัด,944,427,517
1018,คลองสาน,บางลำภูล่าง,คลองพระยาเกษม,ชุมชนแออัด,1016,489,527
1018,คลองสาน,บางลำภูล่าง,ซอยเกษมใหม่,ชุมชนแออัด,432,212,220
1018,คลองสาน,บางลำภูล่าง,ซอยวัฒนา,ชุมชนแออัด,1020,440,580
1018,คลองสาน,บางลำภูล่าง,ซอยหงษ์ทอง,ชุมชนแออัด,505,210,295
1018,คลองสาน,บางลำภูล่าง,สำปาย้าพัฒนา,ชุมชนแออัด,1138,613,525
1018,คลองสาน,บางลำภูล่าง,วัดเศวตฉัตร,ชุมชนแออัด,722,351,371
1018,คลองสาน,บางลำภูล่าง,วัดสุทธาราม,ชุมชนแออัด,1411,671,740
1018,คลองสาน,บางลำภูล่าง,หลวงพ่อโบสถ์บน,ชุมชนแออัด,381,153,228
1018,คลองสาน,บางลำภูล่าง,หลังตลาดเจริญนคร,ชุมชนแออัด,1943,926,1017
1018,คลองสาน,คลองต้นไทร,ซอยราษฎร์ร่วมเจริญ,ชุมชนเมือง,190,113,77
1018,คลองสาน,คลองต้นไทร,ซอยวนาวรรณ,ชุมชนแออัด,2517,1215,1302
1018,คลองสาน,คลองต้นไทร,ซอยวัดสุวรรณ,ชุมชนแออัด,214,84,130
1018,คลองสาน,คลองต้นไทร,มัสยิดสุวรรณภูมิ,ชุมชนแออัด,439,182,257
1018,คลองสาน,คลองต้นไทร,วัดทองเพลง,ชุมชนแออัด,571,277,294
1018,คลองสาน,คลองต้นไทร,หน้าตลาดศิรินทร์,ชุมชนแออัด,304,102,202
1018,คลองสาน,คลองต้นไทร,ตรอกงูเห่า,ชุมชนแออัด,190,113,77
1018,คลองสาน,คลองต้นไทร,สองร้อยห้อง,ชุมชนแออัด,1053,423,630
1018,คลองสาน,คลองต้นไทร,ศาลเจ้าอาเหนียว,ชุมชนแออัด,1291,567,724
1018,คลองสาน,คลองต้นไทร,หลังโรงภาพยนต์ไทยรามา,ชุมชนเมือง,1284,589,695
1018,คลองสาน,คลองต้นไทร,ซอยเจริญรัถ 12,ชุมชนแออัด,115,55,60
1046,คลองสามวา,สามวาตะวันตก,"แป้นทองสัมพันธ์ หมู่13,14",ชุมชนชานเมือง,570,270,300
1046,คลองสามวา,สามวาตะวันตก,มีนทองพัฒนา หมู่ 2,ชุมชนชานเมือง,417,186,231
1046,คลองสามวา,สามวาตะวันตก,ร่มรื่น หมู่10,ชุมชนชานเมือง,1256,651,605
1046,คลองสามวา,สามวาตะวันตก,ราษฎร์นิมิตสัมพันธ์ หมู่ 1,ชุมชนชานเมือง,620,300,320
1046,คลองสามวา,สามวาตะวันตก,สายสัมพันธ์พัฒนา หมู่ 5,ชุมชนชานเมือง,453,239,214
1046,คลองสามวา,สามวาตะวันตก,สุขสำราญพัฒนา หมู่12,ชุมชนชานเมือง,490,244,246
1046,คลองสามวา,สามวาตะวันตก,เบญจมพัฒนา หมู่ 9,ชุมชนชานเมือง,340,151,189
1046,คลองสามวา,สามวาตะวันตก,เมืองประชา-รามอินทรา,ชุมชนเมือง,8225,3715,4510
1046,คลองสามวา,สามวาตะวันตก,พระยาสุเรนทร์,ชุมชนชานเมือง,609,277,332
1046,คลองสามวา,สามวาตะวันตก,มโนรมย์ 5,ชุมชนเมือง,673,325,348
1046,คลองสามวา,สามวาตะวันตก,หมู่บ้านเค.ซี. 4 ร่วมใจ,ชุมชนเมือง,601,282,319
1046,คลองสามวา,สามวาตะวันตก,ริมคลองหนองระแหง,ชุมชนชานเมือง,345,172,173
1046,คลองสามวา,สามวาตะวันตก,หมู่บ้านเลิศอุบล พระยาสุเรนทร์ 44,ชุมชนเมือง,1485,661,824
1046,คลองสามวา,สามวาตะวันออก,สุขสันต์พัฒนา หมู่1,ชุมชนชานเมือง,769,365,404
1046,คลองสามวา,สามวาตะวันออก,น้ำใสดอกไม้สวย หมู่ 19,ชุมชนชานเมือง,304,162,142
1046,คลองสามวา,สามวาตะวันออก,ประชาสร้างสรรค์ หมู่ 21,ชุมชนชานเมือง,470,231,239
1046,คลองสามวา,สามวาตะวันออก,เฟื่องฟ้าพัฒนา หมู่ 11,ชุมชนชานเมือง,505,236,269
1046,คลองสามวา,สามวาตะวันออก,รวมน้ำใจพัฒนา หมู่ 20,ชุมชนชานเมือง,218,101,117
1046,คลองสามวา,สามวาตะวันออก,พร้อมพัฒนา หมู่ 8,ชุมชนชานเมือง,611,300,311
1046,คลองสามวา,สามวาตะวันออก,สามัคคีพัฒนา หมู่ 13,ชุมชนชานเมือง,453,203,250
1046,คลองสามวา,สามวาตะวันออก,หมู่ 14,ชุมชนชานเมือง,457,221,236
1046,คลองสามวา,สามวาตะวันออก,หมู่ 15,ชุมชนชานเมือง,925,515,410
1046,คลองสามวา,สามวาตะวันออก,พร้อมใจพัฒนา หมู่ 2,ชุมชนชานเมือง,1653,784,869
1046,คลองสามวา,สามวาตะวันออก,หมู่ 12 แขวงสามวาตะวันออก,ชุมชนชานเมือง,155,59,96
1046,คลองสามวา,สามวาตะวันออก,ดารุสสลามสร้างสรรค์ หมู่ 9,ชุมชนชานเมือง,1055,517,538
1046,คลองสามวา,สามวาตะวันออก,วัดสุขใจ,ชุมชนชานเมือง,580,259,321
1046,คลองสามวา,สามวาตะวันออก,ประสานมิตรพัฒนา หมู่ที่ 5,ชุมชนชานเมือง,303,165,138
1046,คลองสามวา,สามวาตะวันออก,คลองลำมะเขือขื่น,ชุมชนชานเมือง,473,237,236
1046,คลองสามวา,สามวาตะวันออก,ทุ่งรวงทองพัฒนาแบนชะโด,ชุมชนชานเมือง,543,265,278
1046,คลองสามวา,สามวาตะวันออก,คลองลำกะดาน,ชุมชนชานเมือง,707,354,353
1046,คลองสามวา,สามวาตะวันออก,หมู่ 3 แขวงสามวาตะวันออก,ชุมชนชานเมือง,675,235,440
1046,คลองสามวา,สามวาตะวันออก,อาสาพัฒนา,ชุมชนชานเมือง,320,158,162
1046,คลองสามวา,สามวาตะวันออก,เคหะคลองเก้า,ชุมชนเมือง,1976,1040,936
1046,คลองสามวา,บางชัน,ไทยเอราวัณ หมู่ 8,ชุมชนเมือง,329,163,166
1046,คลองสามวา,บางชัน,ภู่ระหงษ์ 2 หมู่ 4,ชุมชนเมือง,272,129,143
1046,คลองสามวา,บางชัน,เจริญพัฒนา (คูคต),ชุมชนชานเมือง,250,110,140
1046,คลองสามวา,บางชัน,ร่วมใจพัฒนา (คลองกีบหมู) หมู่ 11,ชุมชนชานเมือง,474,238,236
1046,คลองสามวา,บางชัน,หมู่บ้านธีรวรรณ,ชุมชนเมือง,1886,810,1076
1046,คลองสามวา,บางชัน,นีรชา,ชุมชนเมือง,335,150,185
1046,คลองสามวา,บางชัน,หมู่บ้านเพรชไพลิน,ชุมชนเมือง,364,174,190
1046,คลองสามวา,บางชัน,หมู่บ้านพร้อมสุข 1,ชุมชนเมือง,468,241,227
1046,คลองสามวา,บางชัน,หมู่บ้านร่มทิพย์ โครงการ 2,ชุมชนเมือง,2000,930,1070
1046,คลองสามวา,บางชัน,หมู่บ้านกรีนวิลล์,ชุมชนเมือง,213,99,114
1046,คลองสามวา,บางชัน,หมู่บ้านพูน,ชุมชนเมือง,815,374,441
1046,คลองสามวา,บางชัน,ประยงค์แย้ม,ชุมชนชานเมือง,350,140,210
1046,คลองสามวา,บางชัน,บำรุงสุข-บุญมา,ชุมชนชานเมือง,2200,912,1288
1046,คลองสามวา,บางชัน,หมู่บ้านร่มเย็น 5 พัฒนา,ชุมชนเมือง,1432,651,781
1046,คลองสามวา,บางชัน,บ้านลำกระโหลก,ชุมชนชานเมือง,815,380,435
1046,คลองสามวา,บางชัน,กาญจนา,ชุมชนชานเมือง,352,153,199
1046,คลองสามวา,บางชัน,รุ่งเรือง 1,ชุมชนชานเมือง,1057,552,505
1046,คลองสามวา,บางชัน,เฟื่องฟ้าวิลเลจ,ชุมชนเมือง,499,233,266
1046,คลองสามวา,บางชัน,หมู่บ้านอาลักษณ์,ชุมชนเมือง,445,203,242
1046,คลองสามวา,บางชัน,หมู่บ้านหทัยราษฎร์พัฒนา,ชุมชนเมือง,924,449,475
1046,คลองสามวา,บางชัน,หมู่บ้านแสนนคร,ชุมชนเมือง,416,192,224
1046,คลองสามวา,บางชัน,มหาโชค,ชุมชนเมือง,947,439,508
1046,คลองสามวา,บางชัน,หมู่บ้านร่มเย็น 24,ชุมชนเมือง,541,269,272
1046,คลองสามวา,บางชัน,หทัยราษฎร์ 31,ชุมชนเมือง,315,159,156
1046,คลองสามวา,บางชัน,หมู่บ้านนันทิศา,ชุมชนเมือง,431,205,226
1046,คลองสามวา,บางชัน,หมู่บ้านทหารกองหนุน,ชุมชนเมือง,954,449,505
1046,คลองสามวา,บางชัน,หมู่บ้านเจริญทรัพย์,ชุมชนเมือง,365,169,196
1046,คลองสามวา,ทรายกองดิน,บัวแก้วพัฒนา หมู่ 1,ชุมชนชานเมือง,604,251,353
1046,คลองสามวา,ทรายกองดิน,วังตาหนวดพัฒนา หมู่ 5,ชุมชนชานเมือง,675,235,440
1046,คลองสามวา,ทรายกองดิน,บึงไผ่,ชุมชนชานเมือง,548,238,310
