dcode,dname,sex,age,population,age_group,age_group_range
1036,เขตดอนเมือง,male,22,2644,20,15 to 64 years
1002,เขตดุสิต,male,22,2597,20,15 to 64 years
1046,เขตคลองสามวา,female,51,2108,50,15 to 64 years
1046,เขตคลองสามวา,female,42,2076,40,15 to 64 years
1046,เขตคลองสามวา,female,54,2063,50,15 to 64 years
1046,เขตคลองสามวา,female,52,2048,50,15 to 64 years
1046,เขตคลองสามวา,female,43,2031,40,15 to 64 years
1046,เขตคลองสามวา,female,46,2030,45,15 to 64 years
1046,เขตคลองสามวา,female,41,2029,40,15 to 64 years
1042,เขตสายไหม,female,54,2012,50,15 to 64 years
1046,เขตคลองสามวา,female,50,2008,50,15 to 64 years
1046,เขตคลองสามวา,female,44,2004,40,15 to 64 years
1042,เขตสายไหม,female,42,1984,40,15 to 64 years
1046,เขตคลองสามวา,female,45,1974,45,15 to 64 years
1046,เขตคลองสามวา,female,53,1974,50,15 to 64 years
1036,เขตดอนเมือง,male,23,1965,20,15 to 64 years
1046,เขตคลองสามวา,female,47,1963,45,15 to 64 years
1046,เขตคลองสามวา,female,48,1955,45,15 to 64 years
1042,เขตสายไหม,female,57,1953,55,15 to 64 years
1046,เขตคลองสามวา,female,40,1947,40,15 to 64 years
1042,เขตสายไหม,female,52,1946,50,15 to 64 years
1042,เขตสายไหม,female,53,1942,50,15 to 64 years
1042,เขตสายไหม,female,44,1924,40,15 to 64 years
1042,เขตสายไหม,female,41,1906,40,15 to 64 years
1046,เขตคลองสามวา,female,55,1898,55,15 to 64 years
1042,เขตสายไหม,female,43,1888,40,15 to 64 years
1046,เขตคลองสามวา,female,57,1886,55,15 to 64 years
1042,เขตสายไหม,female,50,1881,50,15 to 64 years
1042,เขตสายไหม,female,51,1875,50,15 to 64 years
1042,เขตสายไหม,female,55,1863,55,15 to 64 years
1005,เขตบางเขน,female,43,1862,40,15 to 64 years
1046,เขตคลองสามวา,female,49,1861,45,15 to 64 years
1046,เขตคลองสามวา,female,56,1860,55,15 to 64 years
1042,เขตสายไหม,female,40,1856,40,15 to 64 years
1021,เขตบางขุนเทียน,female,45,1855,45,15 to 64 years
1042,เขตสายไหม,female,45,1851,45,15 to 64 years
1046,เขตคลองสามวา,female,39,1847,35,15 to 64 years
1042,เขตสายไหม,female,58,1837,55,15 to 64 years
1042,เขตสายไหม,female,48,1835,45,15 to 64 years
1032,เขตประเวศ,female,43,1832,40,15 to 64 years
1042,เขตสายไหม,female,56,1826,55,15 to 64 years
1040,เขตบางแค,female,54,1821,50,15 to 64 years
1042,เขตสายไหม,female,49,1821,45,15 to 64 years
1005,เขตบางเขน,female,42,1816,40,15 to 64 years
1040,เขตบางแค,female,56,1813,55,15 to 64 years
1040,เขตบางแค,female,57,1804,55,15 to 64 years
1032,เขตประเวศ,female,42,1804,40,15 to 64 years
1046,เขตคลองสามวา,male,52,1803,50,15 to 64 years
1032,เขตประเวศ,female,45,1802,45,15 to 64 years
1032,เขตประเวศ,female,41,1794,40,15 to 64 years
1005,เขตบางเขน,female,51,1788,50,15 to 64 years
1005,เขตบางเขน,female,46,1784,45,15 to 64 years
1046,เขตคลองสามวา,male,53,1777,50,15 to 64 years
1046,เขตคลองสามวา,male,54,1768,50,15 to 64 years
1042,เขตสายไหม,female,46,1767,45,15 to 64 years
1046,เขตคลองสามวา,female,37,1763,35,15 to 64 years
1005,เขตบางเขน,female,55,1763,55,15 to 64 years
1021,เขตบางขุนเทียน,female,40,1763,40,15 to 64 years
1040,เขตบางแค,female,59,1761,55,15 to 64 years
1046,เขตคลองสามวา,female,38,1760,35,15 to 64 years
1040,เขตบางแค,female,55,1758,55,15 to 64 years
1042,เขตสายไหม,male,42,1757,40,15 to 64 years
1046,เขตคลองสามวา,male,43,1756,40,15 to 64 years
1005,เขตบางเขน,female,45,1752,45,15 to 64 years
1021,เขตบางขุนเทียน,female,43,1752,40,15 to 64 years
1032,เขตประเวศ,female,40,1750,40,15 to 64 years
1042,เขตสายไหม,female,39,1749,35,15 to 64 years
1021,เขตบางขุนเทียน,female,42,1748,40,15 to 64 years
1005,เขตบางเขน,female,40,1740,40,15 to 64 years
1005,เขตบางเขน,female,52,1736,50,15 to 64 years
1042,เขตสายไหม,female,47,1735,45,15 to 64 years
1003,เขตหนองจอก,female,51,1732,50,15 to 64 years
1032,เขตประเวศ,female,44,1728,40,15 to 64 years
1005,เขตบางเขน,female,53,1726,50,15 to 64 years
1032,เขตประเวศ,female,47,1725,45,15 to 64 years
1032,เขตประเวศ,female,46,1724,45,15 to 64 years
1005,เขตบางเขน,female,57,1723,55,15 to 64 years
1036,เขตดอนเมือง,male,24,1722,20,15 to 64 years
1005,เขตบางเขน,female,50,1721,50,15 to 64 years
1040,เขตบางแค,female,60,1719,60,15 to 64 years
1005,เขตบางเขน,female,54,1718,50,15 to 64 years
1040,เขตบางแค,female,53,1718,50,15 to 64 years
1021,เขตบางขุนเทียน,female,46,1716,45,15 to 64 years
1046,เขตคลองสามวา,male,50,1715,50,15 to 64 years
1046,เขตคลองสามวา,male,42,1714,40,15 to 64 years
1011,เขตลาดกระบัง,female,43,1714,40,15 to 64 years
1005,เขตบางเขน,female,44,1713,40,15 to 64 years
1021,เขตบางขุนเทียน,female,41,1709,40,15 to 64 years
1040,เขตบางแค,female,58,1708,55,15 to 64 years
1005,เขตบางเขน,female,49,1704,45,15 to 64 years
1011,เขตลาดกระบัง,female,42,1703,40,15 to 64 years
1042,เขตสายไหม,female,59,1703,55,15 to 64 years
1046,เขตคลองสามวา,male,41,1701,40,15 to 64 years
1042,เขตสายไหม,female,38,1698,35,15 to 64 years
1042,เขตสายไหม,male,43,1698,40,15 to 64 years
1046,เขตคลองสามวา,female,26,1697,25,15 to 64 years
1046,เขตคลองสามวา,male,47,1697,45,15 to 64 years
1032,เขตประเวศ,female,48,1696,45,15 to 64 years
1046,เขตคลองสามวา,male,45,1695,45,15 to 64 years
1005,เขตบางเขน,female,47,1695,45,15 to 64 years
1005,เขตบางเขน,female,41,1694,40,15 to 64 years
1011,เขตลาดกระบัง,female,41,1694,40,15 to 64 years
1011,เขตลาดกระบัง,female,45,1689,45,15 to 64 years
1005,เขตบางเขน,female,48,1686,45,15 to 64 years
1003,เขตหนองจอก,female,45,1686,45,15 to 64 years
1046,เขตคลองสามวา,male,51,1682,50,15 to 64 years
1046,เขตคลองสามวา,male,55,1679,55,15 to 64 years
1040,เขตบางแค,female,46,1679,45,15 to 64 years
1021,เขตบางขุนเทียน,female,44,1679,40,15 to 64 years
1046,เขตคลองสามวา,female,58,1678,55,15 to 64 years
1011,เขตลาดกระบัง,female,51,1674,50,15 to 64 years
1040,เขตบางแค,female,61,1672,60,15 to 64 years
1042,เขตสายไหม,female,60,1671,60,15 to 64 years
1021,เขตบางขุนเทียน,female,51,1669,50,15 to 64 years
1046,เขตคลองสามวา,female,27,1668,25,15 to 64 years
1046,เขตคลองสามวา,male,48,1666,45,15 to 64 years
1011,เขตลาดกระบัง,female,40,1665,40,15 to 64 years
1011,เขตลาดกระบัง,female,46,1664,45,15 to 64 years
1003,เขตหนองจอก,female,46,1663,45,15 to 64 years
1046,เขตคลองสามวา,female,36,1662,35,15 to 64 years
1046,เขตคลองสามวา,female,30,1661,30,15 to 64 years
1005,เขตบางเขน,female,56,1661,55,15 to 64 years
1021,เขตบางขุนเทียน,female,47,1661,45,15 to 64 years
1040,เขตบางแค,female,48,1659,45,15 to 64 years
1046,เขตคลองสามวา,female,31,1656,30,15 to 64 years
1046,เขตคลองสามวา,male,46,1654,45,15 to 64 years
1040,เขตบางแค,female,51,1651,50,15 to 64 years
1046,เขตคลองสามวา,male,44,1648,40,15 to 64 years
1042,เขตสายไหม,female,36,1648,35,15 to 64 years
1021,เขตบางขุนเทียน,female,50,1647,50,15 to 64 years
1032,เขตประเวศ,male,43,1645,40,15 to 64 years
1040,เขตบางแค,female,62,1644,60,15 to 64 years
1005,เขตบางเขน,female,58,1642,55,15 to 64 years
1036,เขตดอนเมือง,male,26,1638,25,15 to 64 years
1011,เขตลาดกระบัง,female,44,1636,40,15 to 64 years
1046,เขตคลองสามวา,female,28,1632,25,15 to 64 years
1046,เขตคลองสามวา,male,40,1631,40,15 to 64 years
1040,เขตบางแค,female,50,1631,50,15 to 64 years
1042,เขตสายไหม,male,51,1631,50,15 to 64 years
1021,เขตบางขุนเทียน,female,49,1630,45,15 to 64 years
1032,เขตประเวศ,female,39,1628,35,15 to 64 years
1003,เขตหนองจอก,female,53,1627,50,15 to 64 years
1040,เขตบางแค,female,52,1625,50,15 to 64 years
1021,เขตบางขุนเทียน,female,48,1625,45,15 to 64 years
1042,เขตสายไหม,male,27,1625,25,15 to 64 years
1046,เขตคลองสามวา,female,32,1623,30,15 to 64 years
1042,เขตสายไหม,male,50,1623,50,15 to 64 years
1040,เขตบางแค,female,43,1621,40,15 to 64 years
1021,เขตบางขุนเทียน,female,52,1620,50,15 to 64 years
1003,เขตหนองจอก,female,47,1614,45,15 to 64 years
1042,เขตสายไหม,male,54,1612,50,15 to 64 years
1042,เขตสายไหม,male,57,1612,55,15 to 64 years
1032,เขตประเวศ,female,50,1611,50,15 to 64 years
1003,เขตหนองจอก,female,48,1608,45,15 to 64 years
1042,เขตสายไหม,female,27,1607,25,15 to 64 years
1046,เขตคลองสามวา,female,29,1605,25,15 to 64 years
1042,เขตสายไหม,female,37,1605,35,15 to 64 years
1042,เขตสายไหม,female,61,1605,60,15 to 64 years
1021,เขตบางขุนเทียน,female,38,1604,35,15 to 64 years
1040,เขตบางแค,female,42,1603,40,15 to 64 years
1042,เขตสายไหม,male,26,1603,25,15 to 64 years
1011,เขตลาดกระบัง,female,52,1598,50,15 to 64 years
1021,เขตบางขุนเทียน,female,54,1597,50,15 to 64 years
1040,เขตบางแค,female,49,1596,45,15 to 64 years
1042,เขตสายไหม,female,26,1595,25,15 to 64 years
1042,เขตสายไหม,female,62,1595,60,15 to 64 years
1046,เขตคลองสามวา,female,25,1593,25,15 to 64 years
1040,เขตบางแค,female,63,1593,60,15 to 64 years
1011,เขตลาดกระบัง,female,53,1592,50,15 to 64 years
1042,เขตสายไหม,female,29,1591,25,15 to 64 years
1040,เขตบางแค,female,45,1589,45,15 to 64 years
1032,เขตประเวศ,male,42,1589,40,15 to 64 years
1041,เขตหลักสี่,male,22,1588,20,15 to 64 years
1036,เขตดอนเมือง,male,21,1586,20,15 to 64 years
1003,เขตหนองจอก,female,54,1586,50,15 to 64 years
1040,เขตบางแค,male,27,1585,25,15 to 64 years
1040,เขตบางแค,female,44,1581,40,15 to 64 years
1042,เขตสายไหม,female,30,1579,30,15 to 64 years
1005,เขตบางเขน,female,39,1578,35,15 to 64 years
1003,เขตหนองจอก,female,50,1578,50,15 to 64 years
1011,เขตลาดกระบัง,female,50,1575,50,15 to 64 years
1003,เขตหนองจอก,male,51,1575,50,15 to 64 years
1032,เขตประเวศ,female,49,1574,45,15 to 64 years
1021,เขตบางขุนเทียน,male,46,1572,45,15 to 64 years
1032,เขตประเวศ,female,54,1572,50,15 to 64 years
1003,เขตหนองจอก,female,42,1572,40,15 to 64 years
1011,เขตลาดกระบัง,female,39,1571,35,15 to 64 years
1046,เขตคลองสามวา,male,39,1570,35,15 to 64 years
1046,เขตคลองสามวา,male,49,1570,45,15 to 64 years
1046,เขตคลองสามวา,male,56,1568,55,15 to 64 years
1005,เขตบางเขน,male,43,1568,40,15 to 64 years
1021,เขตบางขุนเทียน,female,53,1568,50,15 to 64 years
1042,เขตสายไหม,male,56,1568,55,15 to 64 years
1046,เขตคลองสามวา,male,26,1567,25,15 to 64 years
1032,เขตประเวศ,female,38,1567,35,15 to 64 years
1030,เขตจตุจักร,female,41,1563,40,15 to 64 years
1011,เขตลาดกระบัง,female,54,1563,50,15 to 64 years
1046,เขตคลองสามวา,male,27,1562,25,15 to 64 years
1003,เขตหนองจอก,female,49,1561,45,15 to 64 years
1032,เขตประเวศ,female,51,1560,50,15 to 64 years
1042,เขตสายไหม,male,39,1558,35,15 to 64 years
1042,เขตสายไหม,male,40,1558,40,15 to 64 years
1042,เขตสายไหม,female,28,1556,25,15 to 64 years
1042,เขตสายไหม,male,52,1554,50,15 to 64 years
1003,เขตหนองจอก,female,43,1553,40,15 to 64 years
1011,เขตลาดกระบัง,female,47,1552,45,15 to 64 years
1030,เขตจตุจักร,female,42,1551,40,15 to 64 years
1036,เขตดอนเมือง,male,25,1551,25,15 to 64 years
1042,เขตสายไหม,female,31,1551,30,15 to 64 years
1046,เขตคลองสามวา,male,57,1550,55,15 to 64 years
1042,เขตสายไหม,male,58,1550,55,15 to 64 years
1005,เขตบางเขน,female,60,1548,60,15 to 64 years
1021,เขตบางขุนเทียน,female,55,1548,55,15 to 64 years
1021,เขตบางขุนเทียน,male,42,1548,40,15 to 64 years
1042,เขตสายไหม,male,41,1548,40,15 to 64 years
1046,เขตคลองสามวา,female,33,1547,30,15 to 64 years
1040,เขตบางแค,female,27,1546,25,15 to 64 years
1005,เขตบางเขน,female,38,1545,35,15 to 64 years
1040,เขตบางแค,female,41,1545,40,15 to 64 years
1005,เขตบางเขน,female,59,1544,55,15 to 64 years
1021,เขตบางขุนเทียน,female,39,1544,35,15 to 64 years
1032,เขตประเวศ,female,52,1544,50,15 to 64 years
1011,เขตลาดกระบัง,female,55,1543,55,15 to 64 years
1040,เขตบางแค,female,47,1542,45,15 to 64 years
1021,เขตบางขุนเทียน,female,58,1542,55,15 to 64 years
1003,เขตหนองจอก,female,52,1540,50,15 to 64 years
1042,เขตสายไหม,male,46,1539,45,15 to 64 years
1032,เขตประเวศ,male,44,1538,40,15 to 64 years
