dcode,dname,year,value
1003,เขตหนองจอก,2566,7.5
1029,เขตบางซื่อ,2566,8.31
1040,เขตบางแค,2566,11.88
1015,เขตธนบุรี,2566,9.31
1034,เขตสวนหลวง,2566,2.04
1042,เขตสายไหม,2566,8.64
1023,เขตหนองแขม,2566,13.76
1018,เขตคลองสาน,2566,2.89
1027,เขตบึงกุ่ม,2566,16.7
1038,เขตลาดพร้าว,2566,11.82
1037,เขตราชเทวี,2566,25.43
1050,เขตบางบอน,2566,10.52
1022,เขตภาษีเจริญ,2566,6.41
1026,เขตดินแดง,2566,11.32
1007,เขตปทุมวัน,2566,8.28
1030,เขตจตุจักร,2566,18.8
1049,เขตทุ่งครุ,2566,4.18
1035,เขตจอมทอง,2566,2.48
1033,เขตคลองเตย,2566,9.7
1021,เขตบางขุนเทียน,2566,2.99
1031,เขตบางคอแหลม,2566,7.65
1039,เขตวัฒนา,2566,10.19
1016,เขตบางกอกใหญ่,2566,3.54
1043,เขตคันนายาว,2566,17.8
1008,เขตป้อมปราบศัตรูพ่าย,2566,10.96
1044,เขตสะพานสูง,2566,7.78
1001,เขตพระนคร,2566,6.34
1014,เขตพญาไท,2566,24.61
1024,เขตราษฎร์บูรณะ,2566,2.34
1046,เขตคลองสามวา,2566,1.97
1017,เขตห้วยขวาง,2566,2.1
1009,เขตพระโขนง,2566,8.48
1019,เขตตลิ่งชัน,2566,4.56
1010,เขตมีนบุรี,2566,1.07
1020,เขตบางกอกน้อย,2566,5.17
1025,เขตบางพลัด,2566,6.93
1002,เขตดุสิต,2566,6.91
1005,เขตบางเขน,2566,8.57
1047,เขตบางนา,2566,23.53
1041,เขตหลักสี่,2566,3.74
1045,เขตวังทองหลาง,2566,7.41
1006,เขตบางกะปิ,2566,9
1011,เขตลาดกระบัง,2566,11.83
1012,เขตยานนาวา,2566,6.02
1048,เขตทวีวัฒนา,2566,1.39
1004,เขตบางรัก,2566,25.27
1036,เขตดอนเมือง,2566,4.55
1028,เขตสาทร,2566,6.67
1032,เขตประเวศ,2566,13.79
1013,เขตสัมพันธวงศ์,2566,13.33
1021,เขตบางขุนเทียน,2567,23.26
1040,เขตบางแค,2567,20.9
1032,เขตประเวศ,2567,11.78
1003,เขตหนองจอก,2567,13.07
1015,เขตธนบุรี,2567,14.34
1011,เขตลาดกระบัง,2567,15.74
1006,เขตบางกะปิ,2567,11.12
1035,เขตจอมทอง,2567,11.86
1005,เขตบางเขน,2567,14.76
1023,เขตหนองแขม,2567,20.38
1025,เขตบางพลัด,2567,10.47
1022,เขตภาษีเจริญ,2567,21.05
1047,เขตบางนา,2567,16.04
1012,เขตยานนาวา,2567,16.73
1010,เขตมีนบุรี,2567,10.56
1026,เขตดินแดง,2567,22.38
1033,เขตคลองเตย,2567,13.56
1049,เขตทุ่งครุ,2567,14.41
1029,เขตบางซื่อ,2567,12.24
1030,เขตจตุจักร,2567,16.33
1031,เขตบางคอแหลม,2567,11.96
1038,เขตลาดพร้าว,2567,17.37
1046,เขตคลองสามวา,2567,12.76
1042,เขตสายไหม,2567,9.27
1027,เขตบึงกุ่ม,2567,14.47
1020,เขตบางกอกน้อย,2567,18.77
1050,เขตบางบอน,2567,20.49
1019,เขตตลิ่งชัน,2567,19.16
1009,เขตพระโขนง,2567,17.61
1018,เขตคลองสาน,2567,12.28
1034,เขตสวนหลวง,2567,12.62
1008,เขตป้อมปราบศัตรูพ่าย,2567,13.59
1037,เขตราชเทวี,2567,21.62
1016,เขตบางกอกใหญ่,2567,15.09
1043,เขตคันนายาว,2567,12.83
