dcode,dname,year,sex,value
1003,เขตหนองจอก,2566,male,17.09
1003,เขตหนองจอก,2566,female,2.73
1003,เขตหนองจอก,2566,lgbt,
1029,เขตบางซื่อ,2566,male,13.64
1029,เขตบางซื่อ,2566,female,5.1
1029,เขตบางซื่อ,2566,lgbt,
1040,เขตบางแค,2566,male,23.02
1040,เขตบางแค,2566,female,8.21
1040,เขตบางแค,2566,lgbt,
1015,เขตธนบุรี,2566,male,18.52
1015,เขตธนบุรี,2566,female,5.65
1015,เขตธนบุรี,2566,lgbt,
1034,เขตสวนหลวง,2566,male,4.94
1034,เขตสวนหลวง,2566,female,1.16
1034,เขตสวนหลวง,2566,lgbt,
1042,เขตสายไหม,2566,male,16.44
1042,เขตสายไหม,2566,female,4.71
1042,เขตสายไหม,2566,lgbt,
1023,เขตหนองแขม,2566,male,29.23
1023,เขตหนองแขม,2566,female,6.62
1023,เขตหนองแขม,2566,lgbt,
1018,เขตคลองสาน,2566,male,4.12
1018,เขตคลองสาน,2566,female,2.15
1018,เขตคลองสาน,2566,lgbt,
1027,เขตบึงกุ่ม,2566,male,33.65
1027,เขตบึงกุ่ม,2566,female,10.74
1027,เขตบึงกุ่ม,2566,lgbt,
1038,เขตลาดพร้าว,2566,male,20.47
1038,เขตลาดพร้าว,2566,female,7.64
1038,เขตลาดพร้าว,2566,lgbt,
1037,เขตราชเทวี,2566,male,42.75
1037,เขตราชเทวี,2566,female,17.02
1037,เขตราชเทวี,2566,lgbt,
1050,เขตบางบอน,2566,male,17.34
1050,เขตบางบอน,2566,female,6
1050,เขตบางบอน,2566,lgbt,
1022,เขตภาษีเจริญ,2566,male,11.34
1022,เขตภาษีเจริญ,2566,female,3.59
1022,เขตภาษีเจริญ,2566,lgbt,
1026,เขตดินแดง,2566,male,20.79
1026,เขตดินแดง,2566,female,7.31
1026,เขตดินแดง,2566,lgbt,
1007,เขตปทุมวัน,2566,male,11.25
1007,เขตปทุมวัน,2566,female,5.78
1007,เขตปทุมวัน,2566,lgbt,
1030,เขตจตุจักร,2566,male,30.35
1030,เขตจตุจักร,2566,female,11.97
1030,เขตจตุจักร,2566,lgbt,
1049,เขตทุ่งครุ,2566,male,7.97
1049,เขตทุ่งครุ,2566,female,1.91
1049,เขตทุ่งครุ,2566,lgbt,
1035,เขตจอมทอง,2566,male,3.43
1035,เขตจอมทอง,2566,female,1.95
1035,เขตจอมทอง,2566,lgbt,
1033,เขตคลองเตย,2566,male,13.66
1033,เขตคลองเตย,2566,female,8.06
1033,เขตคลองเตย,2566,lgbt,
1021,เขตบางขุนเทียน,2566,male,4.81
1021,เขตบางขุนเทียน,2566,female,1.64
1021,เขตบางขุนเทียน,2566,lgbt,
1031,เขตบางคอแหลม,2566,male,13.27
1031,เขตบางคอแหลม,2566,female,4.94
1031,เขตบางคอแหลม,2566,lgbt,
1039,เขตวัฒนา,2566,male,15.53
1039,เขตวัฒนา,2566,female,7.24
1039,เขตวัฒนา,2566,lgbt,
1016,เขตบางกอกใหญ่,2566,male,7.07
1016,เขตบางกอกใหญ่,2566,female,1.54
1016,เขตบางกอกใหญ่,2566,lgbt,
1043,เขตคันนายาว,2566,male,32.09
1043,เขตคันนายาว,2566,female,9.6
1043,เขตคันนายาว,2566,lgbt,
1008,เขตป้อมปราบศัตรูพ่าย,2566,male,20
1008,เขตป้อมปราบศัตรูพ่าย,2566,female,5.76
1008,เขตป้อมปราบศัตรูพ่าย,2566,lgbt,
1044,เขตสะพานสูง,2566,male,13.95
1044,เขตสะพานสูง,2566,female,6.37
1044,เขตสะพานสูง,2566,lgbt,
1001,เขตพระนคร,2566,male,11.95
1001,เขตพระนคร,2566,female,2.79
1001,เขตพระนคร,2566,lgbt,
1014,เขตพญาไท,2566,male,43.45
1014,เขตพญาไท,2566,female,15.29
1014,เขตพญาไท,2566,lgbt,
1024,เขตราษฎร์บูรณะ,2566,male,2.13
1024,เขตราษฎร์บูรณะ,2566,female,2.54
1024,เขตราษฎร์บูรณะ,2566,lgbt,
1046,เขตคลองสามวา,2566,male,2.16
1046,เขตคลองสามวา,2566,female,1.85
1046,เขตคลองสามวา,2566,lgbt,
1017,เขตห้วยขวาง,2566,male,3.55
1017,เขตห้วยขวาง,2566,lgbt,
1009,เขตพระโขนง,2566,male,11.45
1009,เขตพระโขนง,2566,female,6.53
1009,เขตพระโขนง,2566,lgbt,
1019,เขตตลิ่งชัน,2566,male,4.31
1019,เขตตลิ่งชัน,2566,female,4.71
1019,เขตตลิ่งชัน,2566,lgbt,
1010,เขตมีนบุรี,2566,male,1.32
1010,เขตมีนบุรี,2566,female,0.78
1010,เขตมีนบุรี,2566,lgbt,
1020,เขตบางกอกน้อย,2566,male,7.92
1020,เขตบางกอกน้อย,2566,female,3.53
1020,เขตบางกอกน้อย,2566,lgbt,
1025,เขตบางพลัด,2566,male,15.58
1025,เขตบางพลัด,2566,female,1.6
1025,เขตบางพลัด,2566,lgbt,
1002,เขตดุสิต,2566,male,16.95
1002,เขตดุสิต,2566,female,2.33
1002,เขตดุสิต,2566,lgbt,
1005,เขตบางเขน,2566,male,6.98
1005,เขตบางเขน,2566,female,9.28
1005,เขตบางเขน,2566,lgbt,
1047,เขตบางนา,2566,male,34
1047,เขตบางนา,2566,female,18.45
1047,เขตบางนา,2566,lgbt,
1041,เขตหลักสี่,2566,male,12.5
1041,เขตหลักสี่,2566,lgbt,
1045,เขตวังทองหลาง,2566,male,6.12
1045,เขตวังทองหลาง,2566,female,8.47
1045,เขตวังทองหลาง,2566,lgbt,
