type,Name,Lat,Lng,dcode,dname
pharmacy_nhso,ร้านเอ็กซ์ต้า พลัส สาขาพหลโยธิน 47,13.851532,100.58238,1030,จตุจักร
community_healthcenter,ศูนย์สุขภาพชุมชนวัดกระทุ่มราย,13.81130881,100.9332059,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนป.เจริญมิตรพัฒนา,13.82329216,100.9263685,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนม.13 กระทุ่มราย,13.80558088,100.9260658,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนแผ่นดินทองดารุ้ลฆอนี,13.82611917,100.9115757,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนแผ่นดินทองฮาซานุดดีน,13.85604647,100.8983248,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนนูรุ้ลกอดีม,13.78727898,100.8971019,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนแผ่นดินทอง นูรุ้ลยากีน,13.84376803,100.8966713,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนหมู่ 8 รุ่งเรือง,13.84894982,100.8927545,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนสุเหร่าคลองสอง,13.80225778,100.8884654,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนแผ่นดินทองวัดลำต้อยติ่ง,13.75346747,100.8866774,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนแผ่นดินทองอัลฮาดีย์,13.84936596,100.8856727,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนเกาะกลางพัฒนา,13.85056392,100.8826762,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนพิบูลย์ทรัพย์17,13.84830662,100.8823991,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนนันทวันเซนต์ 2,13.84288785,100.881893,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนแผ่นดินทองนูรุดดีน,13.87055533,100.8803397,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนแผ่นดินทองดารุ้ลอะมาน,13.78343376,100.8799917,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนม.5 กระทุ่มราย,13.85114586,100.8775103,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนม.5 บ้านนาหมอน,13.92995589,100.8774051,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนลำตามีพัฒนา,13.75625391,100.8768435,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนวัดลำวังคาสุทธาวาส,13.74676643,100.876546,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนบึงโขล่,13.79060166,100.8763224,1003,หนองจอก
clinic,พรรณภาคลินิกเวชกรรม,13.85241209,100.8761613,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนแผ่นดินทองนูรุ้ลลอฮ์ (ลำโขล่),13.81559054,100.8704924,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนวัดใหม่กระทุ่มล้ม,13.78089033,100.8698182,1003,หนองจอก
clinic,พี.เอส.การแพทย์คลินิกเวชกรรม,13.8548318,100.8690166,1003,หนองจอก
clinic,คลินิกเวชกรรมชุมพลการแพทย์,13.8876075,100.8688321,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนประชาสำราญ,13.92216855,100.8675807,1003,หนองจอก
clinic,แพทย์ไชยวัฒน์คลินิกเวชกรรม,13.8564796,100.8659409,1003,หนองจอก
clinic,สกุลดีสหคลินิก,13.8601423,100.8632814,1003,หนองจอก
clinic,สกุลดีสหคลินิก,13.8599444,100.8631909,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนอัลฮูดา,13.86293128,100.8609269,1003,หนองจอก
clinic,ฮำซะฮฺคลินิกเวชกรรม,13.8454796,100.8603535,1003,หนองจอก
clinic,เดอะไลน์คลินิกเวชกรรม,13.85012633,100.8596184,1003,หนองจอก
clinic,1003คลินิกเวชกรรม,13.8498585,100.8595246,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนลำมดตะนอยสร้างสรรค์,13.78756897,100.8591353,1003,หนองจอก
hospital_public,โรงพยาบาลเวชการุณย์รัศมิ์,13.856844,100.858974,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนดารุ้ลนาซีฮะห์,13.8009514,100.8582981,1003,หนองจอก
clinic,ลออคลินิกเวชกรรม,13.8556079,100.8581333,1003,หนองจอก
community_healthcenter,ศูนย์สุขภาพชุมชนเจริญดำริ,13.84235226,100.8573315,1003,หนองจอก
clinic,มหานครคลินิกเวชกรรม,13.8396957,100.8557197,1003,หนองจอก
