id,indicator,indicator_THA,indicator_ENG,detail_THA,detail_ENG,calculation_method_THA,calculation_method_ENG
1,unemployment_rate,อัตราการว่างงาน,Unemployment Rate,วัดเปอร์เซ็นต์ของแรงงานที่ไม่มีงานทำแต่กำลังหางานอยู่ อัตราการว่างงานที่สูงแสดงถึงความไม่มั่นคงทางเศรษฐกิจและการเข้าถึงโอกาสในการหารายได้ที่จำกัดในชุมชน,Measures the percentage of the labor force that is without work but actively seeking employment. High unemployment rates indicate economic insecurity and limited access to income-generating opportunities within communities.,จำนวนผู้ว่างงาน ÷ จำนวนประชากรทั้งหมด × 100,Number of unemployed people ÷ Total population × 100
2,employment_rate,อัตราการจ้างงานต่อประชากร,Employment Rate,แสดงสัดส่วนของประชากรวัยทำงานที่มีงานทำในปัจจุบัน ตัวชี้วัดนี้สะท้อนการมีโอกาสทางเศรษฐกิจและความสามารถของเศรษฐกิจท้องถิ่นในการจัดหาอาชีพที่ยั่งยืน,Represents the proportion of working-age population that is currently employed. This indicator reflects the availability of economic opportunities and the capacity of the local economy to provide sustainable livelihoods.,จำนวนผู้มีงานทำ ÷ จำนวนประชากรทั้งหมด × 100,Number of employed people ÷ Total population × 100
3,vulnerable_employment,อัตราการจ้างงานที่ไม่มั่นคงต่อการจ้างงานทั้งหมด,Vulnerable Employment,วัดเปอร์เซ็นต์ของแรงงานที่อยู่ในสถานการณ์การจ้างงานที่ไม่มั่นคง รวมถึงงานนอกระบบที่ไม่มีการคุ้มครองทางสังคมหรือความมั่นคงในงาน ตัวชี้วัดนี้เน้นความเสี่ยงทางเศรษฐกิจและการขาดการคุ้มครองสิทธิแรงงาน,Captures the percentage of workers in precarious employment situations including informal work without social protection or job security. This indicator highlights economic vulnerability and lack of labor rights protection.,จำนวนผู้ทำงานนอกระบบ ÷ จำนวนประชากรทั้งหมด × 100,Number of informal workers ÷ Total population × 100
4,non_vulnerable_employment,อัตราการจ้างงานที่มั่นคงต่อการจ้างงานทั้งหมด,Non-Vulnerable Employment,วัดเปอร์เซ็นต์ของแรงงานที่อยู่ในสถานการณ์การจ้างงานที่มั่นคง โดยมีสัญญาจ้างงานที่เป็นทางการและชัดเจน ทำให้มีสิทธิและสวัสดิการตามกฎหมายคุ้มครองแรงงาน,"According to the International Labour Organization (ILO), non-vulnerable employment includes jobs held by employees and employers. These positions are typically more secure and protected than self-employment or unpaid family work. Employees usually have formal contracts, making their positions more secure and less likely to be terminated without cause",จำนวนผู้ทำงานที่มีสัญญาจ้าง ÷ จำนวนประชากรทั้งหมด × 100,Number of workers that have formal contract ÷ Total population × 100
5,food_insecurity_moderate,ความชุกของ ภาวะขาดสารอาหารระดับปานกลาง,Food Insecurity (Moderate),วัดครัวเรือนที่ประสบความไม่แน่นอนเกี่ยวกับการเข้าถึงอาหารหรือถูกบังคับให้ลดคุณภาพหรือความหลากหลายของอาหารเนื่องจากข้อจำกัดด้านทรัพยากร สะท้อนระดับความเสี่ยงด้านโภชนาการในระดับปานกลางของประชากร,Measures households experiencing uncertainty about food access or forced to compromise food quality or variety due to resource constraints. This reflects moderate levels of nutritional vulnerability within the population.,จำนวนผู้ขาดสารอาหารระดับปานกลาง ÷ จำนวนประชากรทั้งหมด × 100,Number of people with moderate food insecurity ÷ Total population × 100
6,food_insecurity_severe,ความชุกของ ภาวะขาดสารอาหารระดับรุนแรง,Food Insecurity (Severe),แสดงครัวเรือนที่เผชิญกับการขาดแคลนอาหารอย่างรุนแรง ความหิวโหย หรือการอดอาหารเป็นเวลานานเนื่องจากขาดทรัพยากร สะท้อนระดับการขาดแคลนทางโภชนาการและความยากลำบากทางเศรษฐกิจที่วิกฤตที่สุด,Indicates households facing severe food shortages hunger or going without food for extended periods due to lack of resources. This represents the most critical level of nutritional deprivation and economic hardship.,จำนวนผู้ขาดสารอาหารระดับรุนแรง ÷ จำนวนประชากรทั้งหมด × 100,Number of people with severe food insecurity ÷ Total population × 100
7,work_injury_fatal,อัตราความถี่ของการบาดเจ็บร้ายแรงจากการทำงาน,Work Injury (Fatal/Serious),ติดตามความถี่ของอุบัติเหตุในที่ทำงานที่ร้ายแรงส่งผลให้เสียชีวิตหรือพิการถาวร ตัวชี้วัดนี้สะท้อนมาตรฐานความปลอดภัยในการทำงานและความเพียงพอของมาตรการคุ้มครองในสถานที่ทำงาน,Tracks the frequency of serious workplace accidents resulting in death or permanent disability. This indicator reflects occupational safety standards and the adequacy of workplace protection measures.,จำนวนผู้บาดเจ็บร้ายแรงจากการทำงาน ÷ จำนวนประชากรทั้งหมด × 100,Number of people with serious work injuries ÷ Total population × 100
8,work_injury_non_fatal,อัตราความถี่ของการบาดเจ็บไม่ร้ายแรงจากการทำงาน,Work Injury (Non-Fatal),วัดการเกิดอุบัติเหตุในที่ทำงานที่ไม่ส่งผลให้เสียชีวิตแต่อาจทำให้เกิดความบกพร่องชั่วคราวหรือถาวรเล็กน้อย แสดงสภาพความปลอดภัยในที่ทำงานโดยรวมและแนวทางการจัดการความเสี่ยง,Measures the occurrence of workplace injuries that do not result in death but may cause temporary or minor permanent impairment. This indicates overall workplace safety conditions and risk management practices.,จำนวนผู้บาดเจ็บไม่ร้ายแรงจากการทำงาน ÷ จำนวนประชากรทั้งหมด × 100,Number of people with non-fatal work injuries ÷ Total population × 100
9,catastrophic_health_spending_household,ร้อยละของครัวเรือนที่มีค่าใช้จ่ายด้านสุขภาพที่จ่ายเองมากกว่าร้อยละ 40 ของความสามารถในการจ่าย,Catastrophic Health Spending (Household),ระบุครัวเรือนที่ใช้จ่ายเกินกว่า 40% ของความสามารถในการจ่ายสำหรับค่าใช้จ่ายด้านสุขภาพ ตัวชี้วัดนี้เผยให้เห็นภาระทางการเงินของค่ารักษาพยาบาลและอุปสรรคที่อาจเกิดขึ้นในการเข้าถึงบริการทางการแพทย์ที่จำเป็น,Identifies households spending more than 40% of their capacity to pay on healthcare expenses. This indicator reveals the financial burden of healthcare costs and potential barriers to accessing necessary medical services.,จำนวนครัวเรือนที่จ่ายค่ารักษาพยาบาลเกิน 40% ของรายได้ ÷ จำนวนครัวเรือนทั้งหมด × 100,Number of households spending >40% of income on healthcare ÷ Total households × 100
10,health_spending_over_10_percent,ร้อยละของประชากรที่มีค่าใช้จ่ายด้านสุขภาพที่จ่ายเองมากกว่าร้อยละ 10 ของรายได้,Health Spending >10% Income,วัดสัดส่วนของบุคคลที่ใช้จ่ายเกินกว่า 10% ของรายได้สำหรับการดูแลสุขภาพ เกณฑ์นี้แสดงเมื่อใดที่ค่ารักษาพยาบาลเริ่มสร้างความเครียดทางการเงินอย่างมีนัยสำคัญต่อครัวเรือน,Measures the proportion of individuals spending more than 10% of their income on healthcare. This threshold indicates when healthcare costs begin to create significant financial strain on households.,จำนวนผู้จ่ายค่ารักษาพยาบาลเกิน 10% ของรายได้ ÷ จำนวนประชากรทั้งหมด × 100,Number of people spending >10% of income on healthcare ÷ Total population × 100
