id,dcode,market_name
1,1015,ตลาดมะลิทอง
2,1011,วี-แอดพลาซ่า
3,1040,ตลาดสดคลองขวาง
4,1022,ตลาดนัดจากิวร์
5,1040,ตลาดเจริญทรัพย์
6,1010,ศูนย์การค้ามีนบุรี (ตลาดเก่า
7,1003,ตลาดเพิ่มพูมทรัพย์
8,1001,ตลาดปากคลองตลาด
9,1006,ตลาดเสรี
10,1023,ตลาดการค้าหนองแขม
11,1039,ตลาดรุ่งอรุณ
12,1013,ตลาดนางลอย
13,1003,ตลาดกลางผลิตผลการเกษตร
14,1028,ตลาดแสงจันทร์
15,1024,ตลาดวัดราษฎร์บูรณะ
16,1012,ตลาดเพิ่มทรัพย์
17,1024,ตลาดสุขสวัสดิ์ 38
18,1012,ตลาดบางโพงพาง (เศตะพราหมณ์)
19,1046,ตลาดพระยาสุเรนทร์
20,1048,ตลาดสดพุทธมณฑล
21,1036,ตลาดสดวัฒนานันท์ (ฝั่งโขง)
22,1041,มาร์เก็ตทูเดย์
23,1004,ตลาดนัดซอย 10
24,1038,ตลาดนัดผู้ใหญ่อ้วน
25,1023,ตลาดนัดสี่แยกหนองแขม
26,1042,ตลาดประตูกรุงเทพมหานคร
27,1011,ตลาดนัดร่มเกล้า
28,1034,ตลาดสดคลองตัน
29,1012,ศูนย์การค้าตลาดรุ่งเจริญ
30,1021,ตลาดการเคหะพระราม 2
31,1020,ตลาดสดบางขุนศรี
32,1004,ตลาดพระราม 4
33,1028,ตลาดสวนพลู
34,1013,ตลาดเก่า (ตลาดเอกชน)
35,1042,ตลาดสดแยกลำลูกกา
36,1014,ตลาดมิ่งขวัญบ้านนา
37,1011,ตลาดกลางนครร่มเกล้า
38,1034,ตลาดเอี่ยมสมบัติ
39,1025,ตลาดเจริญพรผล (ตลาดใหม่บางพล
40,1045,ตลาดสดทรัพย์จันทร์ผัน ลาดพร
41,1048,ตลาดธนบุรี (สนามหลวง 2)
42,1037,ตลาดชัยมงคล (ตลาดกลาง)
43,1033,ตลาดแสนอุดม
44,1046,ตลาดใหม่พระยาสุเรนทร์
45,1050,ตลาดสดปิ่นทอง
46,1048,ตลาดศาลาแดง
47,1047,ตลาดสดศิลวัฒน์
48,1015,ตลาดสดราคายุติธรรม 16
49,1042,ตลาดเคหะออเงิน
50,1039,ตลาดแสงทิพย์
51,1021,ตลาดกลางบางกระดี่
52,1028,ตลาดสดศูนย์การค้าวรรัตน์
53,1040,ตลาดศิริเกษม
54,1028,ตลาดสดโต้รุ่งทวีผล
55,1011,ตลาดหลวงแพ่ง
56,1049,ตลาดใหม่ทุ่งครุ (ประชาอุทิศ 61
57,1012,ลานทรายพลาซ่า
58,1041,ตลาดเมืองทอง 1
59,1047,ตลาดอุดมสุขพัฒนา
60,1032,ตลาดสดสี่แยกประเวศ
61,1041,ตลาดเคหะทุ่งสองห้อง
62,1012,ตลาดพันธุลาภ
63,1047,ตลาดอุบลศรี
64,1042,ตลาดสวัสดิการทหารอากาศ
65,1049,ทิพย์พลาซ่า (ตลาดทุ่งครุ 101)
66,1041,ตลาดพงษ์เพชร
67,1040,ตลาดมัณฑนา
68,1030,ตลาดศรีเสนา
69,1033,ตลาดคลองเตย 2
70,1032,ตลาดนัมเบอร์วัน-ราม 2 อาคาร 2
71,1046,ตลาดนัดเคซี
72,1039,ตลาดรุ่งอรุณ
73,1007,ตลาดโบ๊เบ๊สะพาน 3
74,1017,ตลาดนัด
75,1039,ตลาดสดเอกมัย
76,1032,ตลาดสดพัฒนาการ
77,1027,ตลาดสดนวมินทร์
78,1044,ตลาดการเคหะ (กรุงเทพกรีฑา)
79,1014,ตลาดสุดา (ตลาดสะพานควาย)
80,1008,ตลาดศรีวรจักร
81,1038,ตลาดเสนานิเวศน์
82,1042,ตลาดออเงิน (เจ้าแรก)
83,1029,ตลาดสดวงศ์สว่างพลาซ่า (พระรา
84,1003,ตลาดหนองจอก
85,1027,ตลาดธนะสิน
86,1019,ตลาดน้ำวัดสะพาน
87,1024,ตลาดนัดราษฎร์บูรณะ
88,1041,ตลาดชินมณี
89,1030,ตลาดสดสวนไผ่
90,1049,ตลาดทรัพย์สมบูรณ์
91,1033,ตลาดสดการเคหะ
92,1045,ศูนย์การค้าโชคชัย 4
93,1015,ตลาดใหม่โกวบ๊อ
94,1001,ตลาดบ้านหม้อ
95,1020,ตลาดสดนครหลวง
96,1037,ตลาดเฉลิมลาภประตูน้ำ
97,1008,ตลาดมหานาค
98,1024,ตลาดสดบางปะกอก
99,1010,ตลาดสดเคหะชุมชนรามคำแหง
100,1050,ตลาดนัดพระปิ่น 5
101,1023,ตลาดสมพรชัย
102,1047,ตลาดอุดมสุข
103,1001,ตลาดพันธุ์ไม้เทเวศร์
104,1001,ตลาดยอดพิมาน
105,1001,ตลาดส่งเสริมเกษตรไทย
106,1006,ตลาดสดลำสาลี
107,1008,ตลาดนางเลิ้ง
108,1023,ตลาดแสงศิริ
109,1006,ตลาดดีดี
110,1018,ตลาดวงเวียนใหญ่
111,1003,ตลาดสดสี่แยกหนองจอก
112,1050,สุขสวัสดีตลาดใหม่บางบอน
113,1023,ตลาดคุณตาพลอย
114,1015,ตลาดสดดาวคะนอง
115,1032,ตลาดสดศรีตาก่ำ
116,1044,ตลาดสดซีรอ
117,1012,บางกอกสแควร์
118,1026,ตลาดสดห้วยขวาง
119,1019,ตลาดน้ำคลองลัดมะยม
120,1015,ตลาดสี่แยกบ้านแขก
121,1037,ตลาดสดธรรมโรจน์พินิจประตูน
122,1023,ตลาดสดเพชรเกษม 79
123,1037,ตลาดสดกิ่งเพชร
124,1039,ศูนย์อาหารและตลาดนัดเพ็ชรอ
125,1038,ตลาดฉัตรสาครวังหิน
126,1021,ตลาดนัดเนินสูง
127,1001,ตลาดสดสำราญราษฎร์
128,1033,ตลาดปีนัง
129,1033,ตลาดฮ่องกง
130,1018,ตลาดเงินวิจิตร
131,1021,ตลาดมารวย
132,1033,ตลาดท่าเรือคลองเตย
133,1018,ตลาดเสสะเวช
134,1018,ตลาดท่าดินแดง
135,1018,ตลาดลาดหญ้า
136,1018,ตลาดเจริญรัถ
137,1018,ตลาดผ้าวงเวียนใหญ่
138,1018,ตลาดพระเครื่องวงเวียนเล็ก
139,1042,ตลาดทรัพย์เจริญ
140,1032,ตลาดกลางค้าเพชรและอัญมณีระ
