id,indicator,dcode,dname,score
35,alcohol_consumption,1001,พระนคร,15.24
35,alcohol_consumption,1002,ดุสิต,11.12
35,alcohol_consumption,1003,หนองจอก,13.07
35,alcohol_consumption,1004,บางรัก,16.34
35,alcohol_consumption,1005,บางเขน,14.76
35,alcohol_consumption,1006,บางกะปิ,11.12
35,alcohol_consumption,1007,ปทุมวัน,19.06
35,alcohol_consumption,1008,ป้อมปราบศัตรูพ่าย,13.59
35,alcohol_consumption,1009,พระโขนง,17.61
35,alcohol_consumption,1010,มีนบุรี,10.56
35,alcohol_consumption,1011,ลาดกระบัง,15.74
35,alcohol_consumption,1012,ยานนาวา,16.73
35,alcohol_consumption,1013,สัมพันธวงศ์,17.98
35,alcohol_consumption,1014,พญาไท,22.53
35,alcohol_consumption,1015,ธนบุรี,14.34
35,alcohol_consumption,1016,บางกอกใหญ่,15.09
35,alcohol_consumption,1017,ห้วยขวาง,16.71
35,alcohol_consumption,1018,คลองสาน,12.28
35,alcohol_consumption,1019,ตลิ่งชัน,19.16
35,alcohol_consumption,1020,บางกอกน้อย,18.77
35,alcohol_consumption,1021,บางขุนเทียน,23.26
35,alcohol_consumption,1022,ภาษีเจริญ,21.05
35,alcohol_consumption,1023,หนองแขม,20.38
35,alcohol_consumption,1024,ราษฎร์บูรณะ,15.85
35,alcohol_consumption,1025,บางพลัด,10.47
35,alcohol_consumption,1026,ดินแดง,22.38
35,alcohol_consumption,1027,บึงกุ่ม,14.47
35,alcohol_consumption,1028,สาทร,10.86
35,alcohol_consumption,1029,บางซื่อ,12.24
35,alcohol_consumption,1030,จตุจักร,16.33
35,alcohol_consumption,1031,บางคอแหลม,11.96
35,alcohol_consumption,1032,ประเวศ,11.78
35,alcohol_consumption,1033,คลองเตย,13.56
35,alcohol_consumption,1034,สวนหลวง,12.62
35,alcohol_consumption,1035,จอมทอง,11.86
35,alcohol_consumption,1036,ดอนเมือง,22.35
35,alcohol_consumption,1037,ราชเทวี,21.62
35,alcohol_consumption,1038,ลาดพร้าว,17.37
35,alcohol_consumption,1039,วัฒนา,19.73
