dcode,dname,year,value
1029,เขตบางซื่อ,2566,27.22
1007,เขตปทุมวัน,2566,22.29
1003,เขตหนองจอก,2566,35.19
1034,เขตสวนหลวง,2566,29.33
1040,เขตบางแค,2566,32.4
1015,เขตธนบุรี,2566,31.86
1023,เขตหนองแขม,2566,32.6
1010,เขตมีนบุรี,2566,10.68
1042,เขตสายไหม,2566,32.02
1027,เขตบึงกุ่ม,2566,32.98
1018,เขตคลองสาน,2566,28.31
1037,เขตราชเทวี,2566,36.1
1030,เขตจตุจักร,2566,23.59
1031,เขตบางคอแหลม,2566,32.72
1038,เขตลาดพร้าว,2566,31.23
1026,เขตดินแดง,2566,37.33
1050,เขตบางบอน,2566,34.05
1022,เขตภาษีเจริญ,2566,32.67
1049,เขตทุ่งครุ,2566,31.98
1033,เขตคลองเตย,2566,41.86
1039,เขตวัฒนา,2566,44.39
1009,เขตพระโขนง,2566,26.44
1035,เขตจอมทอง,2566,37.34
1021,เขตบางขุนเทียน,2566,34.03
1008,เขตป้อมปราบศัตรูพ่าย,2566,29.04
1016,เขตบางกอกใหญ่,2566,34.39
1043,เขตคันนายาว,2566,35.43
1014,เขตพญาไท,2566,29.19
1044,เขตสะพานสูง,2566,28.29
1024,เขตราษฎร์บูรณะ,2566,37.5
1046,เขตคลองสามวา,2566,39.89
1001,เขตพระนคร,2566,33.5
1019,เขตตลิ่งชัน,2566,33.12
1017,เขตห้วยขวาง,2566,40
1020,เขตบางกอกน้อย,2566,28.04
1025,เขตบางพลัด,2566,27.18
1002,เขตดุสิต,2566,31.75
1047,เขตบางนา,2566,28.76
1005,เขตบางเขน,2566,31.65
1004,เขตบางรัก,2566,34.07
1045,เขตวังทองหลาง,2566,35.19
1041,เขตหลักสี่,2566,28.97
1012,เขตยานนาวา,2566,42.68
1006,เขตบางกะปิ,2566,24.24
1028,เขตสาทร,2566,28.33
1011,เขตลาดกระบัง,2566,37.63
1013,เขตสัมพันธวงศ์,2566,25
1036,เขตดอนเมือง,2566,40
1048,เขตทวีวัฒนา,2566,30.56
1032,เขตประเวศ,2566,34.48
1011,เขตลาดกระบัง,2567,31.14
1040,เขตบางแค,2567,30.07
