dcode,dname,year,sex,value
1029,เขตบางซื่อ,2566,male,24.63
1029,เขตบางซื่อ,2566,female,28.79
1029,เขตบางซื่อ,2566,lgbt,
1007,เขตปทุมวัน,2566,male,19.69
1007,เขตปทุมวัน,2566,female,24.46
1007,เขตปทุมวัน,2566,lgbt,
1003,เขตหนองจอก,2566,male,28.63
1003,เขตหนองจอก,2566,female,38.47
1003,เขตหนองจอก,2566,lgbt,
1034,เขตสวนหลวง,2566,male,32.44
1034,เขตสวนหลวง,2566,female,28.39
1034,เขตสวนหลวง,2566,lgbt,
1040,เขตบางแค,2566,male,29.71
1040,เขตบางแค,2566,female,33.27
1040,เขตบางแค,2566,lgbt,
1015,เขตธนบุรี,2566,male,31.22
1015,เขตธนบุรี,2566,female,32.11
1015,เขตธนบุรี,2566,lgbt,
1023,เขตหนองแขม,2566,male,30.13
1023,เขตหนองแขม,2566,female,33.73
1023,เขตหนองแขม,2566,lgbt,
1010,เขตมีนบุรี,2566,male,9.87
1010,เขตมีนบุรี,2566,female,11.63
1010,เขตมีนบุรี,2566,lgbt,
1042,เขตสายไหม,2566,male,25.48
1042,เขตสายไหม,2566,female,35.31
1042,เขตสายไหม,2566,lgbt,
1027,เขตบึงกุ่ม,2566,male,30.6
1027,เขตบึงกุ่ม,2566,female,33.81
1027,เขตบึงกุ่ม,2566,lgbt,
1018,เขตคลองสาน,2566,male,31.54
1018,เขตคลองสาน,2566,female,26.37
1018,เขตคลองสาน,2566,lgbt,
1037,เขตราชเทวี,2566,male,36.56
1037,เขตราชเทวี,2566,female,35.88
1037,เขตราชเทวี,2566,lgbt,
1030,เขตจตุจักร,2566,male,21.83
1030,เขตจตุจักร,2566,female,24.62
1030,เขตจตุจักร,2566,lgbt,
1031,เขตบางคอแหลม,2566,male,29.38
1031,เขตบางคอแหลม,2566,female,34.32
1031,เขตบางคอแหลม,2566,lgbt,
1038,เขตลาดพร้าว,2566,male,30.65
1038,เขตลาดพร้าว,2566,female,31.51
1038,เขตลาดพร้าว,2566,lgbt,
1026,เขตดินแดง,2566,male,32.62
1026,เขตดินแดง,2566,female,39.33
1026,เขตดินแดง,2566,lgbt,
1050,เขตบางบอน,2566,male,30.91
1050,เขตบางบอน,2566,female,36.07
1050,เขตบางบอน,2566,lgbt,
1022,เขตภาษีเจริญ,2566,male,30.89
1022,เขตภาษีเจริญ,2566,female,33.68
1022,เขตภาษีเจริญ,2566,lgbt,
1049,เขตทุ่งครุ,2566,male,28.51
1049,เขตทุ่งครุ,2566,female,34.05
1049,เขตทุ่งครุ,2566,lgbt,
1033,เขตคลองเตย,2566,male,36.59
1033,เขตคลองเตย,2566,female,44.04
1033,เขตคลองเตย,2566,lgbt,
1039,เขตวัฒนา,2566,male,44.17
1039,เขตวัฒนา,2566,female,44.5
1039,เขตวัฒนา,2566,lgbt,
1009,เขตพระโขนง,2566,male,26.15
1009,เขตพระโขนง,2566,female,26.63
1009,เขตพระโขนง,2566,lgbt,
1035,เขตจอมทอง,2566,male,36.8
1035,เขตจอมทอง,2566,female,37.65
1035,เขตจอมทอง,2566,lgbt,
1021,เขตบางขุนเทียน,2566,male,32.21
1021,เขตบางขุนเทียน,2566,female,35.38
1021,เขตบางขุนเทียน,2566,lgbt,
1008,เขตป้อมปราบศัตรูพ่าย,2566,male,39.47
1008,เขตป้อมปราบศัตรูพ่าย,2566,female,23.03
1008,เขตป้อมปราบศัตรูพ่าย,2566,lgbt,
1016,เขตบางกอกใหญ่,2566,male,32.43
1016,เขตบางกอกใหญ่,2566,female,35.51
1016,เขตบางกอกใหญ่,2566,lgbt,
1043,เขตคันนายาว,2566,male,33.8
1043,เขตคันนายาว,2566,female,36.36
1043,เขตคันนายาว,2566,lgbt,
1014,เขตพญาไท,2566,male,35.12
1014,เขตพญาไท,2566,female,26.25
1014,เขตพญาไท,2566,lgbt,
1044,เขตสะพานสูง,2566,male,26.74
1044,เขตสะพานสูง,2566,female,28.65
1044,เขตสะพานสูง,2566,lgbt,
1024,เขตราษฎร์บูรณะ,2566,male,34.22
1024,เขตราษฎร์บูรณะ,2566,female,40.61
1024,เขตราษฎร์บูรณะ,2566,lgbt,
1046,เขตคลองสามวา,2566,male,35.71
1046,เขตคลองสามวา,2566,female,42.59
1046,เขตคลองสามวา,2566,lgbt,
1001,เขตพระนคร,2566,male,43.4
1001,เขตพระนคร,2566,female,27.2
1001,เขตพระนคร,2566,lgbt,
1019,เขตตลิ่งชัน,2566,male,34.19
1019,เขตตลิ่งชัน,2566,female,32.46
1019,เขตตลิ่งชัน,2566,lgbt,
1017,เขตห้วยขวาง,2566,male,35.86
1017,เขตห้วยขวาง,2566,female,45.99
1017,เขตห้วยขวาง,2566,lgbt,
1020,เขตบางกอกน้อย,2566,male,27.72
1020,เขตบางกอกน้อย,2566,female,28.24
1020,เขตบางกอกน้อย,2566,lgbt,
1025,เขตบางพลัด,2566,male,29.11
1025,เขตบางพลัด,2566,female,25.98
1025,เขตบางพลัด,2566,lgbt,
1002,เขตดุสิต,2566,male,53.45
1002,เขตดุสิต,2566,female,22.14
1002,เขตดุสิต,2566,lgbt,
1047,เขตบางนา,2566,male,20
1047,เขตบางนา,2566,female,33.01
1047,เขตบางนา,2566,lgbt,
1005,เขตบางเขน,2566,male,30.95
1005,เขตบางเขน,2566,female,31.96
1005,เขตบางเขน,2566,lgbt,
1004,เขตบางรัก,2566,male,34.29
1004,เขตบางรัก,2566,female,33.93
1004,เขตบางรัก,2566,lgbt,
1045,เขตวังทองหลาง,2566,male,48.98
1045,เขตวังทองหลาง,2566,female,23.73
1045,เขตวังทองหลาง,2566,lgbt,
1041,เขตหลักสี่,2566,male,28.12
1041,เขตหลักสี่,2566,female,29.33
1041,เขตหลักสี่,2566,lgbt,
1012,เขตยานนาวา,2566,male,51.85
1012,เขตยานนาวา,2566,female,38.18
1012,เขตยานนาวา,2566,lgbt,
1006,เขตบางกะปิ,2566,male,30.56
1006,เขตบางกะปิ,2566,female,20.63
1006,เขตบางกะปิ,2566,lgbt,
1028,เขตสาทร,2566,male,25
1028,เขตสาทร,2566,female,32.14
1028,เขตสาทร,2566,lgbt,
1011,เขตลาดกระบัง,2566,male,29.41
1011,เขตลาดกระบัง,2566,female,42.37
1011,เขตลาดกระบัง,2566,lgbt,
1013,เขตสัมพันธวงศ์,2566,male,26.09
1013,เขตสัมพันธวงศ์,2566,female,23.81
1013,เขตสัมพันธวงศ์,2566,lgbt,
1036,เขตดอนเมือง,2566,male,43.75
1036,เขตดอนเมือง,2566,female,38.78
1036,เขตดอนเมือง,2566,lgbt,
1048,เขตทวีวัฒนา,2566,male,26.47
1048,เขตทวีวัฒนา,2566,female,34.21
1048,เขตทวีวัฒนา,2566,lgbt,
1032,เขตประเวศ,2566,male,40
1032,เขตประเวศ,2566,female,31.58
1032,เขตประเวศ,2566,lgbt,
1011,เขตลาดกระบัง,2567,male,30.25
1011,เขตลาดกระบัง,2567,female,31.74
1011,เขตลาดกระบัง,2567,lgbt,15.38
1040,เขตบางแค,2567,male,31.72
1040,เขตบางแค,2567,female,29.21
1040,เขตบางแค,2567,lgbt,25.64
1042,เขตสายไหม,2567,male,32.26
1042,เขตสายไหม,2567,female,30.34
1042,เขตสายไหม,2567,lgbt,14.29
1025,เขตบางพลัด,2567,male,30.79
1025,เขตบางพลัด,2567,female,29.67
1025,เขตบางพลัด,2567,lgbt,13.33
1023,เขตหนองแขม,2567,male,33.17
1023,เขตหนองแขม,2567,female,33.15
1023,เขตหนองแขม,2567,lgbt,44.44
1010,เขตมีนบุรี,2567,male,27.18
1010,เขตมีนบุรี,2567,female,32.27
1010,เขตมีนบุรี,2567,lgbt,20
1032,เขตประเวศ,2567,male,32.77
1032,เขตประเวศ,2567,female,32.62
1032,เขตประเวศ,2567,lgbt,23.68
1021,เขตบางขุนเทียน,2567,male,33.62
1021,เขตบางขุนเทียน,2567,female,31.14
1021,เขตบางขุนเทียน,2567,lgbt,21.21
1002,เขตดุสิต,2567,male,28.91
1002,เขตดุสิต,2567,female,32.79
1002,เขตดุสิต,2567,lgbt,0
1030,เขตจตุจักร,2567,male,29.28
1030,เขตจตุจักร,2567,female,27.24
1030,เขตจตุจักร,2567,lgbt,21.74
1022,เขตภาษีเจริญ,2567,male,32.84
1022,เขตภาษีเจริญ,2567,female,28.72
1022,เขตภาษีเจริญ,2567,lgbt,23.08
1029,เขตบางซื่อ,2567,male,32.09
1029,เขตบางซื่อ,2567,female,34.02
1029,เขตบางซื่อ,2567,lgbt,30
1003,เขตหนองจอก,2567,male,31.78
1003,เขตหนองจอก,2567,female,38.83
1003,เขตหนองจอก,2567,lgbt,28.57
1033,เขตคลองเตย,2567,male,32.58
1033,เขตคลองเตย,2567,female,37.11
1033,เขตคลองเตย,2567,lgbt,22.22
1015,เขตธนบุรี,2567,male,33.29
1015,เขตธนบุรี,2567,female,33.24
1015,เขตธนบุรี,2567,lgbt,19.05
1031,เขตบางคอแหลม,2567,male,33.64
1031,เขตบางคอแหลม,2567,female,33.51
1031,เขตบางคอแหลม,2567,lgbt,33.33
1047,เขตบางนา,2567,male,32.86
1047,เขตบางนา,2567,female,30.18
1047,เขตบางนา,2567,lgbt,34
1035,เขตจอมทอง,2567,male,32.28
1035,เขตจอมทอง,2567,female,31.93
1035,เขตจอมทอง,2567,lgbt,8.7
1018,เขตคลองสาน,2567,male,32.7
1018,เขตคลองสาน,2567,female,31.82
1018,เขตคลองสาน,2567,lgbt,10
1046,เขตคลองสามวา,2567,male,34.87
1046,เขตคลองสามวา,2567,female,38.11
1046,เขตคลองสามวา,2567,lgbt,75
1049,เขตทุ่งครุ,2567,male,31.71
1049,เขตทุ่งครุ,2567,female,31.96
1049,เขตทุ่งครุ,2567,lgbt,13.56
1034,เขตสวนหลวง,2567,male,32.26
1034,เขตสวนหลวง,2567,female,30.95
1034,เขตสวนหลวง,2567,lgbt,23.53
1038,เขตลาดพร้าว,2567,male,29.53
1038,เขตลาดพร้าว,2567,female,31.51
1038,เขตลาดพร้าว,2567,lgbt,20
1012,เขตยานนาวา,2567,male,36.7
1012,เขตยานนาวา,2567,female,34.68
1012,เขตยานนาวา,2567,lgbt,50
1026,เขตดินแดง,2567,male,37.12
1026,เขตดินแดง,2567,female,32.81
1026,เขตดินแดง,2567,lgbt,27.78
1048,เขตทวีวัฒนา,2567,male,33.27
1048,เขตทวีวัฒนา,2567,female,30.38
1048,เขตทวีวัฒนา,2567,lgbt,33.33
1006,เขตบางกะปิ,2567,male,32.15
1006,เขตบางกะปิ,2567,female,29.77
1006,เขตบางกะปิ,2567,lgbt,28.57
1016,เขตบางกอกใหญ่,2567,male,31.31
1016,เขตบางกอกใหญ่,2567,female,33.28
1016,เขตบางกอกใหญ่,2567,lgbt,28.57
1008,เขตป้อมปราบศัตรูพ่าย,2567,male,33.39
1008,เขตป้อมปราบศัตรูพ่าย,2567,female,30.86
1008,เขตป้อมปราบศัตรูพ่าย,2567,lgbt,33.33
1037,เขตราชเทวี,2567,male,31.44
1037,เขตราชเทวี,2567,female,27.91
1037,เขตราชเทวี,2567,lgbt,83.33
1004,เขตบางรัก,2567,male,31.98
1004,เขตบางรัก,2567,female,28.56
1004,เขตบางรัก,2567,lgbt,66.67
1027,เขตบึงกุ่ม,2567,male,31.55
1027,เขตบึงกุ่ม,2567,female,31.05
1027,เขตบึงกุ่ม,2567,lgbt,0
1044,เขตสะพานสูง,2567,male,28.85
1044,เขตสะพานสูง,2567,female,32.01
1044,เขตสะพานสูง,2567,lgbt,16.67
1024,เขตราษฎร์บูรณะ,2567,male,33.55
1024,เขตราษฎร์บูรณะ,2567,female,34.8
1024,เขตราษฎร์บูรณะ,2567,lgbt,0
1050,เขตบางบอน,2567,male,34.28
1050,เขตบางบอน,2567,female,31.49
1050,เขตบางบอน,2567,lgbt,30.77
1005,เขตบางเขน,2567,male,34.82
1005,เขตบางเขน,2567,female,31.62
1005,เขตบางเขน,2567,lgbt,20
1009,เขตพระโขนง,2567,male,32.67
1009,เขตพระโขนง,2567,female,30.21
1009,เขตพระโขนง,2567,lgbt,17.39
1019,เขตตลิ่งชัน,2567,male,36.26
1019,เขตตลิ่งชัน,2567,female,30.34
1019,เขตตลิ่งชัน,2567,lgbt,62.5
1020,เขตบางกอกน้อย,2567,male,34.32
1020,เขตบางกอกน้อย,2567,female,32.98
1020,เขตบางกอกน้อย,2567,lgbt,33.33
1017,เขตห้วยขวาง,2567,male,32.75
1017,เขตห้วยขวาง,2567,female,27.85
1017,เขตห้วยขวาง,2567,lgbt,33.33
1028,เขตสาทร,2567,male,31.75
1028,เขตสาทร,2567,female,32.49
1028,เขตสาทร,2567,lgbt,20
1001,เขตพระนคร,2567,male,32.53
1001,เขตพระนคร,2567,female,32.22
1001,เขตพระนคร,2567,lgbt,0
1045,เขตวังทองหลาง,2567,male,30.99
1045,เขตวังทองหลาง,2567,female,28.9
1045,เขตวังทองหลาง,2567,lgbt,26.32
1043,เขตคันนายาว,2567,male,31.57
1043,เขตคันนายาว,2567,female,36.7
1043,เขตคันนายาว,2567,lgbt,0
1007,เขตปทุมวัน,2567,male,31.76
1007,เขตปทุมวัน,2567,female,34.42
1007,เขตปทุมวัน,2567,lgbt,25
1041,เขตหลักสี่,2567,male,31.15
1041,เขตหลักสี่,2567,female,32.54
1041,เขตหลักสี่,2567,lgbt,0
1039,เขตวัฒนา,2567,male,36.28
1039,เขตวัฒนา,2567,female,30.28
1039,เขตวัฒนา,2567,lgbt,20
1014,เขตพญาไท,2567,male,35.22
1014,เขตพญาไท,2567,female,33.2
1014,เขตพญาไท,2567,lgbt,37.5
1036,เขตดอนเมือง,2567,male,34.16
1036,เขตดอนเมือง,2567,female,33.24
1036,เขตดอนเมือง,2567,lgbt,50
1013,เขตสัมพันธวงศ์,2567,male,30.32
1013,เขตสัมพันธวงศ์,2567,female,27.46
1013,เขตสัมพันธวงศ์,2567,lgbt,0
1032,เขตประเวศ,2568,male,34.99
1032,เขตประเวศ,2568,female,37.04
1032,เขตประเวศ,2568,lgbt,38.6
1023,เขตหนองแขม,2568,male,38.52
1023,เขตหนองแขม,2568,female,35.24
1023,เขตหนองแขม,2568,lgbt,45.45
1026,เขตดินแดง,2568,male,37.43
1026,เขตดินแดง,2568,female,34.86
1026,เขตดินแดง,2568,lgbt,28.81
1021,เขตบางขุนเทียน,2568,male,38.82
1021,เขตบางขุนเทียน,2568,female,35.42
1021,เขตบางขุนเทียน,2568,lgbt,51.72
1030,เขตจตุจักร,2568,male,32.53
1030,เขตจตุจักร,2568,female,29.76
1030,เขตจตุจักร,2568,lgbt,35.14
1049,เขตทุ่งครุ,2568,male,37.56
1049,เขตทุ่งครุ,2568,female,34.34
1049,เขตทุ่งครุ,2568,lgbt,32.61
1042,เขตสายไหม,2568,male,35.94
1042,เขตสายไหม,2568,female,38.35
1042,เขตสายไหม,2568,lgbt,31.25
1040,เขตบางแค,2568,male,36.28
1040,เขตบางแค,2568,female,31.25
1040,เขตบางแค,2568,lgbt,33.33
1035,เขตจอมทอง,2568,male,36.41
1035,เขตจอมทอง,2568,female,34.22
1035,เขตจอมทอง,2568,lgbt,46.67
1048,เขตทวีวัฒนา,2568,male,34.67
1048,เขตทวีวัฒนา,2568,female,31.04
1048,เขตทวีวัฒนา,2568,lgbt,26.09
1015,เขตธนบุรี,2568,male,35.41
1015,เขตธนบุรี,2568,female,31.94
1015,เขตธนบุรี,2568,lgbt,36.36
1034,เขตสวนหลวง,2568,male,36.15
1034,เขตสวนหลวง,2568,female,30.18
1034,เขตสวนหลวง,2568,lgbt,26.83
1047,เขตบางนา,2568,male,34.92
1047,เขตบางนา,2568,female,32.47
1047,เขตบางนา,2568,lgbt,38.46
1009,เขตพระโขนง,2568,male,35.5
1009,เขตพระโขนง,2568,female,29.19
1009,เขตพระโขนง,2568,lgbt,45.45
1022,เขตภาษีเจริญ,2568,male,38.55
1022,เขตภาษีเจริญ,2568,female,29.19
1022,เขตภาษีเจริญ,2568,lgbt,27.78
1029,เขตบางซื่อ,2568,male,35.52
1029,เขตบางซื่อ,2568,female,32.89
1029,เขตบางซื่อ,2568,lgbt,50
1003,เขตหนองจอก,2568,male,37.11
1003,เขตหนองจอก,2568,female,40.5
1003,เขตหนองจอก,2568,lgbt,30.43
1006,เขตบางกะปิ,2568,male,38.41
1006,เขตบางกะปิ,2568,female,28.25
1006,เขตบางกะปิ,2568,lgbt,26.67
1005,เขตบางเขน,2568,male,38.64
1005,เขตบางเขน,2568,female,34.95
1005,เขตบางเขน,2568,lgbt,36.36
1025,เขตบางพลัด,2568,male,34.06
1025,เขตบางพลัด,2568,female,30.77
1025,เขตบางพลัด,2568,lgbt,27.78
1019,เขตตลิ่งชัน,2568,male,36.64
