id,dcode,park_name,area
1,1046,Placemark,289956
2,1005,สวนกีฬารามอินทรา,89011
3,1049,Placemark,14294
4,1037,สวนเฉลิมหล้า,1784
5,1001,สวนรมณีนาถ,37689
6,1001,สวนสมเด็จพระปกเกล้าฯ,3562
7,1001,สวนสมเด็จพระปกเกล้าฯ,14674
8,1018,สวนวงเวียนเล็ก,739
9,1018,สวนวงเวียนเล็ก,523
10,1018,อุทยานเฉลิมพระเกียรติสมเด็จพระศรีนครินทราบรมราชชนนี,7684
11,1018,อุทยานเฉลิมพระเกียรติสมเด็จพระศรีนครินทราบรมราชชนนี,1317
12,1049,Placemark,3421
13,1049,Placemark,1500
14,1041,DPU Park,9923
15,1041,DPU Park,5647
16,1021,Placemark,966
17,1021,Placemark,197
18,1012,สวน 15 นาที ยานนาวา,611
19,1012,สวน 15 นาที ยานนาวา,413
20,1007,สวน 15 นาทีสามย่าน,465
21,1007,สวน 15 นาทีสามย่าน,252
22,1004,สวน 15 นาทีสามย่าน,450
23,1004,สวน 15 นาทีสามย่าน,295
24,1015,วงเวียนใหญ่,14810
25,1011,สวนนวภิรมย์ร่มเกล้า,32979
26,1011,สวนนวภิรมย์ร่มเกล้า,24105
27,1040,สวนสาธารณะวงแหวน-พุทธมณฑล สาย 2,51809
28,1048,สวนสาธารณะวงแหวน-พุทธมณฑล สาย 2,31137
29,1048,สวนสาธารณะวงแหวน-พุทธมณฑล สาย 2,20106
30,1007,สวนลุมพินี,523758
31,1001,สวนสราญรมย์,39096
32,1030,สวนจตุจักร,251043
33,1033,อุทยานเบญจสิริ,41331
34,1030,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,318929
35,1030,สวนวชิรเบญจทัศ,576482
36,1001,สนามหลวง,110136
37,1001,พระปฐมบรมราชานุสรณ์เฉลิมพระเกียรติ,8489
38,1049,สวนธนบุรีรมย์,101591
39,1030,Placemark,24055
40,1032,สวนหลวง ร.๙,761680
41,1043,สวนชุมชนปัฐวิกรณ์ 1,42543
42,1007,ลานจักรพงษ์,5230
43,1002,อุทยานเฉลิมพระเกียรติ รัชกาลที่ ๙,443678
44,1019,Placemark,1488
45,1032,สวน 50 พรรษา มหาจักรีสิรินธร,32646
46,1027,สวนเสรีไทย,112727
47,1011,สวนพระนคร,78206
48,1032,สวนวนธรรม,48929
49,1011,สวน 60 พรรษา สมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ,85841
50,1021,เซ็นทรัลปาร์คพระราม 2,19830
51,1037,สวนสันติภาพ,28403
52,1047,Placemark,1397
53,1040,สวนสาธารณะกัลปพฤกษ์,43857
54,1005,ถนอมมิตรปาร์ค,23614
55,1032,Placemark,2143
56,1024,Placemark,720
57,1017,สวนภายในหมู่บ้านอารียาแมนดารินา,415
58,1007,Park @ Siam,7441
59,1037,สวนสาธารณะสวนเงิน,5398
60,1014,สวนพญาไทภิรมย์,21455
61,1030,สวนสมเด็จย่า ๘๔,9573
62,1030,Prachachuen Nutures Garden,3633
63,1030,สวนป่าประชานิเวศน์,8170
64,1006,Placemark,5564
65,1003,สวนหนองจอก,58157
66,1041,Placemark,22965
67,1036,สวนรมณีย์ทุ่งสีกัน,26594
