dcode,dname,year,value
1003,เขตหนองจอก,2566,10.23
1037,เขตราชเทวี,2566,15.43
1029,เขตบางซื่อ,2566,7.12
1023,เขตหนองแขม,2566,8.61
1015,เขตธนบุรี,2566,6.67
1027,เขตบึงกุ่ม,2566,8.58
1040,เขตบางแค,2566,5.47
1042,เขตสายไหม,2566,4.87
1030,เขตจตุจักร,2566,8.54
1043,เขตคันนายาว,2566,13.05
1038,เขตลาดพร้าว,2566,6.18
1014,เขตพญาไท,2566,13.58
1026,เขตดินแดง,2566,7.04
1050,เขตบางบอน,2566,6.76
1033,เขตคลองเตย,2566,7.43
1008,เขตป้อมปราบศัตรูพ่าย,2566,10
1039,เขตวัฒนา,2566,8.81
1031,เขตบางคอแหลม,2566,7.17
1034,เขตสวนหลวง,2566,2.04
1007,เขตปทุมวัน,2566,4.43
1022,เขตภาษีเจริญ,2566,3.8
1044,เขตสะพานสูง,2566,6.91
1009,เขตพระโขนง,2566,7.88
1018,เขตคลองสาน,2566,1.54
1047,เขตบางนา,2566,14.47
1049,เขตทุ่งครุ,2566,2.69
1001,เขตพระนคร,2566,4.16
1035,เขตจอมทอง,2566,2.48
1004,เขตบางรัก,2566,17.58
1021,เขตบางขุนเทียน,2566,2.36
1020,เขตบางกอกน้อย,2566,4.04
1046,เขตคลองสามวา,2566,2.82
1019,เขตตลิ่งชัน,2566,2.93
1016,เขตบางกอกใหญ่,2566,1.58
1006,เขตบางกะปิ,2566,8
1002,เขตดุสิต,2566,3.74
1005,เขตบางเขน,2566,5.04
1024,เขตราษฎร์บูรณะ,2566,1.82
1010,เขตมีนบุรี,2566,2.14
1032,เขตประเวศ,2566,8.62
1011,เขตลาดกระบัง,2566,5.38
1013,เขตสัมพันธวงศ์,2566,11.11
1017,เขตห้วยขวาง,2566,1.5
1025,เขตบางพลัด,2566,2.01
1028,เขตสาทร,2566,5
1012,เขตยานนาวา,2566,2.41
1045,เขตวังทองหลาง,2566,1.85
1041,เขตหลักสี่,2566,1.89
1036,เขตดอนเมือง,2566,1.52
1048,เขตทวีวัฒนา,2566,1.39
1040,เขตบางแค,2567,11.06
1023,เขตหนองแขม,2567,10.78
1021,เขตบางขุนเทียน,2567,11.03
1011,เขตลาดกระบัง,2567,8.91
1003,เขตหนองจอก,2567,11.3
1032,เขตประเวศ,2567,6.19
1015,เขตธนบุรี,2567,10.48
1042,เขตสายไหม,2567,4.53
1049,เขตทุ่งครุ,2567,8.3
