dcode,dname,year,sex,value
1003,เขตหนองจอก,2566,male,27.68421053
1003,เขตหนองจอก,2566,female,1.523109244
1003,เขตหนองจอก,2566,lgbt,
1037,เขตราชเทวี,2566,male,36.47342995
1037,เขตราชเทวี,2566,female,5.176470588
1037,เขตราชเทวี,2566,lgbt,
1029,เขตบางซื่อ,2566,male,12.18220339
1029,เขตบางซื่อ,2566,female,4.07903123
1029,เขตบางซื่อ,2566,lgbt,
1023,เขตหนองแขม,2566,male,22.1402214
1023,เขตหนองแขม,2566,female,2.378929482
1023,เขตหนองแขม,2566,lgbt,
1015,เขตธนบุรี,2566,male,15.55555556
1015,เขตธนบุรี,2566,female,3.133514986
1015,เขตธนบุรี,2566,lgbt,
1027,เขตบึงกุ่ม,2566,male,24.09638554
1027,เขตบึงกุ่ม,2566,female,3.130287648
1027,เขตบึงกุ่ม,2566,lgbt,
1040,เขตบางแค,2566,male,14.87758945
1040,เขตบางแค,2566,female,2.36318408
1040,เขตบางแค,2566,lgbt,
1042,เขตสายไหม,2566,male,11.24567474
1042,เขตสายไหม,2566,female,1.656495205
1042,เขตสายไหม,2566,lgbt,
1030,เขตจตุจักร,2566,male,18.18181818
1030,เขตจตุจักร,2566,female,2.910958904
1030,เขตจตุจักร,2566,lgbt,
1043,เขตคันนายาว,2566,male,31.01851852
1043,เขตคันนายาว,2566,female,2.673796791
1043,เขตคันนายาว,2566,lgbt,
1038,เขตลาดพร้าว,2566,male,14.84375
1038,เขตลาดพร้าว,2566,female,2.005012531
1038,เขตลาดพร้าว,2566,lgbt,
1014,เขตพญาไท,2566,male,35.11904762
1014,เขตพญาไท,2566,female,2.941176471
1014,เขตพญาไท,2566,lgbt,
1026,เขตดินแดง,2566,male,18.86120996
1026,เขตดินแดง,2566,female,1.981707317
1026,เขตดินแดง,2566,lgbt,
1050,เขตบางบอน,2566,male,14.17525773
1050,เขตบางบอน,2566,female,1.867572156
1050,เขตบางบอน,2566,lgbt,
1033,เขตคลองเตย,2566,male,14.14634146
1033,เขตคลองเตย,2566,female,4.646464646
1033,เขตคลองเตย,2566,lgbt,
1008,เขตป้อมปราบศัตรูพ่าย,2566,male,22.63157895
1008,เขตป้อมปราบศัตรูพ่าย,2566,female,2.727272727
1008,เขตป้อมปราบศัตรูพ่าย,2566,lgbt,
1039,เขตวัฒนา,2566,male,19.80676329
1039,เขตวัฒนา,2566,female,2.688172043
1039,เขตวัฒนา,2566,lgbt,
1031,เขตบางคอแหลม,2566,male,12.30769231
1031,เขตบางคอแหลม,2566,female,4.691358025
1031,เขตบางคอแหลม,2566,lgbt,
1034,เขตสวนหลวง,2566,male,7.174887892
1034,เขตสวนหลวง,2566,female,0.476514636
1034,เขตสวนหลวง,2566,lgbt,
1007,เขตปทุมวัน,2566,male,7.179487179
1007,เขตปทุมวัน,2566,female,2.141327623
1007,เขตปทุมวัน,2566,lgbt,
1022,เขตภาษีเจริญ,2566,male,8.358208955
1022,เขตภาษีเจริญ,2566,female,1.196581197
1022,เขตภาษีเจริญ,2566,lgbt,
1044,เขตสะพานสูง,2566,male,18.60465116
1044,เขตสะพานสูง,2566,female,4.24403183
1044,เขตสะพานสูง,2566,lgbt,
1009,เขตพระโขนง,2566,male,13.74045802
1009,เขตพระโขนง,2566,female,4.020100503
1009,เขตพระโขนง,2566,lgbt,
1018,เขตคลองสาน,2566,male,3.76344086
1018,เขตคลองสาน,2566,female,0.214592275
1018,เขตคลองสาน,2566,lgbt,
1047,เขตบางนา,2566,male,22
1047,เขตบางนา,2566,female,10.78431373
1047,เขตบางนา,2566,lgbt,
1049,เขตทุ่งครุ,2566,male,4.780876494
1049,เขตทุ่งครุ,2566,female,1.431980907
1049,เขตทุ่งครุ,2566,lgbt,
1001,เขตพระนคร,2566,male,8.805031447
1001,เขตพระนคร,2566,female,1.2
1001,เขตพระนคร,2566,lgbt,
1035,เขตจอมทอง,2566,male,5.579399142
1035,เขตจอมทอง,2566,female,0.729927007
1035,เขตจอมทอง,2566,lgbt,
1004,เขตบางรัก,2566,male,31.42857143
1004,เขตบางรัก,2566,female,8.928571429
1004,เขตบางรัก,2566,lgbt,
1021,เขตบางขุนเทียน,2566,male,5.185185185
1021,เขตบางขุนเทียน,2566,female,0.273972603
1021,เขตบางขุนเทียน,2566,lgbt,
1020,เขตบางกอกน้อย,2566,male,6.862745098
1020,เขตบางกอกน้อย,2566,female,2.352941176
1020,เขตบางกอกน้อย,2566,lgbt,
1046,เขตคลองสามวา,2566,male,5.797101449
1046,เขตคลองสามวา,2566,female,0.925925926
1046,เขตคลองสามวา,2566,lgbt,
1019,เขตตลิ่งชัน,2566,male,5.172413793
1019,เขตตลิ่งชัน,2566,female,1.570680628
1019,เขตตลิ่งชัน,2566,lgbt,
1016,เขตบางกอกใหญ่,2566,male,4.347826087
1016,เขตบางกอกใหญ่,2566,female,0
1016,เขตบางกอกใหญ่,2566,lgbt,
1006,เขตบางกะปิ,2566,male,16.66666667
1006,เขตบางกะปิ,2566,female,3.125
1006,เขตบางกะปิ,2566,lgbt,
1002,เขตดุสิต,2566,male,12.06896552
1002,เขตดุสิต,2566,female,0
1002,เขตดุสิต,2566,lgbt,
1005,เขตบางเขน,2566,male,9.523809524
1005,เขตบางเขน,2566,female,3.092783505
1005,เขตบางเขน,2566,lgbt,
1024,เขตราษฎร์บูรณะ,2566,male,1.604278075
1024,เขตราษฎร์บูรณะ,2566,female,2.030456853
1024,เขตราษฎร์บูรณะ,2566,lgbt,
1010,เขตมีนบุรี,2566,male,3.311258278
1010,เขตมีนบุรี,2566,female,0.775193798
1010,เขตมีนบุรี,2566,lgbt,
1032,เขตประเวศ,2566,male,25
1032,เขตประเวศ,2566,female,0
1032,เขตประเวศ,2566,lgbt,
1011,เขตลาดกระบัง,2566,male,8.823529412
1011,เขตลาดกระบัง,2566,female,3.389830508
1011,เขตลาดกระบัง,2566,lgbt,
1013,เขตสัมพันธวงศ์,2566,male,12.5
1013,เขตสัมพันธวงศ์,2566,female,9.523809524
1013,เขตสัมพันธวงศ์,2566,lgbt,
1017,เขตห้วยขวาง,2566,male,2.538071066
1017,เขตห้วยขวาง,2566,female,0
1017,เขตห้วยขวาง,2566,lgbt,
1025,เขตบางพลัด,2566,male,5.405405405
1025,เขตบางพลัด,2566,female,0
1025,เขตบางพลัด,2566,lgbt,
1028,เขตสาทร,2566,male,6.25
1028,เขตสาทร,2566,female,3.571428571
1028,เขตสาทร,2566,lgbt,
1012,เขตยานนาวา,2566,male,7.407407407
1012,เขตยานนาวา,2566,female,0
1012,เขตยานนาวา,2566,lgbt,
1045,เขตวังทองหลาง,2566,male,4.081632653
1045,เขตวังทองหลาง,2566,female,0
1045,เขตวังทองหลาง,2566,lgbt,
1041,เขตหลักสี่,2566,male,6.451612903
1041,เขตหลักสี่,2566,female,0
1041,เขตหลักสี่,2566,lgbt,
1036,เขตดอนเมือง,2566,male,5.882352941
1036,เขตดอนเมือง,2566,female,0
1036,เขตดอนเมือง,2566,lgbt,
1048,เขตทวีวัฒนา,2566,male,2.941176471
1048,เขตทวีวัฒนา,2566,female,0
1048,เขตทวีวัฒนา,2566,lgbt,
1040,เขตบางแค,2567,male,25.37878788
1040,เขตบางแค,2567,female,3.399043814
1040,เขตบางแค,2567,lgbt,1.98019802
1023,เขตหนองแขม,2567,male,24.38459311
1023,เขตหนองแขม,2567,female,3.389430639
1023,เขตหนองแขม,2567,lgbt,5.882352941
1021,เขตบางขุนเทียน,2567,male,24.20687376
1021,เขตบางขุนเทียน,2567,female,3.176341731
1021,เขตบางขุนเทียน,2567,lgbt,2.255639098
1011,เขตลาดกระบัง,2567,male,19.28999838
1011,เขตลาดกระบัง,2567,female,2.301921694
1011,เขตลาดกระบัง,2567,lgbt,7.936507937
1003,เขตหนองจอก,2567,male,28.39149288
1003,เขตหนองจอก,2567,female,2.606684885
1003,เขตหนองจอก,2567,lgbt,0
1032,เขตประเวศ,2567,male,13.76842105
1032,เขตประเวศ,2567,female,2.202447164
1032,เขตประเวศ,2567,lgbt,1.111111111
1015,เขตธนบุรี,2567,male,22.97882579
1015,เขตธนบุรี,2567,female,3.452945159
1015,เขตธนบุรี,2567,lgbt,3.50877193
1042,เขตสายไหม,2567,male,10.61378241
1042,เขตสายไหม,2567,female,1.400751623
1042,เขตสายไหม,2567,lgbt,0
1049,เขตทุ่งครุ,2567,male,18.86409736
1049,เขตทุ่งครุ,2567,female,2.249168785
1049,เขตทุ่งครุ,2567,lgbt,2.564102564
1022,เขตภาษีเจริญ,2567,male,24.47026658
1022,เขตภาษีเจริญ,2567,female,3.356343728
1022,เขตภาษีเจริญ,2567,lgbt,6.779661017
1035,เขตจอมทอง,2567,male,16.17683999
1035,เขตจอมทอง,2567,female,2.544603685
1035,เขตจอมทอง,2567,lgbt,2
1047,เขตบางนา,2567,male,17.19871319
1047,เขตบางนา,2567,female,2.577177508
1047,เขตบางนา,2567,lgbt,4.87804878
1029,เขตบางซื่อ,2567,male,15.26232114
1029,เขตบางซื่อ,2567,female,2.437530622
1029,เขตบางซื่อ,2567,lgbt,3.703703704
1031,เขตบางคอแหลม,2567,male,13.74533831
1031,เขตบางคอแหลม,2567,female,1.712779974
1031,เขตบางคอแหลม,2567,lgbt,0
1046,เขตคลองสามวา,2567,male,20.0954534
1046,เขตคลองสามวา,2567,female,2.871952928
1046,เขตคลองสามวา,2567,lgbt,0
1002,เขตดุสิต,2567,male,19.14408711
1002,เขตดุสิต,2567,female,2.292409577
1002,เขตดุสิต,2567,lgbt,14.28571429
1030,เขตจตุจักร,2567,male,14.22475107
1030,เขตจตุจักร,2567,female,2.267286298
1030,เขตจตุจักร,2567,lgbt,0
1048,เขตทวีวัฒนา,2567,male,27.69113731
1048,เขตทวีวัฒนา,2567,female,3.381752156
1048,เขตทวีวัฒนา,2567,lgbt,5
1006,เขตบางกะปิ,2567,male,10.14084507
1006,เขตบางกะปิ,2567,female,1.371681416
1006,เขตบางกะปิ,2567,lgbt,2.43902439
1025,เขตบางพลัด,2567,male,12.16353479
1025,เขตบางพลัด,2567,female,1.392721062
1025,เขตบางพลัด,2567,lgbt,4.347826087
1038,เขตลาดพร้าว,2567,male,15.48013245
1038,เขตลาดพร้าว,2567,female,2.568093385
1038,เขตลาดพร้าว,2567,lgbt,3.846153846
1010,เขตมีนบุรี,2567,male,18.7703222
1010,เขตมีนบุรี,2567,female,2.617249253
1010,เขตมีนบุรี,2567,lgbt,6.896551724
1012,เขตยานนาวา,2567,male,19.28317536
1012,เขตยานนาวา,2567,female,2.742200328
1012,เขตยานนาวา,2567,lgbt,5.128205128
1005,เขตบางเขน,2567,male,17.48466258
1005,เขตบางเขน,2567,female,2.324500232
1005,เขตบางเขน,2567,lgbt,0
1026,เขตดินแดง,2567,male,22.08754209
1026,เขตดินแดง,2567,female,3.882084285
1026,เขตดินแดง,2567,lgbt,0
1033,เขตคลองเตย,2567,male,19.1011236
1033,เขตคลองเตย,2567,female,4.006046863
1033,เขตคลองเตย,2567,lgbt,4.545454545
1018,เขตคลองสาน,2567,male,14.74078701
1018,เขตคลองสาน,2567,female,2.190974493
1018,เขตคลองสาน,2567,lgbt,4.347826087
1034,เขตสวนหลวง,2567,male,12.67334361
1034,เขตสวนหลวง,2567,female,2.587106197
1034,เขตสวนหลวง,2567,lgbt,2.631578947
1016,เขตบางกอกใหญ่,2567,male,18.84765625
1016,เขตบางกอกใหญ่,2567,female,2.972169684
1016,เขตบางกอกใหญ่,2567,lgbt,6.25
1050,เขตบางบอน,2567,male,22.63610315
1050,เขตบางบอน,2567,female,2.192448234
1050,เขตบางบอน,2567,lgbt,5
1020,เขตบางกอกน้อย,2567,male,24.68043265
1020,เขตบางกอกน้อย,2567,female,3.420819817
1020,เขตบางกอกน้อย,2567,lgbt,5.882352941
1037,เขตราชเทวี,2567,male,27.78864971
1037,เขตราชเทวี,2567,female,4.971475143
1037,เขตราชเทวี,2567,lgbt,5
1027,เขตบึงกุ่ม,2567,male,18.27721906
1027,เขตบึงกุ่ม,2567,female,2.110530896
1027,เขตบึงกุ่ม,2567,lgbt,3.846153846
1024,เขตราษฎร์บูรณะ,2567,male,19.97360317
1024,เขตราษฎร์บูรณะ,2567,female,2.72264631
1024,เขตราษฎร์บูรณะ,2567,lgbt,11.11111111
1009,เขตพระโขนง,2567,male,22.67343486
1009,เขตพระโขนง,2567,female,2.582496413
1009,เขตพระโขนง,2567,lgbt,0
1008,เขตป้อมปราบศัตรูพ่าย,2567,male,13.47912525
1008,เขตป้อมปราบศัตรูพ่าย,2567,female,1.630707476
1008,เขตป้อมปราบศัตรูพ่าย,2567,lgbt,0
1039,เขตวัฒนา,2567,male,24.82482482
1039,เขตวัฒนา,2567,female,3.456790123
1039,เขตวัฒนา,2567,lgbt,0
1019,เขตตลิ่งชัน,2567,male,22.46264812
1019,เขตตลิ่งชัน,2567,female,3.06714562
1019,เขตตลิ่งชัน,2567,lgbt,0
1044,เขตสะพานสูง,2567,male,12.62602016
1044,เขตสะพานสูง,2567,female,1.459065118
1044,เขตสะพานสูง,2567,lgbt,0
1017,เขตห้วยขวาง,2567,male,13.71973588
1017,เขตห้วยขวาง,2567,female,1.757597949
1017,เขตห้วยขวาง,2567,lgbt,4.761904762
1045,เขตวังทองหลาง,2567,male,20.11589404
1045,เขตวังทองหลาง,2567,female,2.701505757
1045,เขตวังทองหลาง,2567,lgbt,0
1041,เขตหลักสี่,2567,male,18.3449651
1041,เขตหลักสี่,2567,female,2.496532594
1041,เขตหลักสี่,2567,lgbt,5.555555556
1043,เขตคันนายาว,2567,male,19.17882226
1043,เขตคันนายาว,2567,female,1.426403642
1043,เขตคันนายาว,2567,lgbt,0
1004,เขตบางรัก,2567,male,23.05173543
1004,เขตบางรัก,2567,female,2.820818435
1004,เขตบางรัก,2567,lgbt,0
1028,เขตสาทร,2567,male,13.54875283
1028,เขตสาทร,2567,female,1.716888577
1028,เขตสาทร,2567,lgbt,0
1007,เขตปทุมวัน,2567,male,24.43438914
1007,เขตปทุมวัน,2567,female,3.948535936
1007,เขตปทุมวัน,2567,lgbt,0
1001,เขตพระนคร,2567,male,18.44919786
1001,เขตพระนคร,2567,female,2.422907489
1001,เขตพระนคร,2567,lgbt,7.142857143
1036,เขตดอนเมือง,2567,male,20.99031216
1036,เขตดอนเมือง,2567,female,2.699784017
1036,เขตดอนเมือง,2567,lgbt,0
1014,เขตพญาไท,2567,male,23.83233533
1014,เขตพญาไท,2567,female,3.143418468
1014,เขตพญาไท,2567,lgbt,0
1013,เขตสัมพันธวงศ์,2567,male,20.98092643
1013,เขตสัมพันธวงศ์,2567,female,2.98013245
1013,เขตสัมพันธวงศ์,2567,lgbt,0
1021,เขตบางขุนเทียน,2568,male,23.14156432
1021,เขตบางขุนเทียน,2568,female,2.496399424
1021,เขตบางขุนเทียน,2568,lgbt,1.960784314
1023,เขตหนองแขม,2568,male,24.88
1023,เขตหนองแขม,2568,female,2.051526718
1023,เขตหนองแขม,2568,lgbt,2.5
1032,เขตประเวศ,2568,male,30.13481364
1032,เขตประเวศ,2568,female,3.892386949
1032,เขตประเวศ,2568,lgbt,1.19047619
1040,เขตบางแค,2568,male,19.80099502
1040,เขตบางแค,2568,female,2.429596908
1040,เขตบางแค,2568,lgbt,4.838709677
1026,เขตดินแดง,2568,male,23.93992933
1026,เขตดินแดง,2568,female,2.428940568
1026,เขตดินแดง,2568,lgbt,5.063291139
1049,เขตทุ่งครุ,2568,male,18.46318036
1049,เขตทุ่งครุ,2568,female,1.62842339
1049,เขตทุ่งครุ,2568,lgbt,3.174603175
1003,เขตหนองจอก,2568,male,36.84210526
1003,เขตหนองจอก,2568,female,1.951951952
1003,เขตหนองจอก,2568,lgbt,4.761904762
1015,เขตธนบุรี,2568,male,19.43521595
1015,เขตธนบุรี,2568,female,2.452830189
1015,เขตธนบุรี,2568,lgbt,3.448275862
1046,เขตคลองสามวา,2568,male,35.89001447
1046,เขตคลองสามวา,2568,female,3.165938865
1046,เขตคลองสามวา,2568,lgbt,0
1046,เขตคลองสามวา,2568,male,35.89001447
