id,dcode,sport_field_name,sport_field_type,area
1002001,1002,กรมสรรพาวุธทหารบก,ชุมชนทั่วไป,267
1002002,1002,ชุมชนเกียกกาย (พล ปตอ.),ชุมชนทั่วไป,2250
1002003,1002,ชุมชนบางกระบือ14,ชุมชนทั่วไป,250
1002004,1037,ชุมชนวัดญวน - คลองลำปัก,ชุมชนทั่วไป,400
1002005,1002,ชุมชนวัดสวัสดิวารีสีมาราม,ชุมชนทั่วไป,250
1002006,1002,ลานกีฬายานเกราะ (กองพันทหารม้าที่ 3 รอ.),ชุมชนทั่วไป,100
1002007,1002,อาคารสงเคราะห์ กทม.(พิชัย),ชุมชนทั่วไป,112
1003001,1003,เคหะฉลองกรุง ,ชุมชนทั่วไป,1000
1003002,1003,โรงเรียนสุเหร่าลำแขก/ชุมชนแผ่นดินทองดารุ้ลนาซีฮะห์,โรงเรียนสังกัดกรุงเทพมหานคร,500
1003003,1003,โรงเรียนมัธยมวัดหนองจอก,โรงเรียนสังกัดสำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,650
1003004,1003,โรงเรียนวัดพระยาปลา/ชุมชนแผ่นดินทองวัดพระยาปลา,โรงเรียนสังกัดกรุงเทพมหานคร,600
1003005,1003,โรงเรียนวัดราษฎร์บำรุง/ชุมชนแผ่นดินทองวัดราษฎร์บำรุง,โรงเรียนสังกัดกรุงเทพมหานคร,300
1003006,1003,โรงเรียนสังฆประชานุสสรณ์/ชุมชนแผ่นดินทองวัดลำพะอง,โรงเรียนสังกัดกรุงเทพมหานคร,360
1003007,1003,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) 4,โรงเรียนสังกัดสำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,700
1003008,1003,โรงเรียนศิริวังวิทยาคาร/ชุมชนแผ่นดินทองศิริวังพัฒนา,โรงเรียนสังกัดกรุงเทพมหานคร,340
1003009,1003,โรงเรียนวัดลำต้อยติ่ง/ชุมชนแผ่นดินทองวัดลำต้อยติ่ง,โรงเรียนสังกัดกรุงเทพมหานคร,800
1003010,1003,โรงเรียนวัดแสนเกษม/ชุมชนแผ่นดินทองวัดแสนเกษม,โรงเรียนสังกัดกรุงเทพมหานคร,400
1003011,1003,โรงเรียนวัดใหม่เจริญราษฎร์,โรงเรียนสังกัดกรุงเทพมหานคร,350
1003012,1003,โรงเรียนวัดทรัพย์สโมสร,โรงเรียนสังกัดกรุงเทพมหานคร,350
1003013,1003,โรงเรียนวัดหนองจอก (ภักดีนรเศรษฐ),โรงเรียนสังกัดกรุงเทพมหานคร,350
1003014,1003,โรงเรียนหนองจอกพิทยานุสรณ์,โรงเรียนสังกัดกรุงเทพมหานคร,400
1003015,1003,โรงเรียนสุเหร่าคลองสิบ/ชุมชนแผ่นดินทองสะฟีรุสซาลาม,โรงเรียนสังกัดกรุงเทพมหานคร,350
1003016,1003,โรงเรียนสุเหร่าคลองสิบเอ็ด/ชุมชนแผ่นดินทองดารุ้ลฮาซานัย,โรงเรียนสังกัดกรุงเทพมหานคร,400
1003017,1003,โรงเรียนวัดใหม่กระทุ่มล้ม/ชุมชนวัดใหม่กระทุ่มล้ม,โรงเรียนสังกัดกรุงเทพมหานคร,800
1003018,1003,ชุมชนอัลฮุสนา ,ชุมชนทั่วไป,280
1003019,1003,ชุมชนประชาสำราญ ,ชุมชนทั่วไป,350
1003020,1003,ชุมชนแผ่นดินทองสุกกาทอง ,ชุมชนทั่วไป,400
1003021,1003,ชุมชนแผ่นดินทองนูรุสลาม ,ชุมชนทั่วไป,340
1003022,1003,ชุมชนแผ่นดินทองดารุสลาม (บาหยัน1),ชุมชนทั่วไป,600
1003023,1003,ชุมชนพัฒนาบ้านแบนใหญ่ ,ชุมชนทั่วไป,300
1003024,1003,โรงเรียนสุเหร่าบ้านเกาะ/ชุมชนแผ่นดินทองนูรุดดีน,โรงเรียนสังกัดกรุงเทพมหานคร,380
1003025,1003,ชุมชนพัฒนาลำต้นไทร,ที่สาธารณะ (ลานกลางแจ้ง),200
1003026,1003,โรงเรียนวัดอู่ตะเภา,โรงเรียนสังกัดกรุงเทพมหานคร,230
1003027,1003,โรงเรียนคลองสอง,โรงเรียนสังกัดกรุงเทพมหานคร,240
1003028,1003,โรงเรียนสุเหร่าอีรั้ว/ชุมชนแผ่นดินทองอัลยามีอะห์,โรงเรียนสังกัดกรุงเทพมหานคร,200
1003029,1003,โรงเรียนวัดสีชมพู,โรงเรียนสังกัดกรุงเทพมหานคร,250
1003030,1003,โรงเรียนลำบุหรี่พวง/ชุมชนอัลฮิดายะห์,โรงเรียนสังกัดกรุงเทพมหานคร,300
1003031,1003,โรงเรียนสามแยกท่าไข่,โรงเรียนสังกัดกรุงเทพมหานคร,200
1003032,1003,โรงเรียนนิลราษฎร์อุปถัมภ์,โรงเรียนสังกัดกรุงเทพมหานคร,350
1003033,1003,โรงเรียนหลวงแพ่ง (บำรุงรัฐกิจ),โรงเรียนสังกัดกรุงเทพมหานคร,300
1003034,1003,โรงเรียนผลลีรุ่งเรือง,โรงเรียนสังกัดกรุงเทพมหานคร,230
1003035,1003,โรงเรียนบ้านลำต้นกล้วย/ชุมชนแผ่นดินทองซอลีฮุ้ลมุสลีมีน,โรงเรียนสังกัดกรุงเทพมหานคร,230
1003036,1003,โรงเรียนสุเหร่านาตับ,โรงเรียนสังกัดกรุงเทพมหานคร,260
1003037,1003,โรงเรียนวัดสามง่าม,โรงเรียนสังกัดกรุงเทพมหานคร,270
1003038,1003,โรงเรียนสุเหร่าสนามกลางลำ,โรงเรียนสังกัดกรุงเทพมหานคร,280
1003039,1003,โรงเรียนลำเจดีย์,โรงเรียนสังกัดกรุงเทพมหานคร,220
1003040,1003,โรงเรียนสุเหร่าศาลาแดง/ชุมชนแผ่นดินทองฮาซานุดดีน,โรงเรียนสังกัดกรุงเทพมหานคร,200
1003041,1003,โรงเรียนสุเหร่าหะยีมีนา/ชุมชนแผ่นดินทองอินดารุ้ลมีนา,โรงเรียนสังกัดกรุงเทพมหานคร,180
1003042,1003,ชุมชนแผ่นดินทองดารุ้ลอะมาน ,ชุมชนทั่วไป,200
