dcode,dname,number_of_disabled
1033,เขตคลองเตย,1847
1018,เขตคลองสาน,1361
1046,เขตคลองสามวา,2886
1043,เขตคันนายาว,1430
1030,เขตจตุจักร,1917
1035,เขตจอมทอง,2914
1036,เขตดอนเมือง,2434
1026,เขตดินแดง,2181
1002,เขตดุสิต,1273
1019,เขตตลิ่งชัน,1948
1048,เขตทวีวัฒนา,1237
1049,เขตทุ่งครุ,2098
1015,เขตธนบุรี,2340
1020,เขตบางกอกน้อย,2327
1016,เขตบางกอกใหญ่,1397
1006,เขตบางกะปิ,1945
1021,เขตบางขุนเทียน,3822
1005,เขตบางเขน,2660
1031,เขตบางคอแหลม,1733
1040,เขตบางแค,3653
1029,เขตบางซื่อ,2200
1047,เขตบางนา,1171
1050,เขตบางบอน,1765
1025,เขตบางพลัด,1753
1004,เขตบางรัก,585
1027,เขตบึงกุ่ม,2155
1007,เขตปทุมวัน,640
1032,เขตประเวศ,2599
1008,เขตป้อมปราบศัตรูพ่าย,710
1014,เขตพญาไท,744
1009,เขตพระโขนง,1363
1001,เขตพระนคร,760
1022,เขตภาษีเจริญ,2696
1010,เขตมีนบุรี,2376
1012,เขตยานนาวา,1269
1037,เขตราชเทวี,750
1024,เขตราษฎร์บูรณะ,1752
1011,เขตลาดกระบัง,2733
1038,เขตลาดพร้าว,1562
1045,เขตวังทองหลาง,1387
1039,เขตวัฒนา,716
1034,เขตสวนหลวง,1713
1044,เขตสะพานสูง,1339
1013,เขตสัมพันธวงศ์,325
1028,เขตสาทร,1293
1042,เขตสายไหม,3208
1023,เขตหนองแขม,3253
1003,เขตหนองจอก,3267
1041,เขตหลักสี่,1552
1017,เขตห้วยขวาง,1071
