dcode,elderly_count
1001,13618
1002,23476
1003,24937
1004,11560
1005,38967
1006,29964
1007,10711
1008,12804
1009,21508
1010,23882
1011,27808
1012,18690
1013,7179
1014,14279
1015,26501
1016,17219
1017,17281
1018,18423
1019,26997
1020,29419
1021,31362
1022,29118
1023,30040
1024,17557
1025,24632
1026,29075
1027,30627
1028,21371
1029,32876
1030,37220
1031,21727
1032,32110
1033,20507
1034,24500
1035,34836
1036,31777
1037,15076
1038,28102
1039,20314
1040,44264
1041,24765
1042,38418
1043,18270
1044,20105
1045,23406
1046,29989
1047,19929
1048,19789
1049,24514
1050,19329
