dcode,dname,population
1001,เขตพระนคร,41646
1002,เขตดุสิต,78602
1003,เขตหนองจอก,181367
1004,เขตบางรัก,43914
1005,เขตบางเขน,185369
1006,เขตบางกะปิ,141489
1007,เขตปทุมวัน,40844
1008,เขตป้อมปราบศัตรูพ่าย,39310
1009,เขตพระโขนง,86290
1010,เขตมีนบุรี,141030
1011,เขตลาดกระบัง,178350
1012,เขตยานนาวา,74114
1013,เขตสัมพันธวงศ์,20168
1014,เขตพญาไท,65275
1015,เขตธนบุรี,99591
1016,เขตบางกอกใหญ่,61579
1017,เขตห้วยขวาง,83493
1018,เขตคลองสาน,66347
1019,เขตตลิ่งชัน,101802
1020,เขตบางกอกน้อย,99729
1021,เขตบางขุนเทียน,184805
1022,เขตภาษีเจริญ,122070
1023,เขตหนองแขม,155243
1024,เขตราษฏร์บูรณะ,76590
1025,เขตบางพลัด,87475
1026,เขตดินแดง,111052
1027,เขตบึงกุ่ม,138050
1028,เขตสาทร,72648
1029,เขตบางซื่อ,119431
1030,เขตจตุจักร,153792
1031,เขตบางคอแหลม,79095
1032,เขตประเวศ,182984
1033,เขตคลองเตย,90446
1034,เขตสวนหลวง,122676
1035,เขตจอมทอง,143330
1036,เขตดอนเมือง,166289
1037,เขตราชเทวี,66279
1038,เขตลาดพร้าว,114275
1039,เขตวัฒนา,80830
1040,เขตบางแค,192253
1041,เขตหลักสี่,100360
1042,เขตสายไหม,208928
1043,เขตคันนายาว,95523
1044,เขตสะพานสูง,96211
1045,เขตวังทองหลาง,104478
1046,เขตคลองสามวา,209120
1047,เขตบางนา,86155
1048,เขตทวีวัฒนา,79228
1049,เขตทุ่งครุ,123761
1050,เขตบางบอน,101246
