dcode,dname,Weight_Elderly,Weight_Disabled
1033,??????????,0.972537006,0.609202248
1018,??????????,0.873704065,0.785580646
1046,????????????,1.395383113,0.689306264
1043,???????????,0.738611492,0.707492594
1030,??????????,1.31125053,1.106508522
1035,?????????,1.282214923,2.018382369
1036,???????????,1.507012652,1.404925271
1026,?????????,1.138115982,2.158099788
1002,????????,0.933769661,0.801585061
1019,???????????,1.548297452,0.793695518
1048,???????????,0.800020953,1.224011663
1049,??????????,0.91596229,0.968786596
1015,?????????,3.112076868,4.05200304
1020,?????????????,1.250855841,0.895442647
1016,?????????????,0.615412316,0.604770112
1006,??????????,1.394219867,0.792473194
1021,??????????????,1.310868377,1.323654326
1005,?????????,1.68589089,0.575765389
1031,????????????,1.140011558,1.500453262
1040,????????,2.322523662,2.811389763
1029,??????????,1.0956065,1.172177079
1047,????????,0.819108825,0.901214731
1050,?????????,1.254391601,1.358363792
1025,??????????,0.893301599,1.214215612
1004,?????????,0.500138545,0.45022256
1027,??????????,2.041315262,2.132372784
1007,??????????,0.562004133,0.886592118
1032,?????????,2.030406741,2.571710843
1008,????????????????????,0.517634458,0.409817971
1014,????????,0.495960162,0.368094049
1009,??????????,0.477842085,0.590051297
1001,?????????,0.524735811,0.277060037
1022,????????????,1.380910545,2.334230811
1010,??????????,0.755063435,1.028585387
1012,??????????,0.853538056,0.799066334
1037,??????????,0.675975238,0.247375033
1024,??????????????,0.666107465,1.011269135
1011,????????????,1.523928493,2.366265878
1038,???????????,0.778672022,1.202132716
1045,?????????????,0.641345481,0.533725377
1039,????????,1.165022574,0.495937466
1034,??????????,0.7108116,1.186509608
1044,???????????,1.153036273,3.091528245
1013,??????????????,0.384869477,0.750370933
1028,???????,0.810809513,0.746330474
1042,?????????,1.353455746,2.468912773
1023,??????????,1.139708848,2.503545278
1003,??????????,1.024944391,1.131443926
1041,??????????,0.860176021,0.537496472
1017,???????????,0.608804955,0.412126805
