dcode,dname,year,value
1001,เขตพระนคร,2566,14.41
1001,เขตพระนคร,2564,12.01
1001,เขตพระนคร,2563,24.01
1001,เขตพระนคร,2562,12.01
1001,เขตพระนคร,2565,9.6
1002,เขตดุสิต,2562,5.09
1002,เขตดุสิต,2563,20.36
1002,เขตดุสิต,2564,10.18
1002,เขตดุสิต,2565,7.63
1002,เขตดุสิต,2566,19.08
1003,เขตหนองจอก,2566,22.61
1003,เขตหนองจอก,2565,18.2
1003,เขตหนองจอก,2564,20.4
1003,เขตหนองจอก,2563,20.4
1003,เขตหนองจอก,2562,23.71
1004,เขตบางรัก,2565,4.55
1004,เขตบางรัก,2562,4.55
1004,เขตบางรัก,2563,9.11
1004,เขตบางรัก,2564,15.94
1004,เขตบางรัก,2566,11.39
1005,เขตบางเขน,2566,9.71
1005,เขตบางเขน,2565,13.49
1005,เขตบางเขน,2564,4.86
1005,เขตบางเขน,2563,13.49
1005,เขตบางเขน,2562,15.64
1006,เขตบางกะปิ,2563,16.26
1006,เขตบางกะปิ,2566,14.84
1006,เขตบางกะปิ,2565,9.89
1006,เขตบางกะปิ,2564,9.19
1006,เขตบางกะปิ,2562,14.84
1007,เขตปทุมวัน,2564,14.69
1007,เขตปทุมวัน,2562,22.04
1007,เขตปทุมวัน,2563,14.69
1007,เขตปทุมวัน,2565,26.93
1007,เขตปทุมวัน,2566,29.38
1008,เขตป้อมปราบศัตรูพ่าย,2562,17.81
1008,เขตป้อมปราบศัตรูพ่าย,2563,10.18
1008,เขตป้อมปราบศัตรูพ่าย,2564,7.63
1008,เขตป้อมปราบศัตรูพ่าย,2565,7.63
1008,เขตป้อมปราบศัตรูพ่าย,2566,17.81
1009,เขตพระโขนง,2562,16.22
1009,เขตพระโขนง,2563,16.22
1009,เขตพระโขนง,2564,4.64
1009,เขตพระโขนง,2565,12.75
1009,เขตพระโขนง,2566,8.11
1010,เขตมีนบุรี,2564,16.31
1010,เขตมีนบุรี,2563,24.82
1010,เขตมีนบุรี,2566,25.53
