group1,group2,n1,n2,mean1,mean2,std1,std2,difference,test,statistic,p_value,cohens_d,significant,domain,indicator,cohens_h
General Population,Elderly,1315,2986,0.8661596958174905,0.3687206965840589,1.047009260477204,0.8013887679986259,0.4974389992334316,t-test,15.360724131967281,1.9011859376653023e-50,0.5628811005934174,True,Health Behaviors,smoking,
General Population,LGBT+,1315,685,0.8661596958174905,0.9386861313868613,1.047009260477204,1.1078038027455746,-0.07252643556937077,t-test,-1.4155146370611835,0.15715356805464864,-0.06789521006671789,False,Health Behaviors,smoking,
General Population,Disabled,1315,638,0.8661596958174905,0.5203761755485894,1.047009260477204,0.8673704009417974,0.34578352026890113,t-test,7.707260376541924,2.3296598998576872e-14,0.348592945952475,True,Health Behaviors,smoking,
General Population,Informal Workers,1315,2645,0.8661596958174905,0.6926275992438563,1.047009260477204,1.0822991716916113,0.17353209657363422,t-test,4.85702153455999,1.2596169659378546e-06,0.16207162272977496,True,Health Behaviors,smoking,
General Population,Elderly,1315,2986,0.8212927756653993,0.49062290689886134,0.7156671389626578,0.7626624969269281,0.3306698687665379,t-test,13.679892869783037,3.201887092152839e-41,0.4417109860343003,True,Health Behaviors,drinking,
General Population,LGBT+,1315,685,0.8212927756653993,0.8291970802919708,0.7156671389626578,0.6914431665893024,-0.007904304626571546,t-test,-0.23969645608197476,0.8105999632401929,-0.011172673270759492,False,Health Behaviors,drinking,
General Population,Disabled,1315,638,0.8212927756653993,0.6253918495297806,0.7156671389626578,0.8268157337133124,0.1959009261356187,t-test,5.125204101607771,3.5021335816481235e-07,0.2598978406500979,True,Health Behaviors,drinking,
General Population,Informal Workers,1315,2645,0.8212927756653993,0.6340264650283554,0.7156671389626578,0.7399701557305908,0.1872663106370439,t-test,7.667475949521925,2.4298189983664242e-14,0.25583130727592324,True,Health Behaviors,drinking,
General Population,Elderly,1315,2986,1.0760456273764258,0.8017414601473544,0.9668774125738369,0.9867855440870493,0.27430416722907147,t-test,8.51803290187321,2.726133291522792e-17,0.27969003008557525,True,Health Behaviors,exercise,
General Population,LGBT+,1315,685,1.0760456273764258,1.0087591240875913,0.9668774125738369,0.9365447923267308,0.06728650328883456,t-test,1.5078265107405484,0.13182049797971768,0.07033911162216015,False,Health Behaviors,exercise,
General Population,Disabled,1315,638,1.0760456273764258,0.5454545454545454,0.9668774125738369,0.8536391928426286,0.5305910819218804,t-test,12.325746569489608,3.146886570524048e-33,0.5696581702316722,True,Health Behaviors,exercise,
General Population,Informal Workers,1315,2645,1.0760456273764258,0.8457466918714556,0.9668774125738369,0.957308192352424,0.23029893550497027,t-test,7.082287537500859,1.817610906865572e-12,0.23977094035257393,True,Health Behaviors,exercise,
General Population,Elderly,1315,2986,0.4623574144486692,0.38580040187541864,,,0.07655701257325054,Chi-Square,21.817327313035527,2.9987970714471335e-06,,True,Health Behaviors,bmi_overweight,0.15507662846894266
General Population,LGBT+,1315,685,0.4623574144486692,0.4554744525547445,,,0.006882961893924677,Chi-Square,0.0604239031776682,0.8058271944610975,,False,Health Behaviors,bmi_overweight,0.013812743500559499
General Population,Disabled,1315,638,0.4623574144486692,0.3652037617554859,,,0.09715365269318327,Chi-Square,16.143488595293604,5.872009114889305e-05,,True,Health Behaviors,bmi_overweight,0.19761334326068325
General Population,Informal Workers,1315,2645,0.4623574144486692,0.42306238185255196,,,0.03929503259611722,Chi-Square,5.356309274533461,0.020647425825229708,,True,Health Behaviors,bmi_overweight,0.07913256070182206
General Population,Elderly,1315,2986,0.19543726235741446,0.11185532484929672,,,0.08358193750811774,Chi-Square,53.105348211278,3.1613054081793594e-13,,True,Health Behaviors,bmi_obese,0.23380047095965084
General Population,LGBT+,1315,685,0.19543726235741446,0.2116788321167883,,,-0.016241569759373853,Chi-Square,0.6420998300271918,0.4229514396583629,,False,Health Behaviors,bmi_obese,-0.04034448426115467
General Population,Disabled,1315,638,0.19543726235741446,0.14106583072100312,,,0.05437143163641134,Chi-Square,8.323757879057382,0.003912988563156089,,True,Health Behaviors,bmi_obese,0.14577809942240938
General Population,Informal Workers,1315,2645,0.19543726235741446,0.14669187145557655,,,0.04874539090183791,Chi-Square,14.950892921962131,0.00011034582971822834,,True,Health Behaviors,bmi_obese,0.12974727734111102
General Population,Elderly,1315,2986,0.3490494296577947,0.7873409243134628,,,-0.43829149465566813,Chi-Square,772.3978909943307,5.412377950556379e-170,,True,Chronic Diseases,has_disease,-0.9189015531976157
General Population,LGBT+,1315,685,0.3490494296577947,0.38686131386861317,,,-0.03781188421081849,Chi-Square,2.6268188809622157,0.1050720388360933,,False,Chronic Diseases,has_disease,-0.07843199455533156
General Population,Disabled,1315,638,0.3490494296577947,0.7664576802507836,,,-0.41740825059298897,Chi-Square,297.9688901400523,9.126131689336564e-67,,True,Chronic Diseases,has_disease,-0.8687284255750845
General Population,Informal Workers,1315,2645,0.3490494296577947,0.5122873345935728,,,-0.1632379049357781,Chi-Square,93.62402132879784,3.8152902531203277e-22,,True,Chronic Diseases,has_disease,-0.3312633605753734
General Population,Elderly,1152,2352,0.08072916666666667,0.4298469387755102,,,-0.34911777210884354,Chi-Square,435.11821003786474,1.2500437071536819e-96,,True,Chronic Diseases,diabetes,-0.8538304551302552
General Population,LGBT+,1152,562,0.08072916666666667,0.05871886120996441,,,0.02201030545670226,Chi-Square,2.3733222861286856,0.12342413292804506,,False,Chronic Diseases,diabetes,0.08668298219860948
General Population,Disabled,1152,551,0.08072916666666667,0.3339382940108893,,,-0.25320912734422263,Chi-Square,173.6058042186789,1.206896338538175e-39,,True,Chronic Diseases,diabetes,-0.656047159173529
General Population,Informal Workers,1152,1677,0.08072916666666667,0.2766845557543232,,,-0.19595538908765653,Chi-Square,164.5954650124116,1.1211930478051432e-37,,True,Chronic Diseases,diabetes,-0.5316048150969638
General Population,Elderly,1152,2352,0.1015625,0.7653061224489796,,,-0.6637436224489796,Chi-Square,1372.17339045257,2.3402044148752213e-300,,True,Chronic Diseases,hypertension,-1.4814275387588816
General Population,LGBT+,1152,562,0.1015625,0.09252669039145907,,,0.009035809608540932,Chi-Square,0.25277258316890333,0.6151295472576022,,False,Chronic Diseases,hypertension,0.030532257990722456
General Population,Disabled,1152,551,0.1015625,0.5644283121597096,,,-0.46286581215970957,Chi-Square,421.9432058754512,9.214819318772298e-94,,True,Chronic Diseases,hypertension,-1.051320726661634
General Population,Informal Workers,1152,1677,0.1015625,0.49672033392963627,,,-0.39515783392963627,Chi-Square,476.31955756957535,1.3508467504853081e-105,,True,Chronic Diseases,hypertension,-0.9155454422897074
General Population,Elderly,1153,2353,0.030355594102341718,0.044623884402889925,,,-0.014268290300548207,Chi-Square,3.7455185289559343,0.05294929612375051,,False,Chronic Diseases,gout,-0.07544971864954148
General Population,LGBT+,1153,562,0.030355594102341718,0.026690391459074734,,,0.003665202643266984,Chi-Square,0.0732102110490298,0.7867188065890158,,False,Chronic Diseases,gout,0.022029489393922852
General Population,Disabled,1153,552,0.030355594102341718,0.041666666666666664,,,-0.011311072564324946,Chi-Square,1.1295435353584804,0.28787272455017415,,False,Chronic Diseases,gout,-0.06089326189027794
General Population,Informal Workers,1153,1679,0.030355594102341718,0.03752233472304944,,,-0.007166740620707719,Chi-Square,0.8473938597028705,0.3572906491704868,,False,Chronic Diseases,gout,-0.039633676898915116
General Population,Elderly,1152,2352,0.006944444444444444,0.03571428571428571,,,-0.028769841269841268,Chi-Square,23.921444103279725,1.0034773494714648e-06,,True,Chronic Diseases,kidney_disease,-0.2133910334717035
General Population,LGBT+,1152,562,0.006944444444444444,0.010676156583629894,,,-0.0037317121391854495,Chi-Square,0.2703567992848088,0.6030925287281056,,False,Chronic Diseases,kidney_disease,-0.040160288108475134
General Population,Disabled,1152,551,0.006944444444444444,0.036297640653357534,,,-0.02935319620891309,Chi-Square,18.085297875607367,2.1122612440812452e-05,,True,Chronic Diseases,kidney_disease,-0.21652224183159333
General Population,Informal Workers,1152,1677,0.006944444444444444,0.01908169350029815,,,-0.012137249055853706,Chi-Square,6.372441832672515,0.011590599989629684,,True,Chronic Diseases,kidney_disease,-0.11029909057527262
General Population,Elderly,1152,2352,0.0078125,0.03571428571428571,,,-0.027901785714285712,Chi-Square,22.232438977614855,2.4155797435064013e-06,,True,Chronic Diseases,cancer,-0.20324352040490257
General Population,LGBT+,1152,562,0.0078125,0.0035587188612099642,,,0.004253781138790036,Fisher's Exact,,0.5201154303243174,,False,Chronic Diseases,cancer,0.057626810345158166
General Population,Disabled,1152,551,0.0078125,0.019963702359346643,,,-0.012151202359346643,Chi-Square,3.75262004215492,0.05272480479104683,,False,Chronic Diseases,cancer,-0.10652703871815472
General Population,Informal Workers,1152,1677,0.0078125,0.020274299344066785,,,-0.012461799344066785,Chi-Square,6.27677866531756,0.012233027112656392,,True,Chronic Diseases,cancer,-0.1087391682535988
General Population,Elderly,1315,2986,0.16045627376425856,0.11419959812458139,,,0.04625667563967717,Chi-Square,17.050373998472732,3.6401205113912264e-05,,True,Healthcare Access,skipped_medical_no_money,0.13483512526059005
General Population,LGBT+,1315,685,0.16045627376425856,0.2875912408759124,,,-0.12713496711165387,Chi-Square,44.050942994837754,3.199396982428069e-11,,True,Healthcare Access,skipped_medical_no_money,-0.30775846215293956
General Population,Disabled,1315,638,0.16045627376425856,0.20532915360501566,,,-0.04487287984075711,Chi-Square,5.68156302237412,0.017144088424760576,,True,Healthcare Access,skipped_medical_no_money,-0.11627501846502009
General Population,Informal Workers,1315,2645,0.16045627376425856,0.14933837429111532,,,0.011117899473143233,Chi-Square,0.7540558226200488,0.3851951635468859,,False,Healthcare Access,skipped_medical_no_money,0.030733342933413454
